name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Black (Infant) (Non-Reflective),YZB350V2-SBI,"Wednesday, June 16, 2021",5:58 AM EST,7K,$429
adidas Yeezy Boost 350 V2 Black (Infant) (Non-Reflective),YZB350V2-SBI,"Sunday, June 13, 2021",9:27 AM EST,5K,$424
adidas Yeezy Boost 350 V2 Black (Infant) (Non-Reflective),YZB350V2-SBI,"Saturday, June 12, 2021",11:49 PM EST,7.5K,$300
adidas Yeezy Boost 350 V2 Black (Infant) (Non-Reflective),YZB350V2-SBI,"Saturday, June 12, 2021",2:54 PM EST,10K,$362
adidas Yeezy Boost 350 V2 Black (Infant) (Non-Reflective),YZB350V2-SBI,"Wednesday, June 9, 2021",4:16 AM EST,10K,$414
adidas Yeezy Boost 350 V2 Black (Infant) (Non-Reflective),YZB350V2-SBI,"Friday, June 4, 2021",2:46 AM EST,8K,$462
adidas Yeezy Boost 350 V2 Black (Infant) (Non-Reflective),YZB350V2-SBI,"Monday, May 31, 2021",4:10 PM EST,10K,$275
adidas Yeezy Boost 350 V2 Black (Infant) (Non-Reflective),YZB350V2-SBI,"Sunday, May 30, 2021",1:06 AM EST,8K,$461
adidas Yeezy Boost 350 V2 Black (Infant) (Non-Reflective),YZB350V2-SBI,"Monday, May 24, 2021",10:09 AM EST,9K,$350
adidas Yeezy Boost 350 V2 Black (Infant) (Non-Reflective),YZB350V2-SBI,"Saturday, May 22, 2021",1:52 PM EST,5.5K,$207
adidas Yeezy Boost 350 V2 Black (Infant) (Non-Reflective),YZB350V2-SBI,"Monday, May 17, 2021",11:24 AM EST,6.5K,$351
adidas Yeezy Boost 350 V2 Black (Infant) (Non-Reflective),YZB350V2-SBI,"Friday, May 7, 2021",11:31 AM EST,7.5K,$475
adidas Yeezy Boost 350 V2 Black (Infant) (Non-Reflective),YZB350V2-SBI,"Wednesday, May 5, 2021",3:43 AM EST,9.5K,$613
adidas Yeezy Boost 350 V2 Black (Infant) (Non-Reflective),YZB350V2-SBI,"Tuesday, May 4, 2021",6:35 PM EST,7K,$350
adidas Yeezy Boost 350 V2 Black (Infant) (Non-Reflective),YZB350V2-SBI,"Wednesday, April 28, 2021",2:31 AM EST,10K,$365
adidas Yeezy Boost 350 V2 Black (Infant) (Non-Reflective),YZB350V2-SBI,"Saturday, April 24, 2021",8:47 AM EST,8K,$521
adidas Yeezy Boost 350 V2 Black (Infant) (Non-Reflective),YZB350V2-SBI,"Friday, April 23, 2021",1:45 PM EST,9.5K,$502
adidas Yeezy Boost 350 V2 Black (Infant) (Non-Reflective),YZB350V2-SBI,"Wednesday, April 21, 2021",7:27 AM EST,8K,$425
adidas Yeezy Boost 350 V2 Black (Infant) (Non-Reflective),YZB350V2-SBI,"Monday, April 19, 2021",9:58 PM EST,6K,$264
adidas Yeezy Boost 350 V2 Black (Infant) (Non-Reflective),YZB350V2-SBI,"Monday, April 19, 2021",9:57 PM EST,5.5K,$216
adidas Yeezy Boost 350 V2 Black (Infant) (Non-Reflective),YZB350V2-SBI,"Thursday, April 15, 2021",3:09 PM EST,10K,$315
adidas Yeezy Boost 350 V2 Black (Infant) (Non-Reflective),YZB350V2-SBI,"Monday, April 12, 2021",7:17 PM EST,7K,$325
adidas Yeezy Boost 350 V2 Black (Infant) (Non-Reflective),YZB350V2-SBI,"Sunday, April 11, 2021",6:58 PM EST,5K,$210
adidas Yeezy Boost 350 V2 Black (Infant) (Non-Reflective),YZB350V2-SBI,"Thursday, April 8, 2021",4:17 PM EST,6K,$420
