name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Black (Kids) (Non-Reflective),YZB350V2-SBKD,"Tuesday, July 6, 2021",4:11 PM EST,11.5K,$314
adidas Yeezy Boost 350 V2 Black (Kids) (Non-Reflective),YZB350V2-SBKD,"Monday, July 5, 2021",10:09 AM EST,3.5,$516
adidas Yeezy Boost 350 V2 Black (Kids) (Non-Reflective),YZB350V2-SBKD,"Thursday, June 24, 2021",8:21 AM EST,2.5,$490
adidas Yeezy Boost 350 V2 Black (Kids) (Non-Reflective),YZB350V2-SBKD,"Wednesday, June 23, 2021",4:29 AM EST,13K,$355
adidas Yeezy Boost 350 V2 Black (Kids) (Non-Reflective),YZB350V2-SBKD,"Tuesday, June 22, 2021",12:37 AM EST,11.5K,$480
adidas Yeezy Boost 350 V2 Black (Kids) (Non-Reflective),YZB350V2-SBKD,"Tuesday, June 22, 2021",1:46 PM EST,2,$419
adidas Yeezy Boost 350 V2 Black (Kids) (Non-Reflective),YZB350V2-SBKD,"Tuesday, June 22, 2021",6:09 AM EST,1.5,$324
adidas Yeezy Boost 350 V2 Black (Kids) (Non-Reflective),YZB350V2-SBKD,"Saturday, June 19, 2021",10:11 PM EST,2,$418
adidas Yeezy Boost 350 V2 Black (Kids) (Non-Reflective),YZB350V2-SBKD,"Sunday, June 13, 2021",3:58 PM EST,1.5,$415
adidas Yeezy Boost 350 V2 Black (Kids) (Non-Reflective),YZB350V2-SBKD,"Sunday, June 13, 2021",1:29 PM EST,2.5,$493
adidas Yeezy Boost 350 V2 Black (Kids) (Non-Reflective),YZB350V2-SBKD,"Saturday, June 12, 2021",10:01 PM EST,2,$419
adidas Yeezy Boost 350 V2 Black (Kids) (Non-Reflective),YZB350V2-SBKD,"Saturday, June 12, 2021",12:44 PM EST,13K,$397
adidas Yeezy Boost 350 V2 Black (Kids) (Non-Reflective),YZB350V2-SBKD,"Thursday, June 10, 2021",6:46 PM EST,2.5,$495
adidas Yeezy Boost 350 V2 Black (Kids) (Non-Reflective),YZB350V2-SBKD,"Thursday, June 10, 2021",5:37 PM EST,11K,$265
adidas Yeezy Boost 350 V2 Black (Kids) (Non-Reflective),YZB350V2-SBKD,"Thursday, June 10, 2021",1:38 AM EST,3,$644
adidas Yeezy Boost 350 V2 Black (Kids) (Non-Reflective),YZB350V2-SBKD,"Wednesday, June 9, 2021",4:14 AM EST,1.5,$512
adidas Yeezy Boost 350 V2 Black (Kids) (Non-Reflective),YZB350V2-SBKD,"Thursday, June 3, 2021",6:09 PM EST,3,$639
adidas Yeezy Boost 350 V2 Black (Kids) (Non-Reflective),YZB350V2-SBKD,"Thursday, June 3, 2021",2:15 PM EST,2,$351
adidas Yeezy Boost 350 V2 Black (Kids) (Non-Reflective),YZB350V2-SBKD,"Wednesday, June 2, 2021",10:37 PM EST,1,$389
adidas Yeezy Boost 350 V2 Black (Kids) (Non-Reflective),YZB350V2-SBKD,"Tuesday, June 1, 2021",4:09 AM EST,13.5K,$478
adidas Yeezy Boost 350 V2 Black (Kids) (Non-Reflective),YZB350V2-SBKD,"Monday, May 31, 2021",5:05 PM EST,12K,$535
adidas Yeezy Boost 350 V2 Black (Kids) (Non-Reflective),YZB350V2-SBKD,"Sunday, May 30, 2021",12:27 PM EST,3,$643
adidas Yeezy Boost 350 V2 Black (Kids) (Non-Reflective),YZB350V2-SBKD,"Saturday, May 29, 2021",9:36 AM EST,2,$352
adidas Yeezy Boost 350 V2 Black (Kids) (Non-Reflective),YZB350V2-SBKD,"Friday, May 28, 2021",4:44 PM EST,2,$441
adidas Yeezy Boost 350 V2 Black (Kids) (Non-Reflective),YZB350V2-SBKD,"Monday, May 24, 2021",12:05 AM EST,3,$625
adidas Yeezy Boost 350 V2 Black (Kids) (Non-Reflective),YZB350V2-SBKD,"Sunday, May 23, 2021",3:41 PM EST,11K,$750
adidas Yeezy Boost 350 V2 Black (Kids) (Non-Reflective),YZB350V2-SBKD,"Sunday, May 23, 2021",2:19 PM EST,1,$390
adidas Yeezy Boost 350 V2 Black (Kids) (Non-Reflective),YZB350V2-SBKD,"Tuesday, May 18, 2021",4:28 AM EST,2.5,$594
