name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Monday, July 5, 2021",1:43 PM EST,12,$744
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Sunday, July 4, 2021",12:18 PM EST,10.5,$893
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Sunday, July 4, 2021",7:55 AM EST,4.5,"$1,106"
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Saturday, July 3, 2021",5:54 PM EST,12.5,$930
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Saturday, July 3, 2021",10:55 AM EST,10,$834
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Saturday, July 3, 2021",6:36 AM EST,8.5,"$1,233"
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Friday, July 2, 2021",10:47 PM EST,14,$573
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Friday, July 2, 2021",8:46 AM EST,8.5,"$1,233"
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Friday, July 2, 2021",3:47 AM EST,10.5,$870
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Thursday, July 1, 2021",7:00 PM EST,10,$870
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Thursday, July 1, 2021",9:30 AM EST,10.5,$896
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Thursday, July 1, 2021",2:44 AM EST,8,"$1,400"
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Thursday, July 1, 2021",2:31 AM EST,8,"$1,355"
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Wednesday, June 30, 2021",9:24 PM EST,6,$955
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Wednesday, June 30, 2021",11:27 AM EST,7.5,"$1,221"
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Wednesday, June 30, 2021",2:54 AM EST,5.5,"$1,102"
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Monday, June 28, 2021",12:06 AM EST,13,$699
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Monday, June 28, 2021",9:09 PM EST,11,$756
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Saturday, June 26, 2021",9:45 PM EST,10.5,$880
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Saturday, June 26, 2021",6:36 PM EST,12,$745
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Saturday, June 26, 2021",5:34 PM EST,8,"$1,352"
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Friday, June 25, 2021",9:48 PM EST,8.5,"$1,360"
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Friday, June 25, 2021",6:47 PM EST,8.5,"$1,390"
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Friday, June 25, 2021",3:15 PM EST,7.5,"$1,400"
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Friday, June 25, 2021",10:49 AM EST,11,"$1,080"
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Friday, June 25, 2021",2:51 AM EST,10.5,$825
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Thursday, June 24, 2021",10:58 AM EST,7,"$1,420"
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Thursday, June 24, 2021",10:53 AM EST,4.5,"$1,130"
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Tuesday, June 22, 2021",5:59 AM EST,8,"$1,372"
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Monday, June 21, 2021",9:16 PM EST,11,$845
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Monday, June 21, 2021",6:40 PM EST,8,"$1,344"
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Monday, June 21, 2021",8:43 AM EST,10,$878
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Sunday, June 20, 2021",2:45 PM EST,8.5,"$1,300"
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Friday, June 18, 2021",11:38 AM EST,6,"$1,290"
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Friday, June 18, 2021",1:55 AM EST,12,$832
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Thursday, June 17, 2021",5:07 PM EST,11,$847
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Wednesday, June 16, 2021",5:30 AM EST,10.5,$901
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Tuesday, June 15, 2021",10:14 PM EST,11,$913
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Tuesday, June 15, 2021",5:17 PM EST,10,$978
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Tuesday, June 15, 2021",5:11 PM EST,9.5,"$1,018"
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Tuesday, June 15, 2021",3:12 PM EST,9,"$1,060"
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Tuesday, June 15, 2021",8:38 AM EST,11,$853
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Monday, June 14, 2021",7:37 PM EST,10.5,$900
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Sunday, June 13, 2021",12:45 PM EST,9,"$1,160"
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Saturday, June 12, 2021",7:06 PM EST,11.5,$999
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Friday, June 11, 2021",1:25 PM EST,10,$950
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Friday, June 11, 2021",10:36 AM EST,7,"$1,305"
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Thursday, June 10, 2021",6:24 PM EST,9.5,"$1,135"
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Thursday, June 10, 2021",11:34 AM EST,8.5,"$1,219"
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Thursday, June 10, 2021",9:44 AM EST,9,"$1,150"
adidas Yeezy Boost 350 V2 Static Black (Reflective),YZB350V2-SBR,"Wednesday, June 9, 2021",11:00 PM EST,11.5,$990
