name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Synth (Non-Reflective),YZB350V2-SYN,"Monday, July 5, 2021",2:58 PM EST,10,$535
adidas Yeezy Boost 350 V2 Synth (Non-Reflective),YZB350V2-SYN,"Monday, July 5, 2021",8:16 AM EST,10,$521
adidas Yeezy Boost 350 V2 Synth (Non-Reflective),YZB350V2-SYN,"Monday, July 5, 2021",8:16 AM EST,10.5,$537
adidas Yeezy Boost 350 V2 Synth (Non-Reflective),YZB350V2-SYN,"Sunday, July 4, 2021",8:47 PM EST,12,$411
adidas Yeezy Boost 350 V2 Synth (Non-Reflective),YZB350V2-SYN,"Sunday, July 4, 2021",2:08 PM EST,9,$395
adidas Yeezy Boost 350 V2 Synth (Non-Reflective),YZB350V2-SYN,"Sunday, July 4, 2021",5:52 AM EST,6.5,$902
adidas Yeezy Boost 350 V2 Synth (Non-Reflective),YZB350V2-SYN,"Thursday, July 1, 2021",4:25 PM EST,8,$565
adidas Yeezy Boost 350 V2 Synth (Non-Reflective),YZB350V2-SYN,"Wednesday, June 30, 2021",5:33 PM EST,7.5,$506
adidas Yeezy Boost 350 V2 Synth (Non-Reflective),YZB350V2-SYN,"Monday, June 28, 2021",3:51 PM EST,11.5,$410
adidas Yeezy Boost 350 V2 Synth (Non-Reflective),YZB350V2-SYN,"Monday, June 28, 2021",6:13 AM EST,8,$623
adidas Yeezy Boost 350 V2 Synth (Non-Reflective),YZB350V2-SYN,"Sunday, June 27, 2021",3:35 PM EST,8,$564
adidas Yeezy Boost 350 V2 Synth (Non-Reflective),YZB350V2-SYN,"Friday, June 25, 2021",9:00 PM EST,10,$431
adidas Yeezy Boost 350 V2 Synth (Non-Reflective),YZB350V2-SYN,"Thursday, June 24, 2021",12:51 PM EST,8.5,$408
adidas Yeezy Boost 350 V2 Synth (Non-Reflective),YZB350V2-SYN,"Wednesday, June 23, 2021",3:02 AM EST,9.5,$407
adidas Yeezy Boost 350 V2 Synth (Non-Reflective),YZB350V2-SYN,"Tuesday, June 22, 2021",12:26 AM EST,7.5,$660
adidas Yeezy Boost 350 V2 Synth (Non-Reflective),YZB350V2-SYN,"Tuesday, June 22, 2021",4:16 PM EST,13,$367
adidas Yeezy Boost 350 V2 Synth (Non-Reflective),YZB350V2-SYN,"Monday, June 21, 2021",7:35 PM EST,7.5,$645
adidas Yeezy Boost 350 V2 Synth (Non-Reflective),YZB350V2-SYN,"Thursday, June 17, 2021",2:41 PM EST,9.5,$519
adidas Yeezy Boost 350 V2 Synth (Non-Reflective),YZB350V2-SYN,"Thursday, June 17, 2021",11:19 AM EST,14,$284
adidas Yeezy Boost 350 V2 Synth (Non-Reflective),YZB350V2-SYN,"Wednesday, June 16, 2021",2:01 PM EST,7.5,$649
adidas Yeezy Boost 350 V2 Synth (Non-Reflective),YZB350V2-SYN,"Wednesday, June 16, 2021",5:50 AM EST,8.5,$688
adidas Yeezy Boost 350 V2 Synth (Non-Reflective),YZB350V2-SYN,"Tuesday, June 15, 2021",10:57 AM EST,7,$799
adidas Yeezy Boost 350 V2 Synth (Non-Reflective),YZB350V2-SYN,"Monday, June 14, 2021",9:32 PM EST,10,$430
adidas Yeezy Boost 350 V2 Synth (Non-Reflective),YZB350V2-SYN,"Monday, June 14, 2021",11:50 AM EST,14,$295
adidas Yeezy Boost 350 V2 Synth (Non-Reflective),YZB350V2-SYN,"Monday, June 14, 2021",3:43 AM EST,10.5,$423
adidas Yeezy Boost 350 V2 Synth (Non-Reflective),YZB350V2-SYN,"Sunday, June 13, 2021",2:44 AM EST,13,$370
adidas Yeezy Boost 350 V2 Synth (Non-Reflective),YZB350V2-SYN,"Friday, June 11, 2021",3:39 AM EST,12,$508
adidas Yeezy Boost 350 V2 Synth (Non-Reflective),YZB350V2-SYN,"Thursday, June 10, 2021",11:40 PM EST,10.5,$418
