name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Synth (Kids),YZB350V2-SYNPS,"Tuesday, June 29, 2021",8:19 AM EST,12K,$387
adidas Yeezy Boost 350 V2 Synth (Kids),YZB350V2-SYNPS,"Thursday, June 10, 2021",5:42 AM EST,12.5K,$221
adidas Yeezy Boost 350 V2 Synth (Kids),YZB350V2-SYNPS,"Sunday, May 2, 2021",5:40 PM EST,3.5,$839
adidas Yeezy Boost 350 V2 Synth (Kids),YZB350V2-SYNPS,"Saturday, April 10, 2021",11:58 PM EST,12K,$242
adidas Yeezy Boost 350 V2 Synth (Kids),YZB350V2-SYNPS,"Saturday, April 10, 2021",11:58 PM EST,12K,$248
adidas Yeezy Boost 350 V2 Synth (Kids),YZB350V2-SYNPS,"Wednesday, March 24, 2021",5:44 PM EST,11K,$300
adidas Yeezy Boost 350 V2 Synth (Kids),YZB350V2-SYNPS,"Monday, March 22, 2021",4:43 PM EST,11.5K,$255
adidas Yeezy Boost 350 V2 Synth (Kids),YZB350V2-SYNPS,"Saturday, February 27, 2021",4:39 AM EST,12.5K,$458
adidas Yeezy Boost 350 V2 Synth (Kids),YZB350V2-SYNPS,"Tuesday, February 23, 2021",10:23 AM EST,3,$550
adidas Yeezy Boost 350 V2 Synth (Kids),YZB350V2-SYNPS,"Wednesday, February 17, 2021",12:52 PM EST,3,$466
adidas Yeezy Boost 350 V2 Synth (Kids),YZB350V2-SYNPS,"Sunday, February 7, 2021",7:42 PM EST,1.5,$340
adidas Yeezy Boost 350 V2 Synth (Kids),YZB350V2-SYNPS,"Friday, January 8, 2021",8:20 PM EST,3.5,$455
adidas Yeezy Boost 350 V2 Synth (Kids),YZB350V2-SYNPS,"Friday, December 4, 2020",3:51 PM EST,13K,$535
adidas Yeezy Boost 350 V2 Synth (Kids),YZB350V2-SYNPS,"Thursday, November 26, 2020",8:12 AM EST,3.5,$503
adidas Yeezy Boost 350 V2 Synth (Kids),YZB350V2-SYNPS,"Tuesday, October 27, 2020",4:33 PM EST,2.5,$478
adidas Yeezy Boost 350 V2 Synth (Kids),YZB350V2-SYNPS,"Friday, October 16, 2020",9:48 PM EST,3,$429
adidas Yeezy Boost 350 V2 Synth (Kids),YZB350V2-SYNPS,"Saturday, October 3, 2020",8:36 PM EST,2.5,$460
adidas Yeezy Boost 350 V2 Synth (Kids),YZB350V2-SYNPS,"Friday, September 18, 2020",12:44 PM EST,3,$425
adidas Yeezy Boost 350 V2 Synth (Kids),YZB350V2-SYNPS,"Sunday, September 6, 2020",4:00 PM EST,12K,$243
adidas Yeezy Boost 350 V2 Synth (Kids),YZB350V2-SYNPS,"Wednesday, September 2, 2020",11:14 AM EST,13K,$415
adidas Yeezy Boost 350 V2 Synth (Kids),YZB350V2-SYNPS,"Wednesday, August 26, 2020",10:44 PM EST,11K,$255
