name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Monday, July 5, 2021",8:53 PM EST,7,"$1,011"
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Monday, July 5, 2021",8:08 PM EST,11,$874
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Saturday, July 3, 2021",11:44 AM EST,9,$863
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Tuesday, June 15, 2021",4:54 PM EST,4,"$1,905"
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Tuesday, June 15, 2021",11:16 AM EST,11,$813
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Saturday, June 12, 2021",9:14 AM EST,8.5,"$1,255"
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Wednesday, June 9, 2021",4:42 PM EST,11,$692
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Tuesday, June 8, 2021",10:55 PM EST,9.5,$812
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Thursday, June 3, 2021",10:49 PM EST,10.5,"$1,561"
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Thursday, June 3, 2021",3:56 PM EST,9.5,$830
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Sunday, May 30, 2021",1:28 PM EST,6,"$1,501"
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Thursday, May 27, 2021",4:14 PM EST,4.5,"$1,800"
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Monday, May 24, 2021",5:51 PM EST,8,$845
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Saturday, May 22, 2021",12:02 PM EST,8.5,$840
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Thursday, May 20, 2021",4:14 PM EST,8.5,$851
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Thursday, May 20, 2021",4:11 PM EST,9.5,$805
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Wednesday, May 12, 2021",12:17 AM EST,8.5,$816
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Tuesday, May 11, 2021",1:14 PM EST,11.5,$649
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Sunday, May 9, 2021",12:53 AM EST,4.5,"$1,934"
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Saturday, May 8, 2021",7:06 AM EST,12.5,$588
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Wednesday, May 5, 2021",9:45 PM EST,8.5,$798
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Sunday, May 2, 2021",5:26 AM EST,4.5,"$1,750"
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Saturday, May 1, 2021",6:14 AM EST,6.5,"$2,000"
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Wednesday, April 28, 2021",3:24 PM EST,4.5,"$1,650"
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Wednesday, April 28, 2021",3:21 PM EST,9.5,$773
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Monday, April 12, 2021",12:02 AM EST,11.5,$610
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Wednesday, April 7, 2021",8:27 PM EST,9.5,$762
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Wednesday, April 7, 2021",8:04 PM EST,12,$470
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Wednesday, April 7, 2021",8:03 PM EST,9.5,$763
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Friday, April 2, 2021",12:48 PM EST,9.5,$840
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Sunday, March 28, 2021",10:31 AM EST,5,"$1,408"
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Thursday, March 18, 2021",11:07 AM EST,12,$863
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Friday, March 12, 2021",2:18 PM EST,9,$800
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Friday, March 12, 2021",11:25 AM EST,7.5,"$1,250"
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Friday, March 5, 2021",7:10 PM EST,12,$795
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Tuesday, March 2, 2021",4:33 PM EST,11.5,$675
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Thursday, February 18, 2021",11:06 PM EST,5.5,"$1,799"
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Sunday, February 14, 2021",12:58 PM EST,6,"$1,479"
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Friday, February 12, 2021",8:54 PM EST,8,$811
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Friday, February 12, 2021",11:34 AM EST,8.5,"$1,629"
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Thursday, February 11, 2021",10:24 AM EST,4.5,"$1,434"
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Tuesday, February 9, 2021",10:53 PM EST,10,"$1,250"
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Thursday, February 4, 2021",11:12 AM EST,8.5,$820
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Monday, February 1, 2021",8:13 AM EST,8.5,$819
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Sunday, January 24, 2021",12:33 PM EST,9,$776
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Thursday, January 21, 2021",3:31 AM EST,12.5,$355
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Tuesday, January 19, 2021",6:32 AM EST,10,$920
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Thursday, January 7, 2021",8:55 AM EST,10,$999
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Thursday, December 31, 2020",11:16 PM EST,10,$935
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Friday, December 18, 2020",2:24 PM EST,12,$503
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Tuesday, December 8, 2020",12:57 PM EST,5.5,"$1,566"
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Sunday, December 6, 2020",12:49 PM EST,7.5,$704
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Friday, December 4, 2020",10:54 AM EST,8.5,$900
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Thursday, November 26, 2020",3:15 AM EST,9.5,$831
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Wednesday, November 25, 2020",5:15 PM EST,5.5,"$1,646"
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Saturday, November 21, 2020",11:50 PM EST,8,"$1,370"
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Thursday, November 12, 2020",10:07 PM EST,12,$650
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Wednesday, November 11, 2020",8:44 PM EST,6,"$1,603"
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Friday, November 6, 2020",7:53 PM EST,12.5,$625
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Friday, November 6, 2020",7:52 PM EST,12.5,$625
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Wednesday, October 28, 2020",5:41 PM EST,9,$896
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Sunday, October 25, 2020",10:44 AM EST,10.5,"$1,419"
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Friday, October 23, 2020",7:29 AM EST,12,$600
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Sunday, October 18, 2020",3:55 PM EST,10.5,$717
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Friday, October 16, 2020",7:08 PM EST,9,$802
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Thursday, October 15, 2020",5:48 PM EST,4.5,"$1,160"
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Wednesday, October 14, 2020",9:36 PM EST,11.5,$675
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Tuesday, October 13, 2020",6:17 PM EST,10,$738
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Friday, October 9, 2020",7:02 PM EST,13,$650
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Wednesday, October 7, 2020",10:21 PM EST,5.5,"$1,899"
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Wednesday, October 7, 2020",4:43 PM EST,12,$601
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Friday, October 2, 2020",4:36 AM EST,5.5,"$1,681"
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Thursday, September 24, 2020",3:21 PM EST,8.5,$701
adidas Yeezy Boost 350 V2 Synth (Reflective),YZB350V2-SYNR,"Wednesday, September 23, 2020",5:40 AM EST,12.5,$625
