name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Synth (Infant),YZB350V2-SYNTD,"Wednesday, June 9, 2021",1:49 PM EST,9K,$441
adidas Yeezy Boost 350 V2 Synth (Infant),YZB350V2-SYNTD,"Friday, May 21, 2021",3:14 AM EST,6K,$330
adidas Yeezy Boost 350 V2 Synth (Infant),YZB350V2-SYNTD,"Tuesday, May 18, 2021",3:34 PM EST,9K,$466
adidas Yeezy Boost 350 V2 Synth (Infant),YZB350V2-SYNTD,"Sunday, April 18, 2021",1:06 AM EST,6K,$218
adidas Yeezy Boost 350 V2 Synth (Infant),YZB350V2-SYNTD,"Tuesday, March 30, 2021",6:00 PM EST,7K,$210
adidas Yeezy Boost 350 V2 Synth (Infant),YZB350V2-SYNTD,"Sunday, March 28, 2021",2:34 PM EST,5K,$225
adidas Yeezy Boost 350 V2 Synth (Infant),YZB350V2-SYNTD,"Monday, March 22, 2021",5:11 PM EST,9K,$200
adidas Yeezy Boost 350 V2 Synth (Infant),YZB350V2-SYNTD,"Monday, March 15, 2021",12:17 PM EST,6K,$405
adidas Yeezy Boost 350 V2 Synth (Infant),YZB350V2-SYNTD,"Tuesday, March 2, 2021",10:15 AM EST,8K,$388
adidas Yeezy Boost 350 V2 Synth (Infant),YZB350V2-SYNTD,"Wednesday, February 24, 2021",3:05 PM EST,8K,$385
adidas Yeezy Boost 350 V2 Synth (Infant),YZB350V2-SYNTD,"Friday, February 19, 2021",7:18 PM EST,6K,$356
adidas Yeezy Boost 350 V2 Synth (Infant),YZB350V2-SYNTD,"Saturday, February 13, 2021",10:19 AM EST,10K,$284
adidas Yeezy Boost 350 V2 Synth (Infant),YZB350V2-SYNTD,"Friday, January 29, 2021",7:29 PM EST,5K,$350
adidas Yeezy Boost 350 V2 Synth (Infant),YZB350V2-SYNTD,"Friday, December 25, 2020",11:27 PM EST,8K,$200
adidas Yeezy Boost 350 V2 Synth (Infant),YZB350V2-SYNTD,"Saturday, December 19, 2020",7:41 AM EST,9K,$350
adidas Yeezy Boost 350 V2 Synth (Infant),YZB350V2-SYNTD,"Saturday, December 12, 2020",10:28 PM EST,6K,$330
adidas Yeezy Boost 350 V2 Synth (Infant),YZB350V2-SYNTD,"Sunday, December 6, 2020",3:03 AM EST,7K,$240
adidas Yeezy Boost 350 V2 Synth (Infant),YZB350V2-SYNTD,"Saturday, December 5, 2020",7:10 AM EST,6.5K,$398
adidas Yeezy Boost 350 V2 Synth (Infant),YZB350V2-SYNTD,"Friday, December 4, 2020",11:32 PM EST,6K,$335
adidas Yeezy Boost 350 V2 Synth (Infant),YZB350V2-SYNTD,"Friday, December 4, 2020",9:41 AM EST,9K,$260
adidas Yeezy Boost 350 V2 Synth (Infant),YZB350V2-SYNTD,"Friday, February 19, 2021",7:18 PM EST,6K,$356
adidas Yeezy Boost 350 V2 Synth (Infant),YZB350V2-SYNTD,"Saturday, February 13, 2021",10:19 AM EST,10K,$284
