name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Trfrm,YZB350V2-TF,"Tuesday, July 6, 2021",4:51 AM EST,5,$591
adidas Yeezy Boost 350 V2 Trfrm,YZB350V2-TF,"Tuesday, July 6, 2021",2:00 AM EST,8,$588
adidas Yeezy Boost 350 V2 Trfrm,YZB350V2-TF,"Monday, July 5, 2021",8:21 PM EST,14,$282
adidas Yeezy Boost 350 V2 Trfrm,YZB350V2-TF,"Sunday, July 4, 2021",5:27 PM EST,8,$543
adidas Yeezy Boost 350 V2 Trfrm,YZB350V2-TF,"Saturday, July 3, 2021",7:44 PM EST,11.5,$449
adidas Yeezy Boost 350 V2 Trfrm,YZB350V2-TF,"Saturday, July 3, 2021",2:50 PM EST,11,$513
adidas Yeezy Boost 350 V2 Trfrm,YZB350V2-TF,"Saturday, July 3, 2021",7:38 AM EST,4.5,$664
adidas Yeezy Boost 350 V2 Trfrm,YZB350V2-TF,"Thursday, July 1, 2021",5:00 PM EST,9,$585
adidas Yeezy Boost 350 V2 Trfrm,YZB350V2-TF,"Thursday, July 1, 2021",4:54 PM EST,8,$546
adidas Yeezy Boost 350 V2 Trfrm,YZB350V2-TF,"Thursday, July 1, 2021",2:46 AM EST,10.5,$421
adidas Yeezy Boost 350 V2 Trfrm,YZB350V2-TF,"Wednesday, June 30, 2021",2:31 PM EST,8.5,$514
adidas Yeezy Boost 350 V2 Trfrm,YZB350V2-TF,"Wednesday, June 30, 2021",6:14 AM EST,8.5,$555
adidas Yeezy Boost 350 V2 Trfrm,YZB350V2-TF,"Wednesday, June 30, 2021",5:24 AM EST,8,$572
adidas Yeezy Boost 350 V2 Trfrm,YZB350V2-TF,"Wednesday, June 30, 2021",2:54 AM EST,8,$584
adidas Yeezy Boost 350 V2 Trfrm,YZB350V2-TF,"Tuesday, June 29, 2021",2:34 PM EST,11.5,$445
adidas Yeezy Boost 350 V2 Trfrm,YZB350V2-TF,"Tuesday, June 29, 2021",12:31 PM EST,9,$584
adidas Yeezy Boost 350 V2 Trfrm,YZB350V2-TF,"Monday, June 28, 2021",10:27 PM EST,4,$542
adidas Yeezy Boost 350 V2 Trfrm,YZB350V2-TF,"Monday, June 28, 2021",2:18 AM EST,11.5,$461
adidas Yeezy Boost 350 V2 Trfrm,YZB350V2-TF,"Sunday, June 27, 2021",5:49 AM EST,8,$584
adidas Yeezy Boost 350 V2 Trfrm,YZB350V2-TF,"Saturday, June 26, 2021",6:47 PM EST,11,$489
adidas Yeezy Boost 350 V2 Trfrm,YZB350V2-TF,"Saturday, June 26, 2021",2:34 PM EST,12,$443
adidas Yeezy Boost 350 V2 Trfrm,YZB350V2-TF,"Saturday, June 26, 2021",2:05 PM EST,13,$350
adidas Yeezy Boost 350 V2 Trfrm,YZB350V2-TF,"Saturday, June 26, 2021",8:29 AM EST,11,$459
adidas Yeezy Boost 350 V2 Trfrm,YZB350V2-TF,"Friday, June 25, 2021",3:22 PM EST,8.5,$516
adidas Yeezy Boost 350 V2 Trfrm,YZB350V2-TF,"Friday, June 25, 2021",3:55 AM EST,10.5,$499
adidas Yeezy Boost 350 V2 Trfrm,YZB350V2-TF,"Thursday, June 24, 2021",10:58 PM EST,11,$492
adidas Yeezy Boost 350 V2 Trfrm,YZB350V2-TF,"Thursday, June 24, 2021",12:53 PM EST,10.5,$447
adidas Yeezy Boost 350 V2 Trfrm,YZB350V2-TF,"Thursday, June 24, 2021",2:49 AM EST,10.5,$485
adidas Yeezy Boost 350 V2 Trfrm,YZB350V2-TF,"Wednesday, June 23, 2021",9:42 AM EST,12.5,$423
adidas Yeezy Boost 350 V2 Trfrm,YZB350V2-TF,"Wednesday, June 23, 2021",6:46 AM EST,8,$547
adidas Yeezy Boost 350 V2 Trfrm,YZB350V2-TF,"Tuesday, June 22, 2021",3:46 PM EST,8,$583
adidas Yeezy Boost 350 V2 Trfrm,YZB350V2-TF,"Tuesday, June 22, 2021",9:13 AM EST,10,$547
adidas Yeezy Boost 350 V2 Trfrm,YZB350V2-TF,"Tuesday, June 22, 2021",2:14 AM EST,10.5,$450
adidas Yeezy Boost 350 V2 Trfrm,YZB350V2-TF,"Monday, June 21, 2021",4:21 PM EST,9,$541
adidas Yeezy Boost 350 V2 Trfrm,YZB350V2-TF,"Monday, June 21, 2021",4:16 PM EST,11,$459
adidas Yeezy Boost 350 V2 Trfrm,YZB350V2-TF,"Monday, June 21, 2021",4:15 PM EST,10.5,$436
adidas Yeezy Boost 350 V2 Trfrm,YZB350V2-TF,"Monday, June 21, 2021",4:11 PM EST,8,$545
