name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Tail Light,YZB350V2-TG,"Tuesday, July 6, 2021",6:59 PM EST,8.5,$449
adidas Yeezy Boost 350 V2 Tail Light,YZB350V2-TG,"Tuesday, July 6, 2021",4:41 PM EST,5.5,$509
adidas Yeezy Boost 350 V2 Tail Light,YZB350V2-TG,"Tuesday, July 6, 2021",4:00 PM EST,8.5,$469
adidas Yeezy Boost 350 V2 Tail Light,YZB350V2-TG,"Tuesday, July 6, 2021",3:02 PM EST,10.5,$479
adidas Yeezy Boost 350 V2 Tail Light,YZB350V2-TG,"Tuesday, July 6, 2021",2:00 PM EST,10.5,$478
adidas Yeezy Boost 350 V2 Tail Light,YZB350V2-TG,"Tuesday, July 6, 2021",1:59 PM EST,10.5,$473
adidas Yeezy Boost 350 V2 Tail Light,YZB350V2-TG,"Tuesday, July 6, 2021",7:07 AM EST,12.5,$494
adidas Yeezy Boost 350 V2 Tail Light,YZB350V2-TG,"Tuesday, July 6, 2021",4:26 AM EST,13,$500
adidas Yeezy Boost 350 V2 Tail Light,YZB350V2-TG,"Monday, July 5, 2021",11:56 PM EST,6,$533
adidas Yeezy Boost 350 V2 Tail Light,YZB350V2-TG,"Monday, July 5, 2021",11:26 PM EST,11,$520
adidas Yeezy Boost 350 V2 Tail Light,YZB350V2-TG,"Monday, July 5, 2021",8:56 PM EST,4.5,$420
adidas Yeezy Boost 350 V2 Tail Light,YZB350V2-TG,"Monday, July 5, 2021",3:45 PM EST,10.5,$473
adidas Yeezy Boost 350 V2 Tail Light,YZB350V2-TG,"Monday, July 5, 2021",9:57 AM EST,9,$470
adidas Yeezy Boost 350 V2 Tail Light,YZB350V2-TG,"Monday, July 5, 2021",5:23 AM EST,7.5,$492
adidas Yeezy Boost 350 V2 Tail Light,YZB350V2-TG,"Sunday, July 4, 2021",10:17 PM EST,14,$529
adidas Yeezy Boost 350 V2 Tail Light,YZB350V2-TG,"Sunday, July 4, 2021",9:27 PM EST,11.5,$440
adidas Yeezy Boost 350 V2 Tail Light,YZB350V2-TG,"Sunday, July 4, 2021",6:39 PM EST,8.5,$508
adidas Yeezy Boost 350 V2 Tail Light,YZB350V2-TG,"Sunday, July 4, 2021",2:27 PM EST,9.5,$512
adidas Yeezy Boost 350 V2 Tail Light,YZB350V2-TG,"Sunday, July 4, 2021",1:23 PM EST,8,$487
adidas Yeezy Boost 350 V2 Tail Light,YZB350V2-TG,"Sunday, July 4, 2021",12:18 PM EST,8,$483
adidas Yeezy Boost 350 V2 Tail Light,YZB350V2-TG,"Sunday, July 4, 2021",11:50 AM EST,10.5,$470
adidas Yeezy Boost 350 V2 Tail Light,YZB350V2-TG,"Sunday, July 4, 2021",2:51 AM EST,9,$466
adidas Yeezy Boost 350 V2 Tail Light,YZB350V2-TG,"Saturday, July 3, 2021",9:57 PM EST,10,$512
adidas Yeezy Boost 350 V2 Tail Light,YZB350V2-TG,"Saturday, July 3, 2021",9:00 PM EST,9.5,$430
adidas Yeezy Boost 350 V2 Tail Light,YZB350V2-TG,"Saturday, July 3, 2021",6:09 PM EST,10,$474
adidas Yeezy Boost 350 V2 Tail Light,YZB350V2-TG,"Saturday, July 3, 2021",5:36 PM EST,9.5,$430
adidas Yeezy Boost 350 V2 Tail Light,YZB350V2-TG,"Saturday, July 3, 2021",12:12 PM EST,10.5,$495
adidas Yeezy Boost 350 V2 Tail Light,YZB350V2-TG,"Saturday, July 3, 2021",11:36 AM EST,6.5,$462
adidas Yeezy Boost 350 V2 Tail Light,YZB350V2-TG,"Saturday, July 3, 2021",10:10 AM EST,5.5,$457
adidas Yeezy Boost 350 V2 Tail Light,YZB350V2-TG,"Saturday, July 3, 2021",8:30 AM EST,12.5,$502
adidas Yeezy Boost 350 V2 Tail Light,YZB350V2-TG,"Saturday, July 3, 2021",3:15 AM EST,11.5,$414
adidas Yeezy Boost 350 V2 Tail Light,YZB350V2-TG,"Friday, July 2, 2021",9:57 PM EST,9,$461
adidas Yeezy Boost 350 V2 Tail Light,YZB350V2-TG,"Friday, July 2, 2021",7:02 PM EST,12,$507
adidas Yeezy Boost 350 V2 Tail Light,YZB350V2-TG,"Friday, July 2, 2021",2:54 PM EST,12,$500
adidas Yeezy Boost 350 V2 Tail Light,YZB350V2-TG,"Friday, July 2, 2021",11:40 AM EST,8,$519
