name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Tuesday, July 6, 2021",7:31 PM EST,5,$376
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Tuesday, July 6, 2021",6:52 PM EST,9,$350
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Tuesday, July 6, 2021",4:43 PM EST,9,$340
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Tuesday, July 6, 2021",4:33 PM EST,11.5,$385
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Tuesday, July 6, 2021",3:05 PM EST,8.5,$348
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Tuesday, July 6, 2021",2:38 PM EST,14,$330
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Tuesday, July 6, 2021",2:37 PM EST,10,$315
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Tuesday, July 6, 2021",1:24 PM EST,9.5,$349
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Tuesday, July 6, 2021",12:15 PM EST,12,$440
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Tuesday, July 6, 2021",12:04 PM EST,9,$350
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Monday, July 5, 2021",12:34 AM EST,9.5,$389
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Monday, July 5, 2021",11:13 PM EST,11.5,$437
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Monday, July 5, 2021",8:51 PM EST,10,$317
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Monday, July 5, 2021",8:51 PM EST,10,$315
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Monday, July 5, 2021",5:54 PM EST,8.5,$373
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Monday, July 5, 2021",5:47 PM EST,9.5,$350
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Monday, July 5, 2021",5:12 PM EST,9,$345
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Monday, July 5, 2021",3:51 PM EST,9.5,$350
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Monday, July 5, 2021",2:09 PM EST,6.5,$484
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Monday, July 5, 2021",12:02 PM EST,10.5,$369
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Monday, July 5, 2021",8:42 AM EST,9,$395
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Monday, July 5, 2021",8:16 AM EST,9,$347
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Monday, July 5, 2021",2:29 AM EST,10,$350
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Sunday, July 4, 2021",8:09 PM EST,12.5,$475
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Sunday, July 4, 2021",5:18 PM EST,9.5,$415
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Sunday, July 4, 2021",2:45 PM EST,6.5,$477
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Sunday, July 4, 2021",2:16 PM EST,8.5,$374
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Sunday, July 4, 2021",8:47 AM EST,8,$400
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Sunday, July 4, 2021",3:10 AM EST,11,$429
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Sunday, July 4, 2021",2:47 AM EST,6.5,$495
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Saturday, July 3, 2021",11:07 PM EST,10.5,$369
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Saturday, July 3, 2021",10:15 PM EST,12,$435
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Saturday, July 3, 2021",3:24 PM EST,10.5,$369
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Saturday, July 3, 2021",3:19 PM EST,7,$480
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Saturday, July 3, 2021",1:37 PM EST,11,$421
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Saturday, July 3, 2021",7:40 AM EST,7.5,$430
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Saturday, July 3, 2021",7:20 AM EST,7.5,$440
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Saturday, July 3, 2021",2:48 AM EST,11.5,$390
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Friday, July 2, 2021",9:32 PM EST,5.5,$400
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Friday, July 2, 2021",6:56 PM EST,9.5,$349
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Friday, July 2, 2021",6:49 PM EST,10.5,$360
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Friday, July 2, 2021",5:59 PM EST,12,$425
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Friday, July 2, 2021",4:24 PM EST,12,$400
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Friday, July 2, 2021",3:42 PM EST,8.5,$374
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Friday, July 2, 2021",2:04 PM EST,11,$420
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Friday, July 2, 2021",1:59 PM EST,10,$365
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Friday, July 2, 2021",11:22 AM EST,5,$447
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Friday, July 2, 2021",10:44 AM EST,11,$419
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Friday, July 2, 2021",9:05 AM EST,9,$343
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Friday, July 2, 2021",7:14 AM EST,7.5,$459
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Friday, July 2, 2021",6:27 AM EST,11.5,$386
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Friday, July 2, 2021",6:19 AM EST,9.5,$413
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Friday, July 2, 2021",1:58 AM EST,9,$320
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Thursday, July 1, 2021",11:29 PM EST,10,$360
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Thursday, July 1, 2021",10:42 PM EST,5.5,$416
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Thursday, July 1, 2021",4:11 PM EST,11,$420
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Thursday, July 1, 2021",2:45 PM EST,12,$395
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Thursday, July 1, 2021",2:43 PM EST,9.5,$407
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Thursday, July 1, 2021",11:28 AM EST,9.5,$369
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Thursday, July 1, 2021",9:53 AM EST,4,$387
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Thursday, July 1, 2021",8:14 AM EST,10.5,$393
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Thursday, July 1, 2021",4:51 AM EST,11,$401
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Thursday, July 1, 2021",1:47 AM EST,10.5,$380
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Wednesday, June 30, 2021",12:01 AM EST,11.5,$405
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Wednesday, June 30, 2021",10:09 PM EST,4,$347
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Wednesday, June 30, 2021",9:35 PM EST,11,$415
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Wednesday, June 30, 2021",9:07 PM EST,12,$364
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Wednesday, June 30, 2021",7:55 PM EST,10.5,$367
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Wednesday, June 30, 2021",3:58 PM EST,9.5,$339
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Wednesday, June 30, 2021",9:41 AM EST,8,$422
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Wednesday, June 30, 2021",8:42 AM EST,10,$365
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Wednesday, June 30, 2021",8:07 AM EST,13,$472
adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),YZB350V2-YCHL,"Wednesday, June 30, 2021",7:15 AM EST,10.5,$350
