name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Fade,YZB350V2-YCHR,"Tuesday, July 6, 2021",4:41 PM EST,8.5,$293
adidas Yeezy Boost 350 V2 Fade,YZB350V2-YCHR,"Tuesday, July 6, 2021",1:59 PM EST,11.5,$330
adidas Yeezy Boost 350 V2 Fade,YZB350V2-YCHR,"Tuesday, July 6, 2021",9:23 AM EST,11,$354
adidas Yeezy Boost 350 V2 Fade,YZB350V2-YCHR,"Monday, July 5, 2021",8:30 PM EST,10.5,$280
adidas Yeezy Boost 350 V2 Fade,YZB350V2-YCHR,"Monday, July 5, 2021",8:22 PM EST,10.5,$286
adidas Yeezy Boost 350 V2 Fade,YZB350V2-YCHR,"Monday, July 5, 2021",8:21 PM EST,10.5,$290
adidas Yeezy Boost 350 V2 Fade,YZB350V2-YCHR,"Monday, July 5, 2021",9:37 AM EST,9,$290
adidas Yeezy Boost 350 V2 Fade,YZB350V2-YCHR,"Monday, July 5, 2021",8:39 AM EST,9.5,$267
adidas Yeezy Boost 350 V2 Fade,YZB350V2-YCHR,"Monday, July 5, 2021",5:00 AM EST,9.5,$436
adidas Yeezy Boost 350 V2 Fade,YZB350V2-YCHR,"Sunday, July 4, 2021",9:21 PM EST,10,$294
adidas Yeezy Boost 350 V2 Fade,YZB350V2-YCHR,"Sunday, July 4, 2021",6:26 PM EST,10,$295
adidas Yeezy Boost 350 V2 Fade,YZB350V2-YCHR,"Sunday, July 4, 2021",3:36 PM EST,9.5,$287
adidas Yeezy Boost 350 V2 Fade,YZB350V2-YCHR,"Sunday, July 4, 2021",11:27 AM EST,11.5,$368
adidas Yeezy Boost 350 V2 Fade,YZB350V2-YCHR,"Saturday, July 3, 2021",12:19 AM EST,10,$292
adidas Yeezy Boost 350 V2 Fade,YZB350V2-YCHR,"Saturday, July 3, 2021",6:34 PM EST,11,$348
adidas Yeezy Boost 350 V2 Fade,YZB350V2-YCHR,"Saturday, July 3, 2021",10:43 AM EST,8,$301
adidas Yeezy Boost 350 V2 Fade,YZB350V2-YCHR,"Friday, July 2, 2021",11:01 PM EST,10,$302
adidas Yeezy Boost 350 V2 Fade,YZB350V2-YCHR,"Friday, July 2, 2021",8:50 PM EST,6.5,$370
adidas Yeezy Boost 350 V2 Fade,YZB350V2-YCHR,"Friday, July 2, 2021",7:52 PM EST,10.5,$304
adidas Yeezy Boost 350 V2 Fade,YZB350V2-YCHR,"Friday, July 2, 2021",7:27 PM EST,8,$301
adidas Yeezy Boost 350 V2 Fade,YZB350V2-YCHR,"Friday, July 2, 2021",6:29 PM EST,12,$423
adidas Yeezy Boost 350 V2 Fade,YZB350V2-YCHR,"Friday, July 2, 2021",1:57 PM EST,10.5,$304
adidas Yeezy Boost 350 V2 Fade,YZB350V2-YCHR,"Friday, July 2, 2021",11:52 AM EST,10,$295
adidas Yeezy Boost 350 V2 Fade,YZB350V2-YCHR,"Friday, July 2, 2021",11:45 AM EST,7.5,$354
adidas Yeezy Boost 350 V2 Fade,YZB350V2-YCHR,"Friday, July 2, 2021",10:47 AM EST,5.5,$302
adidas Yeezy Boost 350 V2 Fade,YZB350V2-YCHR,"Friday, July 2, 2021",10:29 AM EST,11,$316
adidas Yeezy Boost 350 V2 Fade,YZB350V2-YCHR,"Friday, July 2, 2021",10:02 AM EST,11,$321
adidas Yeezy Boost 350 V2 Fade,YZB350V2-YCHR,"Friday, July 2, 2021",9:27 AM EST,10.5,$281
adidas Yeezy Boost 350 V2 Fade,YZB350V2-YCHR,"Friday, July 2, 2021",8:34 AM EST,9,$316
adidas Yeezy Boost 350 V2 Fade,YZB350V2-YCHR,"Friday, July 2, 2021",5:56 AM EST,8,$290
adidas Yeezy Boost 350 V2 Fade,YZB350V2-YCHR,"Friday, July 2, 2021",5:54 AM EST,8,$296
adidas Yeezy Boost 350 V2 Fade,YZB350V2-YCHR,"Friday, July 2, 2021",4:25 AM EST,12.5,$446
adidas Yeezy Boost 350 V2 Fade,YZB350V2-YCHR,"Thursday, July 1, 2021",10:18 PM EST,7.5,$300
adidas Yeezy Boost 350 V2 Fade,YZB350V2-YCHR,"Thursday, July 1, 2021",7:00 PM EST,7,$323
adidas Yeezy Boost 350 V2 Fade,YZB350V2-YCHR,"Thursday, July 1, 2021",4:07 PM EST,8,$393
adidas Yeezy Boost 350 V2 Fade,YZB350V2-YCHR,"Thursday, July 1, 2021",4:07 PM EST,10,$295
adidas Yeezy Boost 350 V2 Fade,YZB350V2-YCHR,"Thursday, July 1, 2021",4:02 PM EST,10.5,$290
adidas Yeezy Boost 350 V2 Fade,YZB350V2-YCHR,"Thursday, July 1, 2021",11:50 AM EST,10.5,$374
adidas Yeezy Boost 350 V2 Fade,YZB350V2-YCHR,"Thursday, July 1, 2021",10:39 AM EST,8.5,$279
adidas Yeezy Boost 350 V2 Fade,YZB350V2-YCHR,"Thursday, July 1, 2021",6:55 AM EST,4,$299
