name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Yecheil (Reflective),YZB350V2-YCHRF,"Tuesday, July 6, 2021",1:38 AM EST,9.5,$616
adidas Yeezy Boost 350 V2 Yecheil (Reflective),YZB350V2-YCHRF,"Monday, July 5, 2021",12:25 AM EST,7.5,$498
adidas Yeezy Boost 350 V2 Yecheil (Reflective),YZB350V2-YCHRF,"Monday, July 5, 2021",2:11 PM EST,10.5,$461
adidas Yeezy Boost 350 V2 Yecheil (Reflective),YZB350V2-YCHRF,"Sunday, July 4, 2021",12:20 PM EST,10,$620
adidas Yeezy Boost 350 V2 Yecheil (Reflective),YZB350V2-YCHRF,"Friday, July 2, 2021",12:42 AM EST,9.5,$598
adidas Yeezy Boost 350 V2 Yecheil (Reflective),YZB350V2-YCHRF,"Friday, July 2, 2021",9:21 PM EST,9.5,$560
adidas Yeezy Boost 350 V2 Yecheil (Reflective),YZB350V2-YCHRF,"Friday, July 2, 2021",6:18 PM EST,11,$685
adidas Yeezy Boost 350 V2 Yecheil (Reflective),YZB350V2-YCHRF,"Friday, July 2, 2021",10:06 AM EST,5,$560
adidas Yeezy Boost 350 V2 Yecheil (Reflective),YZB350V2-YCHRF,"Friday, July 2, 2021",4:23 AM EST,10,$616
adidas Yeezy Boost 350 V2 Yecheil (Reflective),YZB350V2-YCHRF,"Thursday, July 1, 2021",11:32 PM EST,9.5,$500
adidas Yeezy Boost 350 V2 Yecheil (Reflective),YZB350V2-YCHRF,"Thursday, July 1, 2021",10:42 PM EST,11,$684
adidas Yeezy Boost 350 V2 Yecheil (Reflective),YZB350V2-YCHRF,"Thursday, July 1, 2021",6:54 AM EST,9,$504
adidas Yeezy Boost 350 V2 Yecheil (Reflective),YZB350V2-YCHRF,"Tuesday, June 29, 2021",6:38 PM EST,10,$590
adidas Yeezy Boost 350 V2 Yecheil (Reflective),YZB350V2-YCHRF,"Sunday, June 27, 2021",10:30 PM EST,10.5,$550
adidas Yeezy Boost 350 V2 Yecheil (Reflective),YZB350V2-YCHRF,"Sunday, June 27, 2021",3:33 PM EST,8,$567
adidas Yeezy Boost 350 V2 Yecheil (Reflective),YZB350V2-YCHRF,"Friday, June 25, 2021",8:31 PM EST,11.5,$570
adidas Yeezy Boost 350 V2 Yecheil (Reflective),YZB350V2-YCHRF,"Wednesday, June 23, 2021",11:39 AM EST,10,$589
adidas Yeezy Boost 350 V2 Yecheil (Reflective),YZB350V2-YCHRF,"Friday, June 18, 2021",5:17 PM EST,11,$530
adidas Yeezy Boost 350 V2 Yecheil (Reflective),YZB350V2-YCHRF,"Friday, June 18, 2021",3:32 PM EST,11.5,$544
adidas Yeezy Boost 350 V2 Yecheil (Reflective),YZB350V2-YCHRF,"Thursday, June 17, 2021",8:00 PM EST,11,$499
adidas Yeezy Boost 350 V2 Yecheil (Reflective),YZB350V2-YCHRF,"Thursday, June 17, 2021",12:48 PM EST,14,$464
