name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Wednesday, June 30, 2021",2:32 PM EST,9K,$357
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Wednesday, June 16, 2021",5:07 PM EST,9K,$279
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Wednesday, June 16, 2021",8:51 AM EST,6.5K,$265
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Thursday, June 10, 2021",3:53 AM EST,10K,$233
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Wednesday, June 9, 2021",11:48 PM EST,10K,$313
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Wednesday, June 2, 2021",2:23 PM EST,4K,$410
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Saturday, May 29, 2021",1:40 PM EST,8K,$324
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Wednesday, May 26, 2021",8:28 AM EST,5K,$378
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Tuesday, May 25, 2021",2:03 PM EST,4K,$391
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Tuesday, May 18, 2021",6:55 PM EST,5K,$351
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Sunday, May 16, 2021",10:17 AM EST,7.5K,$413
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Thursday, May 13, 2021",3:19 PM EST,9K,$266
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Wednesday, May 12, 2021",2:17 AM EST,8K,$300
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Saturday, May 8, 2021",6:16 AM EST,7.5K,$315
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Wednesday, May 5, 2021",12:50 PM EST,4K,$349
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Friday, April 30, 2021",10:38 PM EST,6.5K,$250
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Thursday, April 22, 2021",8:26 AM EST,5K,$342
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Wednesday, April 21, 2021",5:30 PM EST,8K,$245
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Tuesday, April 20, 2021",9:37 AM EST,6K,$266
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Friday, April 16, 2021",6:41 PM EST,10K,$232
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Thursday, April 15, 2021",2:04 AM EST,8K,$259
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Monday, April 12, 2021",2:42 PM EST,9.5K,$250
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Saturday, April 10, 2021",6:55 AM EST,5K,$250
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Thursday, April 8, 2021",10:19 PM EST,6.5K,$230
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Tuesday, April 6, 2021",3:24 AM EST,9.5K,$241
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Monday, April 5, 2021",1:12 PM EST,5.5K,$275
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Wednesday, March 31, 2021",5:17 PM EST,9K,$156
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Tuesday, March 30, 2021",11:53 PM EST,9K,$300
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Sunday, March 28, 2021",2:32 PM EST,7K,$200
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Saturday, March 27, 2021",7:07 AM EST,10K,$250
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Thursday, March 25, 2021",2:23 PM EST,9K,$363
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Thursday, March 25, 2021",4:35 AM EST,7K,$319
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Monday, March 22, 2021",4:44 PM EST,6K,$210
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Monday, March 15, 2021",5:17 PM EST,7K,$290
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Monday, March 15, 2021",2:26 PM EST,10K,$238
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Friday, March 5, 2021",6:18 PM EST,10K,$228
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Sunday, February 28, 2021",3:22 PM EST,9K,$210
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Tuesday, February 23, 2021",1:44 AM EST,5.5K,$225
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Sunday, February 21, 2021",4:09 AM EST,9K,$221
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Friday, February 12, 2021",3:09 PM EST,7.5K,$250
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Tuesday, February 9, 2021",12:06 PM EST,3.5K,$287
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Saturday, February 6, 2021",4:43 PM EST,10K,$238
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Monday, February 1, 2021",6:35 AM EST,8K,$437
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Tuesday, January 19, 2021",10:36 PM EST,10K,$237
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Tuesday, January 19, 2021",8:10 PM EST,4K,$314
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Wednesday, January 13, 2021",1:25 PM EST,10K,$237
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Wednesday, January 6, 2021",2:39 AM EST,8K,$285
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Tuesday, December 29, 2020",12:49 PM EST,7K,$295
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Thursday, December 24, 2020",7:57 AM EST,9K,$292
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Thursday, December 17, 2020",4:28 PM EST,7K,$307
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Tuesday, December 15, 2020",12:13 PM EST,4K,$220
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Saturday, December 5, 2020",6:44 PM EST,9K,$290
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Friday, December 4, 2020",11:29 PM EST,4K,$361
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Friday, December 4, 2020",8:37 AM EST,9K,$288
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Sunday, November 29, 2020",9:06 PM EST,8.5K,$295
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Saturday, November 28, 2020",12:06 PM EST,9.5K,$274
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Saturday, November 28, 2020",11:53 AM EST,8K,$215
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Friday, November 27, 2020",6:19 AM EST,5K,$334
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Thursday, November 26, 2020",10:55 AM EST,8.5K,$284
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Tuesday, November 24, 2020",3:36 AM EST,10K,$257
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Sunday, November 22, 2020",12:03 PM EST,8K,$255
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Saturday, November 14, 2020",4:31 AM EST,10K,$317
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Friday, November 13, 2020",8:28 AM EST,8K,$248
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Thursday, November 12, 2020",3:21 AM EST,9K,$224
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Wednesday, November 11, 2020",11:02 PM EST,8.5K,$387
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Monday, November 9, 2020",7:53 PM EST,7K,$266
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Sunday, November 8, 2020",1:58 PM EST,8.5K,$375
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Friday, November 6, 2020",2:20 PM EST,7K,$275
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Thursday, November 5, 2020",9:17 PM EST,8K,$190
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Thursday, November 5, 2020",9:15 PM EST,7.5K,$190
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Thursday, November 5, 2020",9:08 PM EST,9.5K,$210
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Thursday, November 5, 2020",11:28 AM EST,8.5K,$335
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Wednesday, November 4, 2020",4:07 PM EST,9.5K,$289
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Friday, October 30, 2020",9:14 AM EST,9K,$302
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Saturday, October 24, 2020",8:15 PM EST,5K,$295
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Saturday, October 24, 2020",8:15 PM EST,4K,$328
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Thursday, October 22, 2020",11:59 AM EST,10K,$225
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Wednesday, October 21, 2020",9:42 PM EST,8.5K,$297
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Sunday, October 18, 2020",9:41 PM EST,9K,$323
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Sunday, October 11, 2020",12:09 PM EST,7.5K,$412
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Friday, October 9, 2020",4:10 PM EST,7K,$300
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Sunday, October 4, 2020",4:56 PM EST,5.5K,$369
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Sunday, October 4, 2020",7:41 AM EST,6.5K,$350
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Tuesday, September 29, 2020",6:51 PM EST,6K,$356
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Saturday, September 26, 2020",1:06 AM EST,8K,$338
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Wednesday, September 23, 2020",6:18 PM EST,8.5K,$289
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Wednesday, September 23, 2020",3:35 PM EST,9K,$225
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Thursday, September 17, 2020",12:17 PM EST,7K,$255
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Tuesday, September 15, 2020",7:52 AM EST,6K,$260
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Saturday, September 12, 2020",2:50 PM EST,10K,$250
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Thursday, September 10, 2020",7:09 PM EST,7K,$256
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Wednesday, September 9, 2020",6:02 PM EST,10K,$181
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Tuesday, September 8, 2020",3:07 PM EST,7K,$240
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Sunday, September 6, 2020",10:57 AM EST,10K,$213
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Sunday, September 6, 2020",10:57 AM EST,10K,$214
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Tuesday, September 1, 2020",12:37 AM EST,8K,$251
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Monday, August 31, 2020",2:34 PM EST,10K,$300
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Saturday, August 29, 2020",7:20 PM EST,7K,$299
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Thursday, August 27, 2020",12:00 AM EST,10K,$435
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Thursday, August 27, 2020",11:52 PM EST,10K,$378
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Monday, August 24, 2020",12:36 AM EST,9K,$272
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Friday, August 21, 2020",7:25 PM EST,5K,$299
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Friday, August 21, 2020",1:55 PM EST,10K,$449
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Friday, August 21, 2020",1:04 PM EST,10K,$399
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Friday, August 21, 2020",5:45 AM EST,9K,$250
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Tuesday, August 18, 2020",4:01 PM EST,9K,$272
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Monday, August 10, 2020",4:44 PM EST,10K,$352
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Sunday, August 9, 2020",4:42 PM EST,4K,$151
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Friday, August 7, 2020",11:15 AM EST,8K,$438
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Friday, July 31, 2020",2:44 PM EST,5K,$290
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Thursday, July 23, 2020",12:05 AM EST,7.5K,$422
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Saturday, July 18, 2020",8:41 AM EST,8.5K,$360
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Friday, July 17, 2020",12:51 PM EST,7.5K,$424
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Thursday, July 16, 2020",11:50 PM EST,7K,$300
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Wednesday, July 8, 2020",5:50 PM EST,9K,$400
adidas Yeezy Boost 350 V2 Yecheil (Infant),YZB350V2-YCI,"Wednesday, July 8, 2020",12:14 PM EST,4K,$294
