name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Yecheil (Kids),YZB350V2-YCK,"Thursday, June 24, 2021",10:53 AM EST,2,$521
adidas Yeezy Boost 350 V2 Yecheil (Kids),YZB350V2-YCK,"Sunday, June 13, 2021",6:00 AM EST,1.5,$717
adidas Yeezy Boost 350 V2 Yecheil (Kids),YZB350V2-YCK,"Wednesday, June 9, 2021",4:50 AM EST,12.5K,$612
adidas Yeezy Boost 350 V2 Yecheil (Kids),YZB350V2-YCK,"Wednesday, June 2, 2021",3:36 PM EST,2.5,$658
adidas Yeezy Boost 350 V2 Yecheil (Kids),YZB350V2-YCK,"Monday, May 31, 2021",8:53 AM EST,11K,$300
adidas Yeezy Boost 350 V2 Yecheil (Kids),YZB350V2-YCK,"Thursday, May 27, 2021",10:02 AM EST,2.5,$555
adidas Yeezy Boost 350 V2 Yecheil (Kids),YZB350V2-YCK,"Monday, May 24, 2021",7:03 AM EST,1,$482
adidas Yeezy Boost 350 V2 Yecheil (Kids),YZB350V2-YCK,"Saturday, May 22, 2021",10:22 AM EST,3,$550
adidas Yeezy Boost 350 V2 Yecheil (Kids),YZB350V2-YCK,"Monday, May 17, 2021",11:12 AM EST,3,$520
adidas Yeezy Boost 350 V2 Yecheil (Kids),YZB350V2-YCK,"Saturday, May 8, 2021",1:54 AM EST,2.5,$488
adidas Yeezy Boost 350 V2 Yecheil (Kids),YZB350V2-YCK,"Tuesday, May 4, 2021",6:07 PM EST,13.5K,$430
adidas Yeezy Boost 350 V2 Yecheil (Kids),YZB350V2-YCK,"Sunday, May 2, 2021",7:31 PM EST,2.5,$536
adidas Yeezy Boost 350 V2 Yecheil (Kids),YZB350V2-YCK,"Sunday, May 2, 2021",4:12 AM EST,13K,$408
adidas Yeezy Boost 350 V2 Yecheil (Kids),YZB350V2-YCK,"Tuesday, April 27, 2021",6:05 PM EST,13K,$399
adidas Yeezy Boost 350 V2 Yecheil (Kids),YZB350V2-YCK,"Friday, April 16, 2021",8:28 PM EST,3,$520
adidas Yeezy Boost 350 V2 Yecheil (Kids),YZB350V2-YCK,"Thursday, April 15, 2021",8:16 PM EST,3.5,$578
adidas Yeezy Boost 350 V2 Yecheil (Kids),YZB350V2-YCK,"Tuesday, April 13, 2021",10:27 AM EST,2,$694
adidas Yeezy Boost 350 V2 Yecheil (Kids),YZB350V2-YCK,"Monday, April 12, 2021",10:30 PM EST,3,$519
adidas Yeezy Boost 350 V2 Yecheil (Kids),YZB350V2-YCK,"Wednesday, April 7, 2021",11:37 PM EST,2,$500
adidas Yeezy Boost 350 V2 Yecheil (Kids),YZB350V2-YCK,"Saturday, April 3, 2021",7:21 PM EST,13K,$284
adidas Yeezy Boost 350 V2 Yecheil (Kids),YZB350V2-YCK,"Saturday, April 3, 2021",3:01 AM EST,13K,$206
adidas Yeezy Boost 350 V2 Yecheil (Kids),YZB350V2-YCK,"Monday, March 22, 2021",5:11 PM EST,13.5K,$200
adidas Yeezy Boost 350 V2 Yecheil (Kids),YZB350V2-YCK,"Tuesday, March 16, 2021",7:01 PM EST,1,$220
