name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Yeshaya (Reflective),YZB350V2-YSHRF,"Tuesday, July 6, 2021",1:12 PM EST,9,$590
adidas Yeezy Boost 350 V2 Yeshaya (Reflective),YZB350V2-YSHRF,"Monday, July 5, 2021",8:52 PM EST,12,$358
adidas Yeezy Boost 350 V2 Yeshaya (Reflective),YZB350V2-YSHRF,"Saturday, July 3, 2021",6:24 AM EST,9,$539
adidas Yeezy Boost 350 V2 Yeshaya (Reflective),YZB350V2-YSHRF,"Thursday, July 1, 2021",7:09 AM EST,7,$638
adidas Yeezy Boost 350 V2 Yeshaya (Reflective),YZB350V2-YSHRF,"Wednesday, June 30, 2021",12:54 AM EST,8,$625
adidas Yeezy Boost 350 V2 Yeshaya (Reflective),YZB350V2-YSHRF,"Wednesday, June 30, 2021",12:50 AM EST,9.5,$540
adidas Yeezy Boost 350 V2 Yeshaya (Reflective),YZB350V2-YSHRF,"Tuesday, June 29, 2021",11:38 PM EST,9,$540
adidas Yeezy Boost 350 V2 Yeshaya (Reflective),YZB350V2-YSHRF,"Sunday, June 27, 2021",9:10 AM EST,12,$430
adidas Yeezy Boost 350 V2 Yeshaya (Reflective),YZB350V2-YSHRF,"Tuesday, June 22, 2021",1:15 PM EST,12,$400
adidas Yeezy Boost 350 V2 Yeshaya (Reflective),YZB350V2-YSHRF,"Monday, June 21, 2021",5:50 PM EST,11,$519
adidas Yeezy Boost 350 V2 Yeshaya (Reflective),YZB350V2-YSHRF,"Monday, June 21, 2021",2:45 PM EST,11.5,$474
adidas Yeezy Boost 350 V2 Yeshaya (Reflective),YZB350V2-YSHRF,"Sunday, June 20, 2021",9:46 AM EST,12,$490
adidas Yeezy Boost 350 V2 Yeshaya (Reflective),YZB350V2-YSHRF,"Friday, June 18, 2021",11:11 AM EST,9.5,$502
adidas Yeezy Boost 350 V2 Yeshaya (Reflective),YZB350V2-YSHRF,"Friday, June 18, 2021",10:28 AM EST,10.5,$475
adidas Yeezy Boost 350 V2 Yeshaya (Reflective),YZB350V2-YSHRF,"Thursday, June 17, 2021",3:25 PM EST,11,$498
adidas Yeezy Boost 350 V2 Yeshaya (Reflective),YZB350V2-YSHRF,"Thursday, June 17, 2021",2:11 PM EST,10.5,$530
adidas Yeezy Boost 350 V2 Yeshaya (Reflective),YZB350V2-YSHRF,"Thursday, June 17, 2021",3:44 AM EST,11.5,$473
adidas Yeezy Boost 350 V2 Yeshaya (Reflective),YZB350V2-YSHRF,"Wednesday, June 16, 2021",9:54 PM EST,11,$454
adidas Yeezy Boost 350 V2 Yeshaya (Reflective),YZB350V2-YSHRF,"Wednesday, June 16, 2021",9:29 PM EST,11,$497
adidas Yeezy Boost 350 V2 Yeshaya (Reflective),YZB350V2-YSHRF,"Wednesday, June 16, 2021",8:03 PM EST,5.5,$871
adidas Yeezy Boost 350 V2 Yeshaya (Reflective),YZB350V2-YSHRF,"Tuesday, June 15, 2021",9:40 PM EST,12,$374
adidas Yeezy Boost 350 V2 Yeshaya (Reflective),YZB350V2-YSHRF,"Monday, June 14, 2021",9:36 PM EST,10.5,$530
adidas Yeezy Boost 350 V2 Yeshaya (Reflective),YZB350V2-YSHRF,"Monday, June 14, 2021",1:31 PM EST,7.5,$777
adidas Yeezy Boost 350 V2 Yeshaya (Reflective),YZB350V2-YSHRF,"Saturday, June 12, 2021",6:25 PM EST,9.5,$504
adidas Yeezy Boost 350 V2 Yeshaya (Reflective),YZB350V2-YSHRF,"Friday, June 11, 2021",6:05 PM EST,10.5,$441
adidas Yeezy Boost 350 V2 Yeshaya (Reflective),YZB350V2-YSHRF,"Thursday, June 10, 2021",10:34 AM EST,6,$722
adidas Yeezy Boost 350 V2 Yeshaya (Reflective),YZB350V2-YSHRF,"Tuesday, June 8, 2021",6:48 PM EST,9.5,$540
adidas Yeezy Boost 350 V2 Yeshaya (Reflective),YZB350V2-YSHRF,"Monday, June 7, 2021",10:09 PM EST,9.5,$506
adidas Yeezy Boost 350 V2 Yeshaya (Reflective),YZB350V2-YSHRF,"Monday, June 7, 2021",9:33 AM EST,9.5,$539
