name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Yeshaya (Non-Reflective),YZB350V2-YSHYA,"Tuesday, July 6, 2021",5:50 PM EST,10,$421
adidas Yeezy Boost 350 V2 Yeshaya (Non-Reflective),YZB350V2-YSHYA,"Tuesday, July 6, 2021",3:03 PM EST,9,$421
adidas Yeezy Boost 350 V2 Yeshaya (Non-Reflective),YZB350V2-YSHYA,"Monday, July 5, 2021",1:43 AM EST,11,$335
adidas Yeezy Boost 350 V2 Yeshaya (Non-Reflective),YZB350V2-YSHYA,"Saturday, July 3, 2021",12:31 PM EST,6,$650
adidas Yeezy Boost 350 V2 Yeshaya (Non-Reflective),YZB350V2-YSHYA,"Saturday, July 3, 2021",12:30 PM EST,9,$422
adidas Yeezy Boost 350 V2 Yeshaya (Non-Reflective),YZB350V2-YSHYA,"Saturday, July 3, 2021",10:06 AM EST,9,$422
adidas Yeezy Boost 350 V2 Yeshaya (Non-Reflective),YZB350V2-YSHYA,"Saturday, July 3, 2021",6:58 AM EST,11.5,$378
adidas Yeezy Boost 350 V2 Yeshaya (Non-Reflective),YZB350V2-YSHYA,"Friday, July 2, 2021",7:03 PM EST,11,$385
adidas Yeezy Boost 350 V2 Yeshaya (Non-Reflective),YZB350V2-YSHYA,"Friday, July 2, 2021",10:02 AM EST,11,$361
adidas Yeezy Boost 350 V2 Yeshaya (Non-Reflective),YZB350V2-YSHYA,"Wednesday, June 30, 2021",4:18 PM EST,9.5,$420
adidas Yeezy Boost 350 V2 Yeshaya (Non-Reflective),YZB350V2-YSHYA,"Wednesday, June 30, 2021",12:27 PM EST,12,$322
adidas Yeezy Boost 350 V2 Yeshaya (Non-Reflective),YZB350V2-YSHYA,"Wednesday, June 30, 2021",3:13 AM EST,10,$521
adidas Yeezy Boost 350 V2 Yeshaya (Non-Reflective),YZB350V2-YSHYA,"Tuesday, June 29, 2021",10:57 AM EST,9,$400
adidas Yeezy Boost 350 V2 Yeshaya (Non-Reflective),YZB350V2-YSHYA,"Tuesday, June 29, 2021",4:59 AM EST,8.5,$485
adidas Yeezy Boost 350 V2 Yeshaya (Non-Reflective),YZB350V2-YSHYA,"Monday, June 28, 2021",1:30 PM EST,8,$500
adidas Yeezy Boost 350 V2 Yeshaya (Non-Reflective),YZB350V2-YSHYA,"Monday, June 28, 2021",10:35 AM EST,9.5,$421
adidas Yeezy Boost 350 V2 Yeshaya (Non-Reflective),YZB350V2-YSHYA,"Monday, June 28, 2021",4:17 AM EST,9,$740
adidas Yeezy Boost 350 V2 Yeshaya (Non-Reflective),YZB350V2-YSHYA,"Sunday, June 27, 2021",2:09 PM EST,11,$377
adidas Yeezy Boost 350 V2 Yeshaya (Non-Reflective),YZB350V2-YSHYA,"Sunday, June 27, 2021",8:52 AM EST,10,$534
adidas Yeezy Boost 350 V2 Yeshaya (Non-Reflective),YZB350V2-YSHYA,"Saturday, June 26, 2021",12:14 AM EST,5.5,$630
