name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Tuesday, June 1, 2021",4:37 AM EST,7K,$298
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Monday, May 31, 2021",6:18 PM EST,10K,$215
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Thursday, May 27, 2021",7:44 PM EST,6K,$255
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Saturday, May 22, 2021",7:01 AM EST,7K,$296
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Friday, May 21, 2021",7:57 PM EST,8K,$250
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Tuesday, May 18, 2021",8:02 PM EST,6K,$292
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Tuesday, May 18, 2021",8:02 PM EST,6K,$292
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Sunday, May 16, 2021",10:13 PM EST,6K,$291
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Friday, May 7, 2021",9:39 AM EST,6.5K,$333
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Thursday, May 6, 2021",3:25 PM EST,8K,$305
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Monday, May 3, 2021",12:48 PM EST,9K,$281
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Saturday, May 1, 2021",4:33 PM EST,6.5K,$300
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Thursday, April 29, 2021",4:51 PM EST,6.5K,$393
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Wednesday, April 21, 2021",3:57 PM EST,6K,$185
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Wednesday, April 21, 2021",3:29 PM EST,9K,$230
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Friday, April 16, 2021",6:42 PM EST,8K,$200
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Tuesday, April 6, 2021",4:39 PM EST,10K,$315
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Monday, April 5, 2021",10:11 PM EST,5K,$230
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Monday, April 5, 2021",9:33 AM EST,10K,$228
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Saturday, April 3, 2021",7:03 PM EST,4K,$388
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Wednesday, March 31, 2021",5:15 PM EST,6.5K,$180
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Tuesday, March 30, 2021",7:16 AM EST,4K,$298
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Monday, March 29, 2021",12:30 AM EST,10K,$219
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Sunday, March 28, 2021",1:53 PM EST,9K,$205
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Saturday, March 27, 2021",4:20 PM EST,5.5K,$350
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Saturday, March 27, 2021",7:18 AM EST,8K,$205
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Saturday, March 27, 2021",7:08 AM EST,8K,$204
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Saturday, March 27, 2021",7:08 AM EST,8K,$203
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Saturday, March 27, 2021",7:07 AM EST,10K,$202
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Thursday, March 25, 2021",11:24 PM EST,10K,$201
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Monday, March 22, 2021",7:04 PM EST,8K,$202
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Monday, March 22, 2021",5:11 PM EST,5.5K,$200
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Monday, March 22, 2021",1:17 PM EST,7K,$305
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Sunday, March 21, 2021",8:21 PM EST,6K,$350
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Sunday, March 21, 2021",10:38 AM EST,10K,$200
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Wednesday, March 17, 2021",11:08 PM EST,8K,$200
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Wednesday, March 17, 2021",8:22 AM EST,7K,$250
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Sunday, March 14, 2021",2:02 PM EST,8.5K,$295
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Saturday, March 13, 2021",11:44 AM EST,8K,$203
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Friday, March 12, 2021",8:14 PM EST,10K,$199
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Friday, March 12, 2021",6:53 PM EST,6K,$360
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Friday, March 12, 2021",2:53 PM EST,9K,$205
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Wednesday, March 10, 2021",12:02 PM EST,8K,$200
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Tuesday, March 9, 2021",2:29 PM EST,5K,$360
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Tuesday, March 9, 2021",12:55 PM EST,7K,$195
adidas Yeezy Boost 350 V2 Yeshaya (Infant),YZB350V2-YSI,"Monday, March 8, 2021",6:13 PM EST,4K,$209
