name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Yeshaya (Kids),YZB350V2-YSK,"Wednesday, June 16, 2021",1:40 PM EST,12K,$397
adidas Yeezy Boost 350 V2 Yeshaya (Kids),YZB350V2-YSK,"Friday, June 11, 2021",12:48 AM EST,3,$526
adidas Yeezy Boost 350 V2 Yeshaya (Kids),YZB350V2-YSK,"Monday, June 7, 2021",2:36 PM EST,1.5,$375
adidas Yeezy Boost 350 V2 Yeshaya (Kids),YZB350V2-YSK,"Tuesday, May 25, 2021",4:09 AM EST,11K,$269
adidas Yeezy Boost 350 V2 Yeshaya (Kids),YZB350V2-YSK,"Sunday, May 23, 2021",2:31 PM EST,13K,$350
adidas Yeezy Boost 350 V2 Yeshaya (Kids),YZB350V2-YSK,"Tuesday, May 18, 2021",4:18 PM EST,1,$275
adidas Yeezy Boost 350 V2 Yeshaya (Kids),YZB350V2-YSK,"Sunday, May 16, 2021",4:45 PM EST,2,$399
adidas Yeezy Boost 350 V2 Yeshaya (Kids),YZB350V2-YSK,"Sunday, May 16, 2021",2:27 PM EST,3,$430
adidas Yeezy Boost 350 V2 Yeshaya (Kids),YZB350V2-YSK,"Sunday, May 16, 2021",1:24 AM EST,2,$300
adidas Yeezy Boost 350 V2 Yeshaya (Kids),YZB350V2-YSK,"Friday, May 7, 2021",11:18 AM EST,12K,$300
adidas Yeezy Boost 350 V2 Yeshaya (Kids),YZB350V2-YSK,"Friday, May 7, 2021",2:44 AM EST,13K,$245
adidas Yeezy Boost 350 V2 Yeshaya (Kids),YZB350V2-YSK,"Tuesday, May 4, 2021",11:49 PM EST,2.5,$480
adidas Yeezy Boost 350 V2 Yeshaya (Kids),YZB350V2-YSK,"Sunday, May 2, 2021",3:28 AM EST,2,$360
adidas Yeezy Boost 350 V2 Yeshaya (Kids),YZB350V2-YSK,"Wednesday, April 28, 2021",10:16 PM EST,11K,$245
adidas Yeezy Boost 350 V2 Yeshaya (Kids),YZB350V2-YSK,"Wednesday, April 28, 2021",5:33 PM EST,3,$529
adidas Yeezy Boost 350 V2 Yeshaya (Kids),YZB350V2-YSK,"Saturday, April 24, 2021",4:38 PM EST,13K,$225
adidas Yeezy Boost 350 V2 Yeshaya (Kids),YZB350V2-YSK,"Tuesday, April 13, 2021",10:03 AM EST,13K,$319
adidas Yeezy Boost 350 V2 Yeshaya (Kids),YZB350V2-YSK,"Sunday, April 11, 2021",10:57 AM EST,1,$346
adidas Yeezy Boost 350 V2 Yeshaya (Kids),YZB350V2-YSK,"Friday, April 2, 2021",7:49 AM EST,1,$346
adidas Yeezy Boost 350 V2 Yeshaya (Kids),YZB350V2-YSK,"Wednesday, March 31, 2021",9:21 PM EST,2,$335
adidas Yeezy Boost 350 V2 Yeshaya (Kids),YZB350V2-YSK,"Sunday, March 28, 2021",2:42 PM EST,11K,$232
adidas Yeezy Boost 350 V2 Yeshaya (Kids),YZB350V2-YSK,"Sunday, March 28, 2021",2:14 PM EST,13K,$200
adidas Yeezy Boost 350 V2 Yeshaya (Kids),YZB350V2-YSK,"Sunday, March 28, 2021",2:09 PM EST,12K,$280
adidas Yeezy Boost 350 V2 Yeshaya (Kids),YZB350V2-YSK,"Tuesday, March 23, 2021",4:46 AM EST,2,$310
adidas Yeezy Boost 350 V2 Yeshaya (Kids),YZB350V2-YSK,"Monday, March 22, 2021",12:31 PM EST,2,$308
adidas Yeezy Boost 350 V2 Yeshaya (Kids),YZB350V2-YSK,"Monday, March 22, 2021",2:07 AM EST,2,$300
adidas Yeezy Boost 350 V2 Yeshaya (Kids),YZB350V2-YSK,"Sunday, March 21, 2021",3:49 PM EST,2,$300
adidas Yeezy Boost 350 V2 Yeshaya (Kids),YZB350V2-YSK,"Saturday, March 20, 2021",10:00 AM EST,11K,$227
adidas Yeezy Boost 350 V2 Yeshaya (Kids),YZB350V2-YSK,"Friday, March 19, 2021",1:45 PM EST,12K,$280
adidas Yeezy Boost 350 V2 Yeshaya (Kids),YZB350V2-YSK,"Wednesday, March 17, 2021",9:09 PM EST,2,$267
adidas Yeezy Boost 350 V2 Yeshaya (Kids),YZB350V2-YSK,"Tuesday, March 16, 2021",7:43 PM EST,11K,$227
adidas Yeezy Boost 350 V2 Yeshaya (Kids),YZB350V2-YSK,"Monday, March 15, 2021",5:27 PM EST,2.5,$412
adidas Yeezy Boost 350 V2 Yeshaya (Kids),YZB350V2-YSK,"Monday, March 15, 2021",1:27 PM EST,2,$300
adidas Yeezy Boost 350 V2 Yeshaya (Kids),YZB350V2-YSK,"Monday, March 15, 2021",8:51 AM EST,12K,$281
adidas Yeezy Boost 350 V2 Yeshaya (Kids),YZB350V2-YSK,"Monday, March 15, 2021",8:51 AM EST,1,$288
adidas Yeezy Boost 350 V2 Yeshaya (Kids),YZB350V2-YSK,"Sunday, March 14, 2021",11:52 PM EST,11K,$227
adidas Yeezy Boost 350 V2 Yeshaya (Kids),YZB350V2-YSK,"Sunday, March 14, 2021",1:31 PM EST,2.5,$394
