name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Yeezreel (Non-Reflective),YZB350V2-YZRL,"Tuesday, July 6, 2021",7:57 PM EST,8.5,$250
adidas Yeezy Boost 350 V2 Yeezreel (Non-Reflective),YZB350V2-YZRL,"Tuesday, July 6, 2021",4:23 PM EST,16,$318
adidas Yeezy Boost 350 V2 Yeezreel (Non-Reflective),YZB350V2-YZRL,"Tuesday, July 6, 2021",4:01 PM EST,10,$350
adidas Yeezy Boost 350 V2 Yeezreel (Non-Reflective),YZB350V2-YZRL,"Tuesday, July 6, 2021",2:31 PM EST,11,$296
adidas Yeezy Boost 350 V2 Yeezreel (Non-Reflective),YZB350V2-YZRL,"Tuesday, July 6, 2021",2:16 PM EST,4.5,$270
adidas Yeezy Boost 350 V2 Yeezreel (Non-Reflective),YZB350V2-YZRL,"Tuesday, July 6, 2021",11:18 AM EST,8.5,$302
adidas Yeezy Boost 350 V2 Yeezreel (Non-Reflective),YZB350V2-YZRL,"Tuesday, July 6, 2021",10:42 AM EST,9.5,$279
adidas Yeezy Boost 350 V2 Yeezreel (Non-Reflective),YZB350V2-YZRL,"Tuesday, July 6, 2021",10:24 AM EST,5.5,$380
adidas Yeezy Boost 350 V2 Yeezreel (Non-Reflective),YZB350V2-YZRL,"Tuesday, July 6, 2021",10:08 AM EST,16,$252
adidas Yeezy Boost 350 V2 Yeezreel (Non-Reflective),YZB350V2-YZRL,"Tuesday, July 6, 2021",9:43 AM EST,9,$255
adidas Yeezy Boost 350 V2 Yeezreel (Non-Reflective),YZB350V2-YZRL,"Tuesday, July 6, 2021",8:03 AM EST,12,$348
adidas Yeezy Boost 350 V2 Yeezreel (Non-Reflective),YZB350V2-YZRL,"Tuesday, July 6, 2021",7:46 AM EST,11.5,$298
adidas Yeezy Boost 350 V2 Yeezreel (Non-Reflective),YZB350V2-YZRL,"Tuesday, July 6, 2021",7:05 AM EST,14,$290
adidas Yeezy Boost 350 V2 Yeezreel (Non-Reflective),YZB350V2-YZRL,"Monday, July 5, 2021",12:38 AM EST,10,$290
adidas Yeezy Boost 350 V2 Yeezreel (Non-Reflective),YZB350V2-YZRL,"Monday, July 5, 2021",10:55 PM EST,9,$245
adidas Yeezy Boost 350 V2 Yeezreel (Non-Reflective),YZB350V2-YZRL,"Monday, July 5, 2021",8:49 PM EST,10,$252
adidas Yeezy Boost 350 V2 Yeezreel (Non-Reflective),YZB350V2-YZRL,"Monday, July 5, 2021",1:58 PM EST,10.5,$299
adidas Yeezy Boost 350 V2 Yeezreel (Non-Reflective),YZB350V2-YZRL,"Monday, July 5, 2021",9:18 AM EST,7.5,$313
adidas Yeezy Boost 350 V2 Yeezreel (Non-Reflective),YZB350V2-YZRL,"Monday, July 5, 2021",8:46 AM EST,10,$337
adidas Yeezy Boost 350 V2 Yeezreel (Non-Reflective),YZB350V2-YZRL,"Monday, July 5, 2021",7:12 AM EST,8,$299
adidas Yeezy Boost 350 V2 Yeezreel (Non-Reflective),YZB350V2-YZRL,"Monday, July 5, 2021",6:57 AM EST,9,$303
adidas Yeezy Boost 350 V2 Yeezreel (Non-Reflective),YZB350V2-YZRL,"Sunday, July 4, 2021",12:21 AM EST,11,$306
adidas Yeezy Boost 350 V2 Yeezreel (Non-Reflective),YZB350V2-YZRL,"Sunday, July 4, 2021",11:08 PM EST,10,$295
adidas Yeezy Boost 350 V2 Yeezreel (Non-Reflective),YZB350V2-YZRL,"Sunday, July 4, 2021",10:12 PM EST,7.5,$337
adidas Yeezy Boost 350 V2 Yeezreel (Non-Reflective),YZB350V2-YZRL,"Sunday, July 4, 2021",8:38 PM EST,10,$294
adidas Yeezy Boost 350 V2 Yeezreel (Non-Reflective),YZB350V2-YZRL,"Sunday, July 4, 2021",7:58 PM EST,12,$346
adidas Yeezy Boost 350 V2 Yeezreel (Non-Reflective),YZB350V2-YZRL,"Sunday, July 4, 2021",4:17 PM EST,7,$373
adidas Yeezy Boost 350 V2 Yeezreel (Non-Reflective),YZB350V2-YZRL,"Sunday, July 4, 2021",3:49 PM EST,9.5,$299
adidas Yeezy Boost 350 V2 Yeezreel (Non-Reflective),YZB350V2-YZRL,"Sunday, July 4, 2021",2:35 PM EST,10.5,$285
adidas Yeezy Boost 350 V2 Yeezreel (Non-Reflective),YZB350V2-YZRL,"Sunday, July 4, 2021",10:23 AM EST,10.5,$296
adidas Yeezy Boost 350 V2 Yeezreel (Non-Reflective),YZB350V2-YZRL,"Sunday, July 4, 2021",1:24 AM EST,5.5,$372
adidas Yeezy Boost 350 V2 Yeezreel (Non-Reflective),YZB350V2-YZRL,"Saturday, July 3, 2021",11:28 PM EST,11,$306
adidas Yeezy Boost 350 V2 Yeezreel (Non-Reflective),YZB350V2-YZRL,"Saturday, July 3, 2021",10:03 PM EST,9,$276
adidas Yeezy Boost 350 V2 Yeezreel (Non-Reflective),YZB350V2-YZRL,"Saturday, July 3, 2021",9:50 PM EST,11,$297
adidas Yeezy Boost 350 V2 Yeezreel (Non-Reflective),YZB350V2-YZRL,"Saturday, July 3, 2021",1:33 PM EST,8.5,$285
