name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Yeezreel (Reflective),YZB350V2-YZRLRF,"Tuesday, July 6, 2021",7:18 PM EST,9.5,$379
adidas Yeezy Boost 350 V2 Yeezreel (Reflective),YZB350V2-YZRLRF,"Tuesday, July 6, 2021",5:58 PM EST,9.5,$430
adidas Yeezy Boost 350 V2 Yeezreel (Reflective),YZB350V2-YZRLRF,"Tuesday, July 6, 2021",2:55 PM EST,10,$300
adidas Yeezy Boost 350 V2 Yeezreel (Reflective),YZB350V2-YZRLRF,"Tuesday, July 6, 2021",2:43 PM EST,6,$430
adidas Yeezy Boost 350 V2 Yeezreel (Reflective),YZB350V2-YZRLRF,"Tuesday, July 6, 2021",2:13 PM EST,10,$301
adidas Yeezy Boost 350 V2 Yeezreel (Reflective),YZB350V2-YZRLRF,"Monday, July 5, 2021",12:43 AM EST,10.5,$416
adidas Yeezy Boost 350 V2 Yeezreel (Reflective),YZB350V2-YZRLRF,"Sunday, July 4, 2021",12:07 PM EST,12,$392
adidas Yeezy Boost 350 V2 Yeezreel (Reflective),YZB350V2-YZRLRF,"Saturday, July 3, 2021",12:37 AM EST,10,$415
adidas Yeezy Boost 350 V2 Yeezreel (Reflective),YZB350V2-YZRLRF,"Friday, July 2, 2021",3:44 AM EST,11,$400
adidas Yeezy Boost 350 V2 Yeezreel (Reflective),YZB350V2-YZRLRF,"Thursday, July 1, 2021",6:48 PM EST,8,$445
adidas Yeezy Boost 350 V2 Yeezreel (Reflective),YZB350V2-YZRLRF,"Thursday, July 1, 2021",3:55 PM EST,14,$375
adidas Yeezy Boost 350 V2 Yeezreel (Reflective),YZB350V2-YZRLRF,"Thursday, July 1, 2021",2:38 PM EST,10.5,$375
adidas Yeezy Boost 350 V2 Yeezreel (Reflective),YZB350V2-YZRLRF,"Wednesday, June 30, 2021",2:58 AM EST,8,$401
adidas Yeezy Boost 350 V2 Yeezreel (Reflective),YZB350V2-YZRLRF,"Tuesday, June 29, 2021",10:52 PM EST,10,$358
adidas Yeezy Boost 350 V2 Yeezreel (Reflective),YZB350V2-YZRLRF,"Tuesday, June 29, 2021",11:03 AM EST,9.5,$432
adidas Yeezy Boost 350 V2 Yeezreel (Reflective),YZB350V2-YZRLRF,"Tuesday, June 29, 2021",6:28 AM EST,8.5,$368
adidas Yeezy Boost 350 V2 Yeezreel (Reflective),YZB350V2-YZRLRF,"Sunday, June 27, 2021",10:27 PM EST,8.5,$400
adidas Yeezy Boost 350 V2 Yeezreel (Reflective),YZB350V2-YZRLRF,"Friday, June 25, 2021",10:21 PM EST,11.5,$445
adidas Yeezy Boost 350 V2 Yeezreel (Reflective),YZB350V2-YZRLRF,"Wednesday, June 23, 2021",1:56 PM EST,10,$366
adidas Yeezy Boost 350 V2 Yeezreel (Reflective),YZB350V2-YZRLRF,"Tuesday, June 22, 2021",9:49 PM EST,11,$434
adidas Yeezy Boost 350 V2 Yeezreel (Reflective),YZB350V2-YZRLRF,"Tuesday, June 22, 2021",3:19 AM EST,8,$405
