name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Zyon (Infants),YZB350V2-ZYNI,"Monday, July 5, 2021",5:03 PM EST,6K,$200
adidas Yeezy Boost 350 V2 Zyon (Infants),YZB350V2-ZYNI,"Friday, July 2, 2021",9:15 PM EST,7.5K,$287
adidas Yeezy Boost 350 V2 Zyon (Infants),YZB350V2-ZYNI,"Friday, July 2, 2021",5:36 PM EST,9K,$249
adidas Yeezy Boost 350 V2 Zyon (Infants),YZB350V2-ZYNI,"Thursday, July 1, 2021",9:24 AM EST,10K,$214
adidas Yeezy Boost 350 V2 Zyon (Infants),YZB350V2-ZYNI,"Wednesday, June 30, 2021",2:23 PM EST,9K,$411
adidas Yeezy Boost 350 V2 Zyon (Infants),YZB350V2-ZYNI,"Monday, June 28, 2021",1:56 PM EST,10K,$213
adidas Yeezy Boost 350 V2 Zyon (Infants),YZB350V2-ZYNI,"Friday, June 25, 2021",1:27 PM EST,10K,$219
adidas Yeezy Boost 350 V2 Zyon (Infants),YZB350V2-ZYNI,"Friday, June 25, 2021",12:00 PM EST,9K,$272
adidas Yeezy Boost 350 V2 Zyon (Infants),YZB350V2-ZYNI,"Thursday, June 24, 2021",1:54 PM EST,5K,$250
adidas Yeezy Boost 350 V2 Zyon (Infants),YZB350V2-ZYNI,"Wednesday, June 23, 2021",2:10 PM EST,5K,$249
adidas Yeezy Boost 350 V2 Zyon (Infants),YZB350V2-ZYNI,"Monday, June 21, 2021",5:29 PM EST,9K,$248
adidas Yeezy Boost 350 V2 Zyon (Infants),YZB350V2-ZYNI,"Sunday, June 20, 2021",4:26 AM EST,8K,$250
adidas Yeezy Boost 350 V2 Zyon (Infants),YZB350V2-ZYNI,"Saturday, June 19, 2021",11:08 PM EST,5K,$240
adidas Yeezy Boost 350 V2 Zyon (Infants),YZB350V2-ZYNI,"Thursday, June 17, 2021",12:18 PM EST,8.5K,$240
adidas Yeezy Boost 350 V2 Zyon (Infants),YZB350V2-ZYNI,"Thursday, June 17, 2021",10:26 AM EST,7K,$230
