name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Zyon (Kids),YZB350V2-ZYNK,"Tuesday, July 6, 2021",6:27 PM EST,3Y,$335
adidas Yeezy Boost 350 V2 Zyon (Kids),YZB350V2-ZYNK,"Tuesday, July 6, 2021",2:22 PM EST,2Y,$251
adidas Yeezy Boost 350 V2 Zyon (Kids),YZB350V2-ZYNK,"Monday, July 5, 2021",11:05 AM EST,2.5Y,$300
adidas Yeezy Boost 350 V2 Zyon (Kids),YZB350V2-ZYNK,"Saturday, July 3, 2021",10:05 PM EST,3.5Y,$337
adidas Yeezy Boost 350 V2 Zyon (Kids),YZB350V2-ZYNK,"Thursday, July 1, 2021",7:01 PM EST,3Y,$266
adidas Yeezy Boost 350 V2 Zyon (Kids),YZB350V2-ZYNK,"Thursday, July 1, 2021",4:26 PM EST,12K,$289
adidas Yeezy Boost 350 V2 Zyon (Kids),YZB350V2-ZYNK,"Thursday, July 1, 2021",10:27 AM EST,13K,$240
adidas Yeezy Boost 350 V2 Zyon (Kids),YZB350V2-ZYNK,"Wednesday, June 30, 2021",4:28 PM EST,2.5Y,$320
adidas Yeezy Boost 350 V2 Zyon (Kids),YZB350V2-ZYNK,"Wednesday, June 30, 2021",3:01 PM EST,3Y,$318
adidas Yeezy Boost 350 V2 Zyon (Kids),YZB350V2-ZYNK,"Tuesday, June 29, 2021",8:27 PM EST,13.5K,$186
adidas Yeezy Boost 350 V2 Zyon (Kids),YZB350V2-ZYNK,"Tuesday, June 29, 2021",5:24 PM EST,1Y,$318
adidas Yeezy Boost 350 V2 Zyon (Kids),YZB350V2-ZYNK,"Tuesday, June 29, 2021",4:48 PM EST,2Y,$350
adidas Yeezy Boost 350 V2 Zyon (Kids),YZB350V2-ZYNK,"Sunday, June 27, 2021",5:37 PM EST,2.5Y,$320
adidas Yeezy Boost 350 V2 Zyon (Kids),YZB350V2-ZYNK,"Sunday, June 27, 2021",2:07 PM EST,2Y,$328
adidas Yeezy Boost 350 V2 Zyon (Kids),YZB350V2-ZYNK,"Friday, June 25, 2021",1:57 PM EST,1Y,$190
adidas Yeezy Boost 350 V2 Zyon (Kids),YZB350V2-ZYNK,"Thursday, June 24, 2021",12:15 AM EST,2.5Y,$300
adidas Yeezy Boost 350 V2 Zyon (Kids),YZB350V2-ZYNK,"Thursday, June 24, 2021",1:28 PM EST,13.5K,$383
adidas Yeezy Boost 350 V2 Zyon (Kids),YZB350V2-ZYNK,"Tuesday, June 22, 2021",12:16 PM EST,2.5Y,$300
adidas Yeezy Boost 350 V2 Zyon (Kids),YZB350V2-ZYNK,"Monday, June 21, 2021",2:45 PM EST,3.5Y,$331
adidas Yeezy Boost 350 V2 Zyon (Kids),YZB350V2-ZYNK,"Monday, June 21, 2021",2:44 PM EST,12K,$191
adidas Yeezy Boost 350 V2 Zyon (Kids),YZB350V2-ZYNK,"Friday, June 18, 2021",10:25 PM EST,1Y,$319
adidas Yeezy Boost 350 V2 Zyon (Kids),YZB350V2-ZYNK,"Friday, June 18, 2021",9:15 PM EST,2.5Y,$319
adidas Yeezy Boost 350 V2 Zyon (Kids),YZB350V2-ZYNK,"Friday, June 18, 2021",5:55 PM EST,3.5Y,$356
adidas Yeezy Boost 350 V2 Zyon (Kids),YZB350V2-ZYNK,"Friday, June 18, 2021",1:10 PM EST,2Y,$316
adidas Yeezy Boost 350 V2 Zyon (Kids),YZB350V2-ZYNK,"Wednesday, June 16, 2021",3:06 PM EST,1.5Y,$252
adidas Yeezy Boost 350 V2 Zyon (Kids),YZB350V2-ZYNK,"Wednesday, June 16, 2021",11:44 AM EST,3Y,$316
adidas Yeezy Boost 350 V2 Zyon (Kids),YZB350V2-ZYNK,"Wednesday, June 16, 2021",10:35 AM EST,10.5K,$352
adidas Yeezy Boost 350 V2 Zyon (Kids),YZB350V2-ZYNK,"Wednesday, June 16, 2021",9:53 AM EST,1Y,$290
adidas Yeezy Boost 350 V2 Zyon (Kids),YZB350V2-ZYNK,"Tuesday, June 15, 2021",4:31 AM EST,3Y,$265
adidas Yeezy Boost 350 V2 Zyon (Kids),YZB350V2-ZYNK,"Tuesday, June 15, 2021",3:30 AM EST,12K,$290
adidas Yeezy Boost 350 V2 Zyon (Kids),YZB350V2-ZYNK,"Monday, June 14, 2021",11:18 AM EST,2Y,$329
adidas Yeezy Boost 350 V2 Zyon (Kids),YZB350V2-ZYNK,"Sunday, June 13, 2021",8:09 PM EST,3Y,$325
adidas Yeezy Boost 350 V2 Zyon (Kids),YZB350V2-ZYNK,"Sunday, June 13, 2021",1:09 PM EST,11K,$285
adidas Yeezy Boost 350 V2 Zyon (Kids),YZB350V2-ZYNK,"Saturday, June 12, 2021",12:40 PM EST,11K,$275
adidas Yeezy Boost 350 V2 Zyon (Kids),YZB350V2-ZYNK,"Saturday, June 12, 2021",9:36 AM EST,2.5Y,$330
adidas Yeezy Boost 350 V2 Zyon (Kids),YZB350V2-ZYNK,"Friday, June 11, 2021",9:27 PM EST,3Y,$320
adidas Yeezy Boost 350 V2 Zyon (Kids),YZB350V2-ZYNK,"Friday, June 11, 2021",2:03 AM EST,10.5K,$396
adidas Yeezy Boost 350 V2 Zyon (Kids),YZB350V2-ZYNK,"Tuesday, June 8, 2021",1:46 PM EST,13K,$408
adidas Yeezy Boost 350 V2 Zyon (Kids),YZB350V2-ZYNK,"Monday, June 7, 2021",2:33 PM EST,1.5Y,$304
