name,ticker,date,time,size,price
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Tuesday, July 6, 2021",6:32 PM EST,14,$450
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Tuesday, July 6, 2021",5:57 PM EST,12,$385
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Tuesday, July 6, 2021",5:51 PM EST,11.5,$404
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Tuesday, July 6, 2021",3:30 PM EST,12,$310
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Tuesday, July 6, 2021",12:11 PM EST,12,$375
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Monday, July 5, 2021",8:19 AM EST,11.5,$610
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Saturday, July 3, 2021",4:29 PM EST,12.5,$400
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Saturday, July 3, 2021",4:29 PM EST,7,$420
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Saturday, July 3, 2021",4:12 PM EST,9,$381
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Friday, July 2, 2021",11:26 PM EST,13,$419
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Friday, July 2, 2021",7:37 AM EST,12.5,$372
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Thursday, July 1, 2021",8:44 PM EST,12,$375
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Thursday, July 1, 2021",8:16 PM EST,12,$318
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Thursday, July 1, 2021",5:42 PM EST,9,$317
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Thursday, July 1, 2021",5:36 PM EST,8.5,$412
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Thursday, July 1, 2021",3:05 PM EST,10,$390
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Wednesday, June 30, 2021",10:12 PM EST,11,$413
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Wednesday, June 30, 2021",5:37 PM EST,9.5,$405
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Wednesday, June 30, 2021",4:08 PM EST,6.5,$358
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Wednesday, June 30, 2021",11:42 AM EST,10,$410
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Tuesday, June 29, 2021",7:11 AM EST,8.5,$400
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Monday, June 28, 2021",11:08 PM EST,10.5,$405
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Monday, June 28, 2021",11:03 AM EST,10,$415
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Sunday, June 27, 2021",10:43 PM EST,9,$318
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Sunday, June 27, 2021",1:22 PM EST,12,$403
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Saturday, June 26, 2021",5:55 PM EST,11,$413
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Saturday, June 26, 2021",5:37 PM EST,6,$369
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Saturday, June 26, 2021",4:50 PM EST,12,$384
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Saturday, June 26, 2021",5:10 AM EST,10.5,$380
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Friday, June 25, 2021",5:13 PM EST,9.5,$364
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Friday, June 25, 2021",5:06 PM EST,12,$350
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Friday, June 25, 2021",4:04 PM EST,7.5,$384
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Friday, June 25, 2021",4:31 AM EST,10,$419
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Thursday, June 24, 2021",5:43 PM EST,11,$429
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Thursday, June 24, 2021",3:10 PM EST,5,$330
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Thursday, June 24, 2021",11:13 AM EST,9,$382
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Thursday, June 24, 2021",2:30 AM EST,10,$351
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Wednesday, June 23, 2021",1:32 PM EST,5,$383
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Wednesday, June 23, 2021",12:43 PM EST,12,$418
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Tuesday, June 22, 2021",3:45 PM EST,9.5,$364
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Tuesday, June 22, 2021",3:07 PM EST,13,$423
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Monday, June 21, 2021",12:48 PM EST,8.5,$415
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Sunday, June 20, 2021",12:31 AM EST,12,$384
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Sunday, June 20, 2021",7:34 AM EST,10.5,$364
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Saturday, June 19, 2021",9:01 PM EST,11.5,$467
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Saturday, June 19, 2021",3:25 AM EST,5,$379
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Friday, June 18, 2021",8:42 PM EST,11,$420
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Wednesday, June 16, 2021",8:51 PM EST,10.5,$400
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Wednesday, June 16, 2021",6:50 PM EST,11.5,$450
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Wednesday, June 16, 2021",9:03 AM EST,9,$362
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Tuesday, June 15, 2021",7:17 PM EST,10,$409
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Tuesday, June 15, 2021",6:11 AM EST,9,$414
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Sunday, June 13, 2021",9:22 PM EST,11,$420
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Sunday, June 13, 2021",6:10 PM EST,12,$436
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Sunday, June 13, 2021",6:03 AM EST,10.5,$361
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Saturday, June 12, 2021",1:20 AM EST,12,$369
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Friday, June 11, 2021",11:13 PM EST,10.5,$411
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Friday, June 11, 2021",10:05 PM EST,8,$460
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Friday, June 11, 2021",8:51 PM EST,5,$380
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Friday, June 11, 2021",8:05 AM EST,11.5,$619
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Friday, June 11, 2021",7:47 AM EST,11,$409
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Thursday, June 10, 2021",8:12 PM EST,11.5,$449
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Thursday, June 10, 2021",4:09 PM EST,13,$424
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Thursday, June 10, 2021",11:59 AM EST,9.5,$421
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Thursday, June 10, 2021",11:51 AM EST,9.5,$396
adidas Yeezy Boost 380 Alien,YZB380-ALIEN,"Thursday, June 10, 2021",10:53 AM EST,9.5,$400
