name,ticker,date,time,size,price
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Tuesday, July 6, 2021",2:51 PM EST,6,$262
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Tuesday, July 6, 2021",2:03 PM EST,9,$332
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Tuesday, July 6, 2021",9:55 AM EST,10.5,$259
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Monday, July 5, 2021",8:33 PM EST,10.5,$260
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Monday, July 5, 2021",5:51 PM EST,12,$227
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Sunday, July 4, 2021",1:10 PM EST,5.5,$284
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Saturday, July 3, 2021",3:27 AM EST,5.5,$191
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Thursday, July 1, 2021",8:07 AM EST,11.5,$262
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Wednesday, June 30, 2021",7:49 PM EST,4,$217
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Tuesday, June 29, 2021",9:10 PM EST,13,$262
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Tuesday, June 29, 2021",5:59 PM EST,8.5,$366
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Monday, June 28, 2021",1:00 PM EST,10.5,$261
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Sunday, June 27, 2021",11:03 AM EST,8.5,$340
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Saturday, June 26, 2021",6:17 AM EST,10.5,$261
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Wednesday, June 23, 2021",7:40 AM EST,5.5,$267
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Saturday, June 19, 2021",10:30 PM EST,11,$251
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Saturday, June 19, 2021",10:21 PM EST,10,$279
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Friday, June 18, 2021",9:19 AM EST,12,$270
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Thursday, June 17, 2021",11:30 AM EST,7.5,$335
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Wednesday, June 16, 2021",5:43 PM EST,10,$280
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Thursday, June 10, 2021",11:09 PM EST,10,$299
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Thursday, June 10, 2021",6:10 PM EST,4,$270
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Thursday, June 10, 2021",12:43 PM EST,9.5,$322
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Thursday, June 10, 2021",10:51 AM EST,10.5,$280
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Thursday, June 10, 2021",6:01 AM EST,10.5,$285
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Thursday, June 10, 2021",5:53 AM EST,7.5,$360
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Wednesday, June 9, 2021",9:05 PM EST,10,$289
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Wednesday, June 9, 2021",8:23 PM EST,9.5,$340
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Wednesday, June 9, 2021",3:46 AM EST,11,$285
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Wednesday, June 9, 2021",3:07 AM EST,9.5,$340
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Wednesday, June 9, 2021",2:14 AM EST,4,$269
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Tuesday, June 8, 2021",10:32 AM EST,4,$210
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Sunday, June 6, 2021",5:23 PM EST,7.5,$307
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Saturday, June 5, 2021",3:59 AM EST,10.5,$288
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Friday, June 4, 2021",5:15 AM EST,10,$291
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Thursday, June 3, 2021",9:25 PM EST,9.5,$339
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Wednesday, June 2, 2021",9:07 PM EST,8.5,$368
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Wednesday, June 2, 2021",8:20 PM EST,7.5,$359
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Wednesday, June 2, 2021",8:18 PM EST,8.5,$343
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Wednesday, June 2, 2021",4:28 AM EST,11,$285
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Wednesday, June 2, 2021",2:38 AM EST,9.5,$338
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Tuesday, June 1, 2021",3:16 PM EST,10,$290
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Tuesday, June 1, 2021",12:49 PM EST,10,$289
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Tuesday, June 1, 2021",3:36 AM EST,10.5,$280
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Monday, May 31, 2021",11:59 PM EST,11,$283
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Monday, May 31, 2021",11:39 PM EST,9.5,$317
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Monday, May 31, 2021",5:45 AM EST,7.5,$360
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Sunday, May 30, 2021",9:05 PM EST,8.5,$331
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Sunday, May 30, 2021",12:53 PM EST,9,$351
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Saturday, May 29, 2021",4:46 PM EST,9,$327
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Saturday, May 29, 2021",10:15 AM EST,9.5,$313
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Friday, May 28, 2021",3:48 PM EST,9.5,$313
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Thursday, May 27, 2021",10:55 PM EST,10,$285
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Thursday, May 27, 2021",8:38 AM EST,12,$250
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Thursday, May 27, 2021",1:27 AM EST,9.5,$340
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Wednesday, May 26, 2021",10:28 PM EST,11,$270
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Wednesday, May 26, 2021",8:28 PM EST,9.5,$339
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Wednesday, May 26, 2021",8:07 PM EST,11,$251
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Wednesday, May 26, 2021",6:51 AM EST,11,$255
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Wednesday, May 26, 2021",4:39 AM EST,9.5,$339
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Tuesday, May 25, 2021",10:47 PM EST,10,$290
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Tuesday, May 25, 2021",8:12 PM EST,8.5,$344
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Tuesday, May 25, 2021",7:11 PM EST,8,$326
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Tuesday, May 25, 2021",3:33 PM EST,8.5,$342
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Monday, May 24, 2021",1:33 PM EST,9,$320
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Monday, May 24, 2021",10:47 AM EST,9,$320
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Monday, May 24, 2021",6:21 AM EST,8,$365
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Monday, May 24, 2021",2:49 AM EST,6,$320
adidas Yeezy Boost 380 Mist Reflective,YZB380-MSTRF,"Sunday, May 23, 2021",12:16 AM EST,10.5,$247
