name,ticker,date,time,size,price
adidas Yeezy 500 Bone White,YZB500-BW,"Tuesday, July 6, 2021",1:37 PM EST,9,$418
adidas Yeezy 500 Bone White,YZB500-BW,"Tuesday, July 6, 2021",6:43 AM EST,9,$478
adidas Yeezy 500 Bone White,YZB500-BW,"Monday, July 5, 2021",8:11 PM EST,9,$477
adidas Yeezy 500 Bone White,YZB500-BW,"Monday, July 5, 2021",4:11 PM EST,10.5,$431
adidas Yeezy 500 Bone White,YZB500-BW,"Monday, July 5, 2021",10:50 AM EST,10,$473
adidas Yeezy 500 Bone White,YZB500-BW,"Monday, July 5, 2021",9:59 AM EST,11.5,$478
adidas Yeezy 500 Bone White,YZB500-BW,"Friday, July 2, 2021",9:16 PM EST,10.5,$460
adidas Yeezy 500 Bone White,YZB500-BW,"Thursday, July 1, 2021",1:07 AM EST,8.5,$470
adidas Yeezy 500 Bone White,YZB500-BW,"Wednesday, June 30, 2021",12:36 AM EST,13,$454
adidas Yeezy 500 Bone White,YZB500-BW,"Tuesday, June 29, 2021",5:26 PM EST,12,$420
adidas Yeezy 500 Bone White,YZB500-BW,"Monday, June 28, 2021",1:18 PM EST,10.5,$452
adidas Yeezy 500 Bone White,YZB500-BW,"Monday, June 28, 2021",7:37 AM EST,9.5,$438
adidas Yeezy 500 Bone White,YZB500-BW,"Saturday, June 26, 2021",7:35 PM EST,8.5,$413
adidas Yeezy 500 Bone White,YZB500-BW,"Saturday, June 26, 2021",1:56 PM EST,13,$452
adidas Yeezy 500 Bone White,YZB500-BW,"Saturday, June 26, 2021",3:03 AM EST,10,$410
adidas Yeezy 500 Bone White,YZB500-BW,"Friday, June 25, 2021",7:37 PM EST,12,$526
adidas Yeezy 500 Bone White,YZB500-BW,"Friday, June 25, 2021",3:20 PM EST,14,$492
adidas Yeezy 500 Bone White,YZB500-BW,"Friday, June 25, 2021",2:51 PM EST,11,$370
adidas Yeezy 500 Bone White,YZB500-BW,"Friday, June 25, 2021",8:55 AM EST,8,$466
adidas Yeezy 500 Bone White,YZB500-BW,"Thursday, June 24, 2021",3:34 PM EST,10,$336
adidas Yeezy 500 Bone White,YZB500-BW,"Thursday, June 24, 2021",2:23 PM EST,12,$416
adidas Yeezy 500 Bone White,YZB500-BW,"Thursday, June 24, 2021",10:53 AM EST,8.5,$447
adidas Yeezy 500 Bone White,YZB500-BW,"Thursday, June 24, 2021",10:51 AM EST,8.5,$446
adidas Yeezy 500 Bone White,YZB500-BW,"Wednesday, June 23, 2021",10:56 PM EST,8.5,$460
adidas Yeezy 500 Bone White,YZB500-BW,"Tuesday, June 22, 2021",4:15 PM EST,12,$353
adidas Yeezy 500 Bone White,YZB500-BW,"Tuesday, June 22, 2021",4:05 PM EST,10.5,$511
adidas Yeezy 500 Bone White,YZB500-BW,"Monday, June 21, 2021",3:21 PM EST,8,$450
adidas Yeezy 500 Bone White,YZB500-BW,"Monday, June 21, 2021",1:56 PM EST,9.5,$435
adidas Yeezy 500 Bone White,YZB500-BW,"Monday, June 21, 2021",12:32 PM EST,9.5,$432
adidas Yeezy 500 Bone White,YZB500-BW,"Monday, June 21, 2021",9:16 AM EST,8,$406
adidas Yeezy 500 Bone White,YZB500-BW,"Monday, June 21, 2021",4:46 AM EST,11,$409
adidas Yeezy 500 Bone White,YZB500-BW,"Saturday, June 19, 2021",4:03 PM EST,10.5,$449
adidas Yeezy 500 Bone White,YZB500-BW,"Saturday, June 19, 2021",3:21 PM EST,6,$700
adidas Yeezy 500 Bone White,YZB500-BW,"Saturday, June 19, 2021",1:42 PM EST,11,$409
adidas Yeezy 500 Bone White,YZB500-BW,"Saturday, June 19, 2021",11:08 AM EST,11,$408
adidas Yeezy 500 Bone White,YZB500-BW,"Saturday, June 19, 2021",4:25 AM EST,8.5,$454
adidas Yeezy 500 Bone White,YZB500-BW,"Friday, June 18, 2021",9:21 PM EST,13,$421
adidas Yeezy 500 Bone White,YZB500-BW,"Friday, June 18, 2021",4:03 PM EST,10.5,$440
adidas Yeezy 500 Bone White,YZB500-BW,"Friday, June 18, 2021",2:33 PM EST,12,$415
adidas Yeezy 500 Bone White,YZB500-BW,"Friday, June 18, 2021",1:12 PM EST,5,$674
adidas Yeezy 500 Bone White,YZB500-BW,"Friday, June 18, 2021",11:32 AM EST,12,$416
adidas Yeezy 500 Bone White,YZB500-BW,"Thursday, June 17, 2021",10:26 PM EST,10.5,$425
adidas Yeezy 500 Bone White,YZB500-BW,"Thursday, June 17, 2021",6:16 PM EST,8.5,$453
adidas Yeezy 500 Bone White,YZB500-BW,"Wednesday, June 16, 2021",10:40 AM EST,12,$408
adidas Yeezy 500 Bone White,YZB500-BW,"Wednesday, June 16, 2021",6:46 AM EST,8.5,$434
adidas Yeezy 500 Bone White,YZB500-BW,"Tuesday, June 15, 2021",10:32 PM EST,10.5,$405
adidas Yeezy 500 Bone White,YZB500-BW,"Tuesday, June 15, 2021",6:48 PM EST,9.5,$409
adidas Yeezy 500 Bone White,YZB500-BW,"Tuesday, June 15, 2021",5:46 PM EST,10,$415
adidas Yeezy 500 Bone White,YZB500-BW,"Tuesday, June 15, 2021",5:30 PM EST,13,$419
adidas Yeezy 500 Bone White,YZB500-BW,"Tuesday, June 15, 2021",8:58 AM EST,7,$561
adidas Yeezy 500 Bone White,YZB500-BW,"Tuesday, June 15, 2021",8:57 AM EST,14,$300
adidas Yeezy 500 Bone White,YZB500-BW,"Tuesday, June 15, 2021",6:13 AM EST,10.5,$370
