name,ticker,date,time,size,price
adidas Yeezy 500 Bone White (Kids),YZB500-BWPS,"Thursday, June 3, 2021",11:29 PM EST,12K,$225
adidas Yeezy 500 Bone White (Kids),YZB500-BWPS,"Saturday, May 29, 2021",4:01 PM EST,13K,$290
adidas Yeezy 500 Bone White (Kids),YZB500-BWPS,"Tuesday, May 18, 2021",1:06 PM EST,11K,$162
adidas Yeezy 500 Bone White (Kids),YZB500-BWPS,"Tuesday, May 11, 2021",9:33 AM EST,12K,$213
adidas Yeezy 500 Bone White (Kids),YZB500-BWPS,"Thursday, May 6, 2021",2:54 PM EST,11K,$163
adidas Yeezy 500 Bone White (Kids),YZB500-BWPS,"Wednesday, April 28, 2021",8:56 AM EST,11K,$332
adidas Yeezy 500 Bone White (Kids),YZB500-BWPS,"Wednesday, April 21, 2021",9:49 AM EST,12.5K,$250
adidas Yeezy 500 Bone White (Kids),YZB500-BWPS,"Tuesday, April 13, 2021",6:04 PM EST,2,$350
adidas Yeezy 500 Bone White (Kids),YZB500-BWPS,"Saturday, April 3, 2021",7:35 PM EST,13K,$144
adidas Yeezy 500 Bone White (Kids),YZB500-BWPS,"Monday, March 29, 2021",7:21 PM EST,13K,$145
adidas Yeezy 500 Bone White (Kids),YZB500-BWPS,"Wednesday, March 17, 2021",11:08 PM EST,11K,$250
adidas Yeezy 500 Bone White (Kids),YZB500-BWPS,"Tuesday, March 16, 2021",12:02 PM EST,1,$221
adidas Yeezy 500 Bone White (Kids),YZB500-BWPS,"Tuesday, March 2, 2021",11:04 AM EST,1,$201
adidas Yeezy 500 Bone White (Kids),YZB500-BWPS,"Monday, February 8, 2021",4:16 PM EST,12K,$221
adidas Yeezy 500 Bone White (Kids),YZB500-BWPS,"Saturday, January 30, 2021",9:36 AM EST,1.5,$271
adidas Yeezy 500 Bone White (Kids),YZB500-BWPS,"Saturday, January 2, 2021",7:33 PM EST,1,$395
adidas Yeezy 500 Bone White (Kids),YZB500-BWPS,"Friday, January 1, 2021",4:20 PM EST,11K,$305
adidas Yeezy 500 Bone White (Kids),YZB500-BWPS,"Thursday, December 31, 2020",6:26 PM EST,2,$302
adidas Yeezy 500 Bone White (Kids),YZB500-BWPS,"Saturday, December 26, 2020",12:26 PM EST,11K,$210
adidas Yeezy 500 Bone White (Kids),YZB500-BWPS,"Saturday, December 26, 2020",12:25 PM EST,13K,$201
adidas Yeezy 500 Bone White (Kids),YZB500-BWPS,"Friday, December 25, 2020",10:10 PM EST,13K,$136
adidas Yeezy 500 Bone White (Kids),YZB500-BWPS,"Friday, December 25, 2020",5:42 PM EST,2,$300
adidas Yeezy 500 Bone White (Kids),YZB500-BWPS,"Saturday, December 12, 2020",4:41 AM EST,12K,$301
adidas Yeezy 500 Bone White (Kids),YZB500-BWPS,"Friday, December 11, 2020",1:25 PM EST,12K,$219
