name,ticker,date,time,size,price
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Friday, July 2, 2021",6:11 PM EST,9K,$255
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Friday, July 2, 2021",12:53 PM EST,8K,$249
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Monday, June 21, 2021",8:26 PM EST,4K,$350
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Wednesday, June 16, 2021",9:43 PM EST,8K,$249
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Saturday, June 12, 2021",10:43 PM EST,6K,$215
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Friday, June 4, 2021",7:54 PM EST,4K,$200
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Monday, May 31, 2021",6:45 PM EST,9.5K,$297
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Friday, May 28, 2021",10:09 PM EST,7K,$239
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Saturday, May 22, 2021",9:20 PM EST,10K,$275
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Saturday, May 22, 2021",9:18 PM EST,9K,$249
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Friday, May 21, 2021",11:32 AM EST,4K,$302
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Saturday, May 15, 2021",4:48 PM EST,9K,$240
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Friday, May 14, 2021",7:07 PM EST,9K,$267
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Wednesday, May 5, 2021",12:34 PM EST,9K,$175
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Saturday, April 24, 2021",11:25 PM EST,9K,$225
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Wednesday, April 21, 2021",9:47 AM EST,8K,$225
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Tuesday, April 13, 2021",8:39 PM EST,9K,$170
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Monday, April 12, 2021",11:34 AM EST,7K,$250
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Thursday, April 1, 2021",12:45 PM EST,6K,$300
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Tuesday, March 30, 2021",4:33 AM EST,7K,$170
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Monday, March 29, 2021",9:24 AM EST,8K,$295
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Sunday, March 28, 2021",2:25 PM EST,10K,$145
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Wednesday, March 17, 2021",12:01 AM EST,8.5K,$315
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Sunday, March 14, 2021",1:18 PM EST,6K,$265
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Sunday, February 21, 2021",11:46 AM EST,7.5K,$225
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Saturday, February 20, 2021",5:12 AM EST,10K,$298
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Monday, February 1, 2021",1:01 AM EST,6.5K,$294
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Thursday, January 21, 2021",11:03 PM EST,7K,$180
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Thursday, January 21, 2021",12:53 PM EST,9K,$350
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Thursday, January 7, 2021",7:43 PM EST,5.5K,$250
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Thursday, December 31, 2020",6:06 PM EST,5.5K,$247
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Tuesday, November 24, 2020",7:46 AM EST,9.5K,$228
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Monday, November 16, 2020",9:52 AM EST,9.5K,$218
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Friday, November 6, 2020",8:20 AM EST,7.5K,$242
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Saturday, October 31, 2020",10:44 AM EST,6.5K,$292
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Sunday, October 25, 2020",7:38 PM EST,9K,$255
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Thursday, October 22, 2020",3:30 PM EST,9.5K,$226
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Wednesday, October 21, 2020",1:12 PM EST,9K,$255
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Wednesday, October 21, 2020",2:43 AM EST,7.5K,$182
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Thursday, October 15, 2020",12:38 PM EST,5.5K,$265
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Saturday, October 3, 2020",10:34 PM EST,10K,$270
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Tuesday, September 22, 2020",2:28 PM EST,8K,$211
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Monday, September 14, 2020",8:32 PM EST,9K,$150
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Sunday, September 13, 2020",8:56 AM EST,7K,$240
adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,"Friday, September 11, 2020",4:10 AM EST,6.5K,$260
