name,ticker,date,time,size,price
adidas Yeezy 500 Stone,YZB500-STN,"Tuesday, July 6, 2021",3:50 PM EST,12,$203
adidas Yeezy 500 Stone,YZB500-STN,"Tuesday, July 6, 2021",2:48 PM EST,8.5,$256
adidas Yeezy 500 Stone,YZB500-STN,"Tuesday, July 6, 2021",2:47 PM EST,8.5,$255
adidas Yeezy 500 Stone,YZB500-STN,"Tuesday, July 6, 2021",2:40 PM EST,9,$252
adidas Yeezy 500 Stone,YZB500-STN,"Tuesday, July 6, 2021",2:36 PM EST,11,$237
adidas Yeezy 500 Stone,YZB500-STN,"Monday, July 5, 2021",10:34 PM EST,6,$450
adidas Yeezy 500 Stone,YZB500-STN,"Monday, July 5, 2021",8:11 PM EST,13,$201
adidas Yeezy 500 Stone,YZB500-STN,"Monday, July 5, 2021",8:11 PM EST,10,$252
adidas Yeezy 500 Stone,YZB500-STN,"Monday, July 5, 2021",3:41 AM EST,10.5,$290
adidas Yeezy 500 Stone,YZB500-STN,"Sunday, July 4, 2021",11:14 AM EST,10,$275
adidas Yeezy 500 Stone,YZB500-STN,"Sunday, July 4, 2021",3:24 AM EST,12,$281
adidas Yeezy 500 Stone,YZB500-STN,"Friday, July 2, 2021",1:26 PM EST,11,$300
adidas Yeezy 500 Stone,YZB500-STN,"Thursday, July 1, 2021",9:01 PM EST,9,$355
adidas Yeezy 500 Stone,YZB500-STN,"Thursday, July 1, 2021",5:49 PM EST,9,$368
adidas Yeezy 500 Stone,YZB500-STN,"Thursday, July 1, 2021",1:30 PM EST,9,$300
adidas Yeezy 500 Stone,YZB500-STN,"Wednesday, June 30, 2021",6:44 PM EST,8.5,$259
adidas Yeezy 500 Stone,YZB500-STN,"Wednesday, June 30, 2021",6:44 PM EST,8.5,$258
adidas Yeezy 500 Stone,YZB500-STN,"Wednesday, June 30, 2021",10:09 AM EST,7.5,$393
adidas Yeezy 500 Stone,YZB500-STN,"Wednesday, June 30, 2021",9:58 AM EST,10.5,$256
adidas Yeezy 500 Stone,YZB500-STN,"Tuesday, June 29, 2021",8:33 PM EST,13,$286
adidas Yeezy 500 Stone,YZB500-STN,"Tuesday, June 29, 2021",7:36 PM EST,9,$293
adidas Yeezy 500 Stone,YZB500-STN,"Tuesday, June 29, 2021",7:34 PM EST,8,$378
adidas Yeezy 500 Stone,YZB500-STN,"Tuesday, June 29, 2021",12:34 PM EST,10.5,$274
adidas Yeezy 500 Stone,YZB500-STN,"Monday, June 28, 2021",10:26 PM EST,5,$372
adidas Yeezy 500 Stone,YZB500-STN,"Monday, June 28, 2021",6:51 PM EST,10,$260
adidas Yeezy 500 Stone,YZB500-STN,"Monday, June 28, 2021",2:44 AM EST,9,$286
adidas Yeezy 500 Stone,YZB500-STN,"Sunday, June 27, 2021",4:50 PM EST,11,$237
adidas Yeezy 500 Stone,YZB500-STN,"Sunday, June 27, 2021",10:58 AM EST,6,$407
adidas Yeezy 500 Stone,YZB500-STN,"Friday, June 25, 2021",12:34 PM EST,11,$309
adidas Yeezy 500 Stone,YZB500-STN,"Friday, June 25, 2021",10:45 AM EST,5,$356
adidas Yeezy 500 Stone,YZB500-STN,"Friday, June 25, 2021",4:11 AM EST,10,$290
adidas Yeezy 500 Stone,YZB500-STN,"Thursday, June 24, 2021",5:11 AM EST,10,$280
adidas Yeezy 500 Stone,YZB500-STN,"Wednesday, June 23, 2021",6:24 PM EST,9.5,$282
adidas Yeezy 500 Stone,YZB500-STN,"Wednesday, June 23, 2021",6:23 PM EST,9,$283
adidas Yeezy 500 Stone,YZB500-STN,"Wednesday, June 23, 2021",6:15 PM EST,14,$440
adidas Yeezy 500 Stone,YZB500-STN,"Wednesday, June 23, 2021",2:38 PM EST,5,$384
adidas Yeezy 500 Stone,YZB500-STN,"Wednesday, June 23, 2021",11:04 AM EST,11,$293
adidas Yeezy 500 Stone,YZB500-STN,"Monday, June 21, 2021",7:53 PM EST,5,$388
adidas Yeezy 500 Stone,YZB500-STN,"Sunday, June 20, 2021",12:01 PM EST,13,$301
adidas Yeezy 500 Stone,YZB500-STN,"Friday, June 18, 2021",10:47 PM EST,4.5,$367
adidas Yeezy 500 Stone,YZB500-STN,"Friday, June 18, 2021",10:35 PM EST,10.5,$290
adidas Yeezy 500 Stone,YZB500-STN,"Thursday, June 17, 2021",12:56 PM EST,9,$330
adidas Yeezy 500 Stone,YZB500-STN,"Wednesday, June 16, 2021",9:35 PM EST,8.5,$308
adidas Yeezy 500 Stone,YZB500-STN,"Wednesday, June 16, 2021",1:14 PM EST,9.5,$300
adidas Yeezy 500 Stone,YZB500-STN,"Tuesday, June 15, 2021",4:39 PM EST,8.5,$378
adidas Yeezy 500 Stone,YZB500-STN,"Monday, June 14, 2021",10:45 PM EST,11,$280
adidas Yeezy 500 Stone,YZB500-STN,"Monday, June 14, 2021",4:45 AM EST,10,$284
adidas Yeezy 500 Stone,YZB500-STN,"Sunday, June 13, 2021",6:32 PM EST,9.5,$299
adidas Yeezy 500 Stone,YZB500-STN,"Sunday, June 13, 2021",4:53 AM EST,10,$321
adidas Yeezy 500 Stone,YZB500-STN,"Sunday, June 13, 2021",4:38 AM EST,8,$484
adidas Yeezy 500 Stone,YZB500-STN,"Sunday, June 13, 2021",4:36 AM EST,8,$483
adidas Yeezy 500 Stone,YZB500-STN,"Saturday, June 12, 2021",1:12 PM EST,13,$367
adidas Yeezy 500 Stone,YZB500-STN,"Friday, June 11, 2021",9:23 AM EST,8.5,$405
adidas Yeezy 500 Stone,YZB500-STN,"Friday, June 11, 2021",2:25 AM EST,10,$295
adidas Yeezy 500 Stone,YZB500-STN,"Thursday, June 10, 2021",8:56 PM EST,9.5,$290
adidas Yeezy 500 Stone,YZB500-STN,"Thursday, June 10, 2021",3:08 PM EST,12,$350
adidas Yeezy 500 Stone,YZB500-STN,"Thursday, June 10, 2021",3:40 AM EST,8.5,$309
adidas Yeezy 500 Stone,YZB500-STN,"Wednesday, June 9, 2021",9:46 PM EST,5,$450
adidas Yeezy 500 Stone,YZB500-STN,"Wednesday, June 9, 2021",1:36 AM EST,11,$315
adidas Yeezy 500 Stone,YZB500-STN,"Tuesday, June 8, 2021",10:59 PM EST,11,$314
adidas Yeezy 500 Stone,YZB500-STN,"Tuesday, June 8, 2021",2:47 PM EST,6.5,$520
adidas Yeezy 500 Stone,YZB500-STN,"Tuesday, June 8, 2021",10:45 AM EST,11,$266
adidas Yeezy 500 Stone,YZB500-STN,"Monday, June 7, 2021",6:36 PM EST,11.5,$400
adidas Yeezy 500 Stone,YZB500-STN,"Sunday, June 6, 2021",12:36 PM EST,12,$351
adidas Yeezy 500 Stone,YZB500-STN,"Sunday, June 6, 2021",6:29 AM EST,8.5,$350
adidas Yeezy 500 Stone,YZB500-STN,"Saturday, June 5, 2021",12:43 PM EST,12,$435
adidas Yeezy 500 Stone,YZB500-STN,"Friday, June 4, 2021",9:59 PM EST,12,$400
adidas Yeezy 500 Stone,YZB500-STN,"Friday, June 4, 2021",8:38 PM EST,9.5,$301
adidas Yeezy 500 Stone,YZB500-STN,"Friday, June 4, 2021",1:31 PM EST,6.5,$520
adidas Yeezy 500 Stone,YZB500-STN,"Friday, June 4, 2021",9:47 AM EST,10.5,$299
adidas Yeezy 500 Stone,YZB500-STN,"Thursday, June 3, 2021",11:02 AM EST,10,$299
adidas Yeezy 500 Stone,YZB500-STN,"Wednesday, June 2, 2021",8:21 PM EST,10,$300
adidas Yeezy 500 Stone,YZB500-STN,"Wednesday, June 2, 2021",2:17 PM EST,6.5,$456
adidas Yeezy 500 Stone,YZB500-STN,"Wednesday, June 2, 2021",1:25 PM EST,6,$506
adidas Yeezy 500 Stone,YZB500-STN,"Tuesday, June 1, 2021",6:39 PM EST,11,$300
adidas Yeezy 500 Stone,YZB500-STN,"Tuesday, June 1, 2021",2:19 PM EST,11,$270
adidas Yeezy 500 Stone,YZB500-STN,"Tuesday, June 1, 2021",11:28 AM EST,5,$500
adidas Yeezy 500 Stone,YZB500-STN,"Monday, May 31, 2021",4:24 PM EST,9.5,$336
adidas Yeezy 500 Stone,YZB500-STN,"Monday, May 31, 2021",4:15 PM EST,10,$299
