name,ticker,date,time,size,price
adidas Yeezy 500 Stone (Infant),YZB500-STNTD,"Thursday, June 3, 2021",1:53 PM EST,5K,$152
adidas Yeezy 500 Stone (Infant),YZB500-STNTD,"Tuesday, June 1, 2021",9:23 AM EST,8K,$204
adidas Yeezy 500 Stone (Infant),YZB500-STNTD,"Sunday, May 30, 2021",10:31 PM EST,7.5K,$206
adidas Yeezy 500 Stone (Infant),YZB500-STNTD,"Thursday, May 6, 2021",2:01 AM EST,8K,$203
adidas Yeezy 500 Stone (Infant),YZB500-STNTD,"Wednesday, May 5, 2021",10:03 PM EST,8K,$203
adidas Yeezy 500 Stone (Infant),YZB500-STNTD,"Sunday, April 25, 2021",9:35 PM EST,8K,$188
adidas Yeezy 500 Stone (Infant),YZB500-STNTD,"Wednesday, April 21, 2021",12:08 AM EST,10K,$170
adidas Yeezy 500 Stone (Infant),YZB500-STNTD,"Monday, April 12, 2021",10:42 PM EST,9.5K,$183
adidas Yeezy 500 Stone (Infant),YZB500-STNTD,"Saturday, April 3, 2021",2:30 AM EST,9K,$179
adidas Yeezy 500 Stone (Infant),YZB500-STNTD,"Sunday, March 21, 2021",7:30 PM EST,9K,$150
adidas Yeezy 500 Stone (Infant),YZB500-STNTD,"Saturday, March 20, 2021",11:00 PM EST,10K,$150
adidas Yeezy 500 Stone (Infant),YZB500-STNTD,"Saturday, March 20, 2021",7:40 PM EST,8K,$150
adidas Yeezy 500 Stone (Infant),YZB500-STNTD,"Sunday, March 14, 2021",5:00 AM EST,6K,$164
adidas Yeezy 500 Stone (Infant),YZB500-STNTD,"Tuesday, March 9, 2021",7:55 PM EST,10K,$179
adidas Yeezy 500 Stone (Infant),YZB500-STNTD,"Tuesday, March 9, 2021",4:14 PM EST,10K,$215
adidas Yeezy 500 Stone (Infant),YZB500-STNTD,"Tuesday, March 9, 2021",12:58 PM EST,9K,$227
adidas Yeezy 500 Stone (Infant),YZB500-STNTD,"Monday, March 1, 2021",8:37 PM EST,10K,$179
adidas Yeezy 500 Stone (Infant),YZB500-STNTD,"Thursday, February 25, 2021",8:18 PM EST,6.5K,$169
adidas Yeezy 500 Stone (Infant),YZB500-STNTD,"Wednesday, February 24, 2021",11:59 AM EST,10K,$235
