name,ticker,date,time,size,price
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Tuesday, May 25, 2021",2:15 PM EST,10.5K,$375
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Saturday, May 22, 2021",11:02 PM EST,1,$346
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Wednesday, May 19, 2021",10:35 PM EST,1,$344
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Thursday, May 13, 2021",3:03 PM EST,10.5K,$164
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Monday, May 10, 2021",10:58 PM EST,12K,$181
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Saturday, May 8, 2021",9:07 PM EST,13.5K,$249
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Saturday, May 8, 2021",1:33 PM EST,1.5,$263
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Sunday, May 2, 2021",4:18 PM EST,12.5K,$347
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Thursday, April 29, 2021",7:16 PM EST,10.5K,$305
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Wednesday, April 21, 2021",9:43 AM EST,12.5K,$345
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Thursday, April 15, 2021",12:01 PM EST,13.5K,$149
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Thursday, April 15, 2021",11:58 AM EST,13.5K,$212
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Sunday, March 28, 2021",8:03 AM EST,2,$373
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Sunday, March 21, 2021",3:35 PM EST,10.5K,$187
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Thursday, March 18, 2021",12:47 AM EST,2,$350
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Friday, March 12, 2021",10:57 AM EST,2,$299
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Thursday, March 11, 2021",2:54 PM EST,2,$289
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Monday, March 8, 2021",8:53 PM EST,2,$285
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Friday, March 5, 2021",8:22 PM EST,11.5K,$202
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Wednesday, March 3, 2021",9:11 AM EST,2.5,$404
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Wednesday, March 3, 2021",1:20 AM EST,3,$309
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Monday, March 1, 2021",9:33 AM EST,1,$362
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Sunday, February 28, 2021",12:13 AM EST,2.5,$321
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Sunday, February 28, 2021",12:11 AM EST,2.5,$325
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Saturday, February 20, 2021",5:56 PM EST,10.5K,$214
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Wednesday, February 17, 2021",4:50 PM EST,1.5,$200
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Monday, February 1, 2021",11:43 AM EST,11K,$296
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Sunday, January 31, 2021",7:09 AM EST,1,$233
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Saturday, January 23, 2021",4:36 PM EST,12.5K,$290
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Monday, January 11, 2021",7:03 PM EST,3.5,$500
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Sunday, January 10, 2021",3:56 PM EST,3,$356
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Monday, December 14, 2020",7:33 AM EST,13K,$301
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Saturday, December 12, 2020",12:26 PM EST,2,$297
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Sunday, December 6, 2020",11:16 AM EST,3,$400
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Thursday, December 3, 2020",3:49 PM EST,12.5K,$266
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Wednesday, November 25, 2020",5:45 AM EST,3,$389
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Wednesday, November 25, 2020",5:44 AM EST,3,$388
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Wednesday, November 11, 2020",6:56 AM EST,11K,$300
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Sunday, November 8, 2020",7:47 PM EST,11.5K,$204
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Wednesday, November 4, 2020",2:04 PM EST,1.5,$213
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Saturday, October 31, 2020",10:30 AM EST,3,$349
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Friday, October 30, 2020",6:55 PM EST,1,$185
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Thursday, October 29, 2020",10:41 PM EST,3,$365
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Wednesday, October 21, 2020",3:01 AM EST,13K,$250
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Monday, October 19, 2020",7:26 AM EST,11.5K,$175
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Saturday, October 17, 2020",6:46 PM EST,3.5,$325
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Tuesday, October 13, 2020",6:42 PM EST,3,$365
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Sunday, October 4, 2020",9:20 PM EST,11K,$150
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Saturday, October 3, 2020",10:59 PM EST,1.5,$207
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Saturday, October 3, 2020",10:59 PM EST,1.5,$206
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Saturday, October 3, 2020",10:59 PM EST,11.5K,$171
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Monday, September 28, 2020",8:02 PM EST,1.5,$201
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Monday, September 28, 2020",5:59 PM EST,3.5,$301
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Tuesday, September 22, 2020",8:41 PM EST,1.5,$202
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Saturday, September 19, 2020",12:33 AM EST,12.5K,$210
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Thursday, September 17, 2020",11:15 AM EST,2,$350
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Thursday, September 17, 2020",6:16 AM EST,1,$234
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Monday, September 14, 2020",1:03 PM EST,1,$213
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Wednesday, September 9, 2020",7:45 PM EST,2,$330
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Wednesday, September 9, 2020",7:18 PM EST,1.5,$170
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Wednesday, September 2, 2020",12:09 AM EST,11.5K,$186
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Tuesday, September 1, 2020",6:36 PM EST,11.5K,$169
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Monday, August 24, 2020",11:58 AM EST,12.5K,$221
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Sunday, August 23, 2020",7:16 AM EST,2,$288
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Sunday, August 23, 2020",7:15 AM EST,3,$400
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Tuesday, August 18, 2020",4:25 PM EST,13K,$179
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Monday, August 17, 2020",9:18 PM EST,13K,$179
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Saturday, August 15, 2020",1:36 PM EST,3,$288
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Friday, August 14, 2020",5:43 PM EST,1.5,$170
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Wednesday, August 12, 2020",10:11 AM EST,2.5,$270
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Tuesday, August 11, 2020",10:41 PM EST,1.5,$196
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Tuesday, August 11, 2020",10:41 PM EST,1.5,$195
adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,"Tuesday, August 11, 2020",10:40 PM EST,1.5,$194
