name,ticker,date,time,size,price
adidas Yeezy 500 Soft Vision (Infant),YZB500-SVTD,"Monday, June 28, 2021",12:47 PM EST,8.5K,$424
adidas Yeezy 500 Soft Vision (Infant),YZB500-SVTD,"Friday, June 18, 2021",2:21 AM EST,5K,$240
adidas Yeezy 500 Soft Vision (Infant),YZB500-SVTD,"Monday, June 14, 2021",10:15 AM EST,7.5K,$210
adidas Yeezy 500 Soft Vision (Infant),YZB500-SVTD,"Thursday, May 27, 2021",6:44 PM EST,10K,$234
adidas Yeezy 500 Soft Vision (Infant),YZB500-SVTD,"Thursday, May 20, 2021",12:44 AM EST,5K,$195
adidas Yeezy 500 Soft Vision (Infant),YZB500-SVTD,"Tuesday, May 11, 2021",4:21 AM EST,7.5K,$160
adidas Yeezy 500 Soft Vision (Infant),YZB500-SVTD,"Thursday, May 6, 2021",12:49 PM EST,6K,$255
adidas Yeezy 500 Soft Vision (Infant),YZB500-SVTD,"Monday, April 26, 2021",4:45 PM EST,8K,$348
adidas Yeezy 500 Soft Vision (Infant),YZB500-SVTD,"Monday, April 26, 2021",2:12 AM EST,8K,$270
adidas Yeezy 500 Soft Vision (Infant),YZB500-SVTD,"Wednesday, April 21, 2021",3:59 PM EST,8K,$220
adidas Yeezy 500 Soft Vision (Infant),YZB500-SVTD,"Wednesday, April 21, 2021",9:46 AM EST,8K,$244
adidas Yeezy 500 Soft Vision (Infant),YZB500-SVTD,"Sunday, April 18, 2021",11:02 AM EST,10K,$195
adidas Yeezy 500 Soft Vision (Infant),YZB500-SVTD,"Thursday, April 15, 2021",7:04 PM EST,9K,$168
adidas Yeezy 500 Soft Vision (Infant),YZB500-SVTD,"Friday, April 9, 2021",2:08 PM EST,6.5K,$272
adidas Yeezy 500 Soft Vision (Infant),YZB500-SVTD,"Wednesday, April 7, 2021",5:08 PM EST,9.5K,$168
adidas Yeezy 500 Soft Vision (Infant),YZB500-SVTD,"Monday, April 5, 2021",9:57 PM EST,4K,$160
adidas Yeezy 500 Soft Vision (Infant),YZB500-SVTD,"Monday, April 5, 2021",9:45 PM EST,8.5K,$160
adidas Yeezy 500 Soft Vision (Infant),YZB500-SVTD,"Thursday, April 1, 2021",9:50 PM EST,8K,$221
adidas Yeezy 500 Soft Vision (Infant),YZB500-SVTD,"Wednesday, March 31, 2021",12:54 AM EST,5.5K,$275
adidas Yeezy 500 Soft Vision (Infant),YZB500-SVTD,"Monday, March 29, 2021",7:19 PM EST,6K,$200
adidas Yeezy 500 Soft Vision (Infant),YZB500-SVTD,"Sunday, March 28, 2021",2:47 PM EST,7.5K,$100
adidas Yeezy 500 Soft Vision (Infant),YZB500-SVTD,"Monday, March 22, 2021",8:38 PM EST,5K,$231
adidas Yeezy 500 Soft Vision (Infant),YZB500-SVTD,"Tuesday, March 16, 2021",3:23 AM EST,10K,$343
adidas Yeezy 500 Soft Vision (Infant),YZB500-SVTD,"Tuesday, March 9, 2021",2:25 PM EST,7.5K,$300
adidas Yeezy 500 Soft Vision (Infant),YZB500-SVTD,"Tuesday, March 9, 2021",2:23 PM EST,5.5K,$225
adidas Yeezy 500 Soft Vision (Infant),YZB500-SVTD,"Tuesday, March 9, 2021",2:22 PM EST,7K,$315
adidas Yeezy 500 Soft Vision (Infant),YZB500-SVTD,"Wednesday, March 3, 2021",11:51 AM EST,8K,$250
adidas Yeezy 500 Soft Vision (Infant),YZB500-SVTD,"Sunday, February 21, 2021",11:41 AM EST,8.5K,$199
adidas Yeezy 500 Soft Vision (Infant),YZB500-SVTD,"Tuesday, February 2, 2021",7:14 AM EST,9K,$278
adidas Yeezy 500 Soft Vision (Infant),YZB500-SVTD,"Sunday, January 17, 2021",7:02 AM EST,6K,$340
