name,ticker,date,time,size,price
adidas Yeezy Boost 700 Carbon Blue,YZB700-CRBL,"Tuesday, July 6, 2021",2:55 PM EST,10.5,$509
adidas Yeezy Boost 700 Carbon Blue,YZB700-CRBL,"Tuesday, July 6, 2021",2:53 PM EST,4,$354
adidas Yeezy Boost 700 Carbon Blue,YZB700-CRBL,"Monday, July 5, 2021",6:27 PM EST,11,$512
adidas Yeezy Boost 700 Carbon Blue,YZB700-CRBL,"Monday, July 5, 2021",6:11 PM EST,5,$549
adidas Yeezy Boost 700 Carbon Blue,YZB700-CRBL,"Friday, July 2, 2021",10:25 AM EST,4,$385
adidas Yeezy Boost 700 Carbon Blue,YZB700-CRBL,"Wednesday, June 30, 2021",2:06 PM EST,9,$711
adidas Yeezy Boost 700 Carbon Blue,YZB700-CRBL,"Tuesday, June 29, 2021",11:16 AM EST,12,$675
adidas Yeezy Boost 700 Carbon Blue,YZB700-CRBL,"Monday, June 28, 2021",9:58 AM EST,11,$552
adidas Yeezy Boost 700 Carbon Blue,YZB700-CRBL,"Sunday, June 27, 2021",4:52 PM EST,10.5,$600
adidas Yeezy Boost 700 Carbon Blue,YZB700-CRBL,"Sunday, June 27, 2021",1:02 PM EST,10,$550
adidas Yeezy Boost 700 Carbon Blue,YZB700-CRBL,"Saturday, June 26, 2021",12:26 AM EST,9,$699
adidas Yeezy Boost 700 Carbon Blue,YZB700-CRBL,"Saturday, June 26, 2021",1:11 AM EST,11,$509
adidas Yeezy Boost 700 Carbon Blue,YZB700-CRBL,"Friday, June 25, 2021",3:32 PM EST,12,$650
adidas Yeezy Boost 700 Carbon Blue,YZB700-CRBL,"Friday, June 25, 2021",1:10 PM EST,10,$550
adidas Yeezy Boost 700 Carbon Blue,YZB700-CRBL,"Wednesday, June 23, 2021",9:07 PM EST,10.5,$593
adidas Yeezy Boost 700 Carbon Blue,YZB700-CRBL,"Saturday, June 19, 2021",7:28 PM EST,12,$578
adidas Yeezy Boost 700 Carbon Blue,YZB700-CRBL,"Thursday, June 17, 2021",9:17 AM EST,8.5,$610
adidas Yeezy Boost 700 Carbon Blue,YZB700-CRBL,"Thursday, June 17, 2021",8:14 AM EST,10,$559
adidas Yeezy Boost 700 Carbon Blue,YZB700-CRBL,"Wednesday, June 16, 2021",8:39 AM EST,8,$575
adidas Yeezy Boost 700 Carbon Blue,YZB700-CRBL,"Tuesday, June 15, 2021",9:40 PM EST,8.5,$545
adidas Yeezy Boost 700 Carbon Blue,YZB700-CRBL,"Tuesday, June 15, 2021",5:09 PM EST,10,$534
adidas Yeezy Boost 700 Carbon Blue,YZB700-CRBL,"Tuesday, June 15, 2021",4:37 PM EST,11,$570
adidas Yeezy Boost 700 Carbon Blue,YZB700-CRBL,"Tuesday, June 15, 2021",9:56 AM EST,8,$506
adidas Yeezy Boost 700 Carbon Blue,YZB700-CRBL,"Friday, June 11, 2021",5:58 PM EST,9.5,$613
adidas Yeezy Boost 700 Carbon Blue,YZB700-CRBL,"Friday, June 11, 2021",4:10 AM EST,6,$575
adidas Yeezy Boost 700 Carbon Blue,YZB700-CRBL,"Thursday, June 10, 2021",8:32 PM EST,9,$600
adidas Yeezy Boost 700 Carbon Blue,YZB700-CRBL,"Thursday, June 10, 2021",4:51 PM EST,11.5,$700
adidas Yeezy Boost 700 Carbon Blue,YZB700-CRBL,"Wednesday, June 9, 2021",4:10 AM EST,8.5,$526
adidas Yeezy Boost 700 Carbon Blue,YZB700-CRBL,"Monday, June 7, 2021",12:17 AM EST,11,$575
adidas Yeezy Boost 700 Carbon Blue,YZB700-CRBL,"Saturday, June 5, 2021",12:51 AM EST,10,$690
