name,ticker,date,time,size,price
adidas Yeezy Boost 700 Analog,YZB700-NLG,"Tuesday, July 6, 2021",5:55 PM EST,9,$351
adidas Yeezy Boost 700 Analog,YZB700-NLG,"Tuesday, July 6, 2021",3:09 PM EST,8,$443
adidas Yeezy Boost 700 Analog,YZB700-NLG,"Tuesday, July 6, 2021",2:20 PM EST,8,$376
adidas Yeezy Boost 700 Analog,YZB700-NLG,"Tuesday, July 6, 2021",2:12 PM EST,12,$385
adidas Yeezy Boost 700 Analog,YZB700-NLG,"Tuesday, July 6, 2021",6:56 AM EST,8,$410
adidas Yeezy Boost 700 Analog,YZB700-NLG,"Monday, July 5, 2021",2:14 PM EST,10.5,$499
adidas Yeezy Boost 700 Analog,YZB700-NLG,"Sunday, July 4, 2021",7:28 PM EST,9.5,$384
adidas Yeezy Boost 700 Analog,YZB700-NLG,"Sunday, July 4, 2021",8:52 AM EST,9,$416
adidas Yeezy Boost 700 Analog,YZB700-NLG,"Saturday, July 3, 2021",9:44 PM EST,10,$396
adidas Yeezy Boost 700 Analog,YZB700-NLG,"Saturday, July 3, 2021",9:42 PM EST,9,$449
adidas Yeezy Boost 700 Analog,YZB700-NLG,"Saturday, July 3, 2021",1:54 PM EST,11.5,$547
adidas Yeezy Boost 700 Analog,YZB700-NLG,"Saturday, July 3, 2021",1:41 PM EST,8,$445
adidas Yeezy Boost 700 Analog,YZB700-NLG,"Saturday, July 3, 2021",11:46 AM EST,8,$400
adidas Yeezy Boost 700 Analog,YZB700-NLG,"Saturday, July 3, 2021",11:43 AM EST,9,$435
adidas Yeezy Boost 700 Analog,YZB700-NLG,"Friday, July 2, 2021",6:55 PM EST,8.5,$403
adidas Yeezy Boost 700 Analog,YZB700-NLG,"Friday, July 2, 2021",1:40 PM EST,13,$500
adidas Yeezy Boost 700 Analog,YZB700-NLG,"Friday, July 2, 2021",11:39 AM EST,9,$356
adidas Yeezy Boost 700 Analog,YZB700-NLG,"Friday, July 2, 2021",6:41 AM EST,10.5,$395
adidas Yeezy Boost 700 Analog,YZB700-NLG,"Friday, July 2, 2021",2:15 AM EST,6.5,$562
adidas Yeezy Boost 700 Analog,YZB700-NLG,"Thursday, July 1, 2021",12:01 AM EST,11.5,$406
adidas Yeezy Boost 700 Analog,YZB700-NLG,"Thursday, July 1, 2021",8:30 PM EST,11.5,$435
adidas Yeezy Boost 700 Analog,YZB700-NLG,"Thursday, July 1, 2021",10:44 AM EST,10,$400
adidas Yeezy Boost 700 Analog,YZB700-NLG,"Wednesday, June 30, 2021",10:46 PM EST,12,$400
adidas Yeezy Boost 700 Analog,YZB700-NLG,"Wednesday, June 30, 2021",2:19 PM EST,5,$525
adidas Yeezy Boost 700 Analog,YZB700-NLG,"Wednesday, June 30, 2021",11:15 AM EST,11,$596
adidas Yeezy Boost 700 Analog,YZB700-NLG,"Wednesday, June 30, 2021",5:50 AM EST,9.5,$370
adidas Yeezy Boost 700 Analog,YZB700-NLG,"Tuesday, June 29, 2021",8:17 PM EST,8.5,$385
adidas Yeezy Boost 700 Analog,YZB700-NLG,"Tuesday, June 29, 2021",7:26 PM EST,7.5,$386
adidas Yeezy Boost 700 Analog,YZB700-NLG,"Tuesday, June 29, 2021",9:14 AM EST,9.5,$521
adidas Yeezy Boost 700 Analog,YZB700-NLG,"Tuesday, June 29, 2021",8:01 AM EST,5.5,$700
adidas Yeezy Boost 700 Analog,YZB700-NLG,"Monday, June 28, 2021",10:26 PM EST,9,$457
adidas Yeezy Boost 700 Analog,YZB700-NLG,"Monday, June 28, 2021",8:38 PM EST,12,$424
adidas Yeezy Boost 700 Analog,YZB700-NLG,"Monday, June 28, 2021",8:25 AM EST,11.5,$297
adidas Yeezy Boost 700 Analog,YZB700-NLG,"Sunday, June 27, 2021",7:54 PM EST,9,$439
adidas Yeezy Boost 700 Analog,YZB700-NLG,"Sunday, June 27, 2021",7:13 AM EST,9,$478
adidas Yeezy Boost 700 Analog,YZB700-NLG,"Saturday, June 26, 2021",4:34 PM EST,8,$433
adidas Yeezy Boost 700 Analog,YZB700-NLG,"Saturday, June 26, 2021",4:23 PM EST,12,$424
adidas Yeezy Boost 700 Analog,YZB700-NLG,"Saturday, June 26, 2021",4:18 PM EST,12,$424
adidas Yeezy Boost 700 Analog,YZB700-NLG,"Saturday, June 26, 2021",1:46 PM EST,11,$416
adidas Yeezy Boost 700 Analog,YZB700-NLG,"Saturday, June 26, 2021",12:11 PM EST,9.5,$362
adidas Yeezy Boost 700 Analog,YZB700-NLG,"Saturday, June 26, 2021",12:09 PM EST,10.5,$410
adidas Yeezy Boost 700 Analog,YZB700-NLG,"Saturday, June 26, 2021",12:08 PM EST,11,$414
adidas Yeezy Boost 700 Analog,YZB700-NLG,"Friday, June 25, 2021",2:09 PM EST,7.5,$446
