name,ticker,date,time,size,price
adidas Yeezy Boost 700 Utility Black,YZB700-UB,"Tuesday, July 6, 2021",7:56 PM EST,10.5,$426
adidas Yeezy Boost 700 Utility Black,YZB700-UB,"Tuesday, July 6, 2021",7:37 PM EST,11.5,$472
adidas Yeezy Boost 700 Utility Black,YZB700-UB,"Tuesday, July 6, 2021",7:33 PM EST,10.5,$403
adidas Yeezy Boost 700 Utility Black,YZB700-UB,"Tuesday, July 6, 2021",6:23 PM EST,8,$457
adidas Yeezy Boost 700 Utility Black,YZB700-UB,"Tuesday, July 6, 2021",2:12 PM EST,10,$429
adidas Yeezy Boost 700 Utility Black,YZB700-UB,"Tuesday, July 6, 2021",6:59 AM EST,7,$488
adidas Yeezy Boost 700 Utility Black,YZB700-UB,"Tuesday, July 6, 2021",5:23 AM EST,8.5,$398
adidas Yeezy Boost 700 Utility Black,YZB700-UB,"Monday, July 5, 2021",12:14 AM EST,10.5,$351
adidas Yeezy Boost 700 Utility Black,YZB700-UB,"Monday, July 5, 2021",4:28 PM EST,10.5,$397
adidas Yeezy Boost 700 Utility Black,YZB700-UB,"Monday, July 5, 2021",4:13 PM EST,10,$397
adidas Yeezy Boost 700 Utility Black,YZB700-UB,"Monday, July 5, 2021",2:28 PM EST,11,$380
adidas Yeezy Boost 700 Utility Black,YZB700-UB,"Sunday, July 4, 2021",2:12 PM EST,7,$508
adidas Yeezy Boost 700 Utility Black,YZB700-UB,"Sunday, July 4, 2021",9:01 AM EST,11.5,$477
adidas Yeezy Boost 700 Utility Black,YZB700-UB,"Saturday, July 3, 2021",8:54 PM EST,7.5,$459
adidas Yeezy Boost 700 Utility Black,YZB700-UB,"Saturday, July 3, 2021",2:08 PM EST,10,$395
adidas Yeezy Boost 700 Utility Black,YZB700-UB,"Saturday, July 3, 2021",1:13 PM EST,9,$420
adidas Yeezy Boost 700 Utility Black,YZB700-UB,"Saturday, July 3, 2021",9:20 AM EST,10.5,$377
adidas Yeezy Boost 700 Utility Black,YZB700-UB,"Saturday, July 3, 2021",4:29 AM EST,10.5,$400
adidas Yeezy Boost 700 Utility Black,YZB700-UB,"Friday, July 2, 2021",10:56 PM EST,5,$410
adidas Yeezy Boost 700 Utility Black,YZB700-UB,"Friday, July 2, 2021",9:54 PM EST,11,$400
adidas Yeezy Boost 700 Utility Black,YZB700-UB,"Friday, July 2, 2021",8:51 PM EST,8,$421
adidas Yeezy Boost 700 Utility Black,YZB700-UB,"Friday, July 2, 2021",5:53 PM EST,7.5,$468
adidas Yeezy Boost 700 Utility Black,YZB700-UB,"Friday, July 2, 2021",5:51 PM EST,7.5,$454
adidas Yeezy Boost 700 Utility Black,YZB700-UB,"Friday, July 2, 2021",4:50 PM EST,8.5,$380
adidas Yeezy Boost 700 Utility Black,YZB700-UB,"Friday, July 2, 2021",4:47 PM EST,10,$422
adidas Yeezy Boost 700 Utility Black,YZB700-UB,"Friday, July 2, 2021",4:44 PM EST,10,$350
adidas Yeezy Boost 700 Utility Black,YZB700-UB,"Friday, July 2, 2021",4:34 PM EST,9,$391
adidas Yeezy Boost 700 Utility Black,YZB700-UB,"Friday, July 2, 2021",4:06 PM EST,9.5,$421
adidas Yeezy Boost 700 Utility Black,YZB700-UB,"Friday, July 2, 2021",11:56 AM EST,9.5,$388
adidas Yeezy Boost 700 Utility Black,YZB700-UB,"Friday, July 2, 2021",10:38 AM EST,8.5,$413
adidas Yeezy Boost 700 Utility Black,YZB700-UB,"Thursday, July 1, 2021",1:38 PM EST,9.5,$358
adidas Yeezy Boost 700 Utility Black,YZB700-UB,"Thursday, July 1, 2021",8:32 AM EST,8,$420
