name,ticker,date,time,size,price
adidas Yeezy Boost 700 MNVN Bone (Infant),YZB700M-BI,"Friday, June 18, 2021",3:18 PM EST,7K,$122
adidas Yeezy Boost 700 MNVN Bone (Infant),YZB700M-BI,"Friday, June 18, 2021",3:18 PM EST,7.5K,$140
adidas Yeezy Boost 700 MNVN Bone (Infant),YZB700M-BI,"Wednesday, June 16, 2021",5:09 PM EST,9K,$260
adidas Yeezy Boost 700 MNVN Bone (Infant),YZB700M-BI,"Tuesday, June 15, 2021",8:45 PM EST,5K,$205
adidas Yeezy Boost 700 MNVN Bone (Infant),YZB700M-BI,"Sunday, June 13, 2021",6:25 AM EST,6K,$200
adidas Yeezy Boost 700 MNVN Bone (Infant),YZB700M-BI,"Tuesday, June 8, 2021",9:39 PM EST,5K,$239
adidas Yeezy Boost 700 MNVN Bone (Infant),YZB700M-BI,"Thursday, May 27, 2021",8:16 PM EST,10K,$101
adidas Yeezy Boost 700 MNVN Bone (Infant),YZB700M-BI,"Wednesday, May 26, 2021",1:10 PM EST,6K,$190
adidas Yeezy Boost 700 MNVN Bone (Infant),YZB700M-BI,"Wednesday, May 26, 2021",10:48 AM EST,9K,$220
adidas Yeezy Boost 700 MNVN Bone (Infant),YZB700M-BI,"Wednesday, May 19, 2021",6:30 AM EST,5K,$151
adidas Yeezy Boost 700 MNVN Bone (Infant),YZB700M-BI,"Saturday, May 15, 2021",1:27 PM EST,6K,$190
adidas Yeezy Boost 700 MNVN Bone (Infant),YZB700M-BI,"Sunday, May 9, 2021",11:04 AM EST,5K,$180
adidas Yeezy Boost 700 MNVN Bone (Infant),YZB700M-BI,"Saturday, May 8, 2021",11:40 AM EST,9.5K,$201
adidas Yeezy Boost 700 MNVN Bone (Infant),YZB700M-BI,"Saturday, May 1, 2021",6:09 PM EST,8K,$209
adidas Yeezy Boost 700 MNVN Bone (Infant),YZB700M-BI,"Thursday, April 29, 2021",10:28 AM EST,6K,$188
adidas Yeezy Boost 700 MNVN Bone (Infant),YZB700M-BI,"Friday, April 23, 2021",6:02 PM EST,10K,$210
adidas Yeezy Boost 700 MNVN Bone (Infant),YZB700M-BI,"Monday, April 19, 2021",1:35 AM EST,8K,$190
