name,ticker,date,time,size,price
adidas Yeezy Boost 700 MNVN Bone (Kids),YZB700M-BK,"Monday, July 5, 2021",6:17 PM EST,13K,$170
adidas Yeezy Boost 700 MNVN Bone (Kids),YZB700M-BK,"Monday, July 5, 2021",1:12 PM EST,2Y,$251
adidas Yeezy Boost 700 MNVN Bone (Kids),YZB700M-BK,"Wednesday, June 30, 2021",10:18 PM EST,12K,$200
adidas Yeezy Boost 700 MNVN Bone (Kids),YZB700M-BK,"Thursday, June 17, 2021",12:51 PM EST,2Y,$234
adidas Yeezy Boost 700 MNVN Bone (Kids),YZB700M-BK,"Wednesday, June 16, 2021",3:04 PM EST,11K,$91
adidas Yeezy Boost 700 MNVN Bone (Kids),YZB700M-BK,"Thursday, June 10, 2021",11:18 AM EST,13K,$250
adidas Yeezy Boost 700 MNVN Bone (Kids),YZB700M-BK,"Wednesday, June 9, 2021",6:34 PM EST,1Y,$207
adidas Yeezy Boost 700 MNVN Bone (Kids),YZB700M-BK,"Wednesday, June 9, 2021",2:01 PM EST,12K,$200
adidas Yeezy Boost 700 MNVN Bone (Kids),YZB700M-BK,"Tuesday, June 8, 2021",10:16 PM EST,3.5Y,$296
adidas Yeezy Boost 700 MNVN Bone (Kids),YZB700M-BK,"Tuesday, June 8, 2021",11:10 AM EST,11K,$91
adidas Yeezy Boost 700 MNVN Bone (Kids),YZB700M-BK,"Thursday, June 3, 2021",9:25 PM EST,3Y,$275
adidas Yeezy Boost 700 MNVN Bone (Kids),YZB700M-BK,"Saturday, May 29, 2021",10:49 PM EST,13K,$210
adidas Yeezy Boost 700 MNVN Bone (Kids),YZB700M-BK,"Thursday, May 27, 2021",5:38 PM EST,2Y,$190
adidas Yeezy Boost 700 MNVN Bone (Kids),YZB700M-BK,"Thursday, May 27, 2021",1:39 PM EST,3.5Y,$240
adidas Yeezy Boost 700 MNVN Bone (Kids),YZB700M-BK,"Wednesday, May 26, 2021",10:10 PM EST,2Y,$222
adidas Yeezy Boost 700 MNVN Bone (Kids),YZB700M-BK,"Wednesday, May 26, 2021",4:04 PM EST,13K,$205
adidas Yeezy Boost 700 MNVN Bone (Kids),YZB700M-BK,"Friday, May 21, 2021",10:22 PM EST,13K,$146
adidas Yeezy Boost 700 MNVN Bone (Kids),YZB700M-BK,"Monday, May 17, 2021",10:34 PM EST,1.5Y,$250
adidas Yeezy Boost 700 MNVN Bone (Kids),YZB700M-BK,"Friday, May 14, 2021",12:50 AM EST,13.5K,$220
adidas Yeezy Boost 700 MNVN Bone (Kids),YZB700M-BK,"Friday, May 7, 2021",6:12 AM EST,11K,$187
adidas Yeezy Boost 700 MNVN Bone (Kids),YZB700M-BK,"Thursday, May 6, 2021",2:51 PM EST,3Y,$121
adidas Yeezy Boost 700 MNVN Bone (Kids),YZB700M-BK,"Tuesday, May 4, 2021",5:51 AM EST,12K,$190
adidas Yeezy Boost 700 MNVN Bone (Kids),YZB700M-BK,"Monday, May 3, 2021",1:10 AM EST,3.5Y,$283
adidas Yeezy Boost 700 MNVN Bone (Kids),YZB700M-BK,"Thursday, April 29, 2021",10:28 PM EST,3Y,$264
adidas Yeezy Boost 700 MNVN Bone (Kids),YZB700M-BK,"Thursday, April 29, 2021",1:50 PM EST,3.5Y,$176
adidas Yeezy Boost 700 MNVN Bone (Kids),YZB700M-BK,"Thursday, April 29, 2021",10:31 AM EST,13.5K,$188
adidas Yeezy Boost 700 MNVN Bone (Kids),YZB700M-BK,"Tuesday, April 27, 2021",9:57 AM EST,13K,$180
adidas Yeezy Boost 700 MNVN Bone (Kids),YZB700M-BK,"Monday, April 26, 2021",10:44 AM EST,11K,$120
