name,ticker,date,time,size,price
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Sunday, July 4, 2021",9:16 PM EST,12.5K,$199
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Saturday, June 26, 2021",12:43 PM EST,3.5Y,$270
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Tuesday, June 15, 2021",10:24 PM EST,11K,$199
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Thursday, June 3, 2021",6:22 PM EST,2Y,$277
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Saturday, May 29, 2021",6:30 AM EST,2Y,$259
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Friday, May 28, 2021",9:45 AM EST,12K,$394
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Saturday, May 1, 2021",8:51 AM EST,2.5Y,$274
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Saturday, May 1, 2021",8:49 AM EST,13K,$204
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Thursday, April 29, 2021",12:36 PM EST,1Y,$214
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Wednesday, April 28, 2021",6:49 PM EST,12.5K,$194
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Sunday, April 25, 2021",4:51 PM EST,1Y,$206
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Sunday, April 25, 2021",4:51 PM EST,13K,$209
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Thursday, April 22, 2021",6:52 AM EST,12.5K,$198
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Wednesday, April 21, 2021",1:18 AM EST,1Y,$206
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Saturday, April 17, 2021",3:44 PM EST,13K,$175
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Saturday, April 17, 2021",10:20 AM EST,11K,$190
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Wednesday, April 14, 2021",8:35 PM EST,1Y,$205
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Sunday, April 11, 2021",3:09 AM EST,1.5Y,$263
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Friday, April 9, 2021",1:15 PM EST,2Y,$200
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Thursday, April 1, 2021",11:32 PM EST,13.5K,$180
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Wednesday, March 31, 2021",2:31 PM EST,3Y,$220
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Sunday, March 28, 2021",11:11 PM EST,12.5K,$195
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Sunday, March 28, 2021",7:18 PM EST,12K,$110
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Wednesday, March 24, 2021",6:23 PM EST,3Y,$192
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Tuesday, March 23, 2021",5:38 PM EST,3.5Y,$192
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Tuesday, March 23, 2021",5:36 PM EST,10.5K,$84
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Monday, March 22, 2021",5:03 PM EST,11.5K,$99
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Monday, March 22, 2021",4:43 PM EST,2Y,$110
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Monday, March 22, 2021",4:42 PM EST,2Y,$135
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Monday, March 22, 2021",12:20 PM EST,13K,$109
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Tuesday, March 16, 2021",10:41 PM EST,12K,$160
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Monday, March 15, 2021",7:28 AM EST,12K,$159
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Wednesday, March 3, 2021",6:41 AM EST,3.5Y,$296
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Sunday, February 28, 2021",6:21 PM EST,10.5K,$200
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Sunday, February 28, 2021",2:56 PM EST,3.5Y,$296
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Friday, February 26, 2021",6:22 PM EST,13.5K,$167
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Monday, February 22, 2021",3:15 PM EST,12.5K,$95
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Monday, February 22, 2021",11:27 AM EST,3Y,$265
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Tuesday, February 9, 2021",6:17 PM EST,3Y,$260
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Sunday, February 7, 2021",2:15 AM EST,3Y,$260
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Thursday, February 4, 2021",10:20 PM EST,12K,$204
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Wednesday, February 3, 2021",7:55 PM EST,3Y,$244
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Sunday, January 31, 2021",5:05 PM EST,3Y,$240
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Sunday, January 31, 2021",5:51 AM EST,13.5K,$141
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Friday, January 29, 2021",5:28 PM EST,3Y,$239
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Thursday, January 21, 2021",4:58 PM EST,13K,$199
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Sunday, January 17, 2021",11:28 AM EST,3Y,$220
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Friday, January 15, 2021",1:56 PM EST,12K,$255
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Thursday, January 14, 2021",3:49 AM EST,1Y,$200
adidas Yeezy Boost 700 MNVN Black (Kids),YZB700M-BL,"Thursday, December 17, 2020",10:52 PM EST,2Y,$250
