name,ticker,date,time,size,price
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Friday, June 25, 2021",11:42 AM EST,8K,$275
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Wednesday, June 16, 2021",10:48 AM EST,5.5K,$219
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Friday, June 11, 2021",2:00 PM EST,5.5K,$220
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Wednesday, June 9, 2021",4:21 AM EST,10K,$352
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Friday, June 4, 2021",10:58 AM EST,5K,$250
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Monday, May 31, 2021",3:47 PM EST,9K,$318
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Sunday, May 30, 2021",11:00 PM EST,7.5K,$224
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Sunday, May 23, 2021",10:14 PM EST,10K,$250
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Thursday, May 13, 2021",3:02 PM EST,6.5K,$80
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Monday, May 10, 2021",9:01 AM EST,7K,$200
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Thursday, April 29, 2021",11:52 PM EST,6K,$250
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Monday, April 19, 2021",11:31 PM EST,4K,$229
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Thursday, April 8, 2021",5:43 PM EST,4K,$287
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Wednesday, April 7, 2021",5:26 PM EST,7K,$140
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Tuesday, April 6, 2021",7:55 PM EST,7.5K,$224
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Sunday, April 4, 2021",4:40 PM EST,4K,$175
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Saturday, April 3, 2021",11:45 AM EST,9.5K,$342
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Wednesday, March 31, 2021",5:26 PM EST,7.5K,$80
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Sunday, March 28, 2021",6:19 PM EST,10K,$213
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Sunday, March 28, 2021",12:32 PM EST,8K,$209
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Thursday, March 25, 2021",1:47 AM EST,6.5K,$155
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Wednesday, March 17, 2021",11:47 PM EST,6K,$120
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Wednesday, March 17, 2021",6:13 AM EST,10K,$215
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Tuesday, March 16, 2021",9:57 AM EST,6.5K,$197
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Sunday, March 14, 2021",8:04 AM EST,10K,$212
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Thursday, March 11, 2021",12:11 PM EST,9K,$195
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Wednesday, March 3, 2021",12:30 AM EST,8K,$199
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Sunday, February 28, 2021",11:15 AM EST,6.5K,$187
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Thursday, February 18, 2021",10:05 AM EST,6.5K,$187
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Thursday, February 4, 2021",1:36 AM EST,9K,$185
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Sunday, January 31, 2021",7:00 PM EST,6.5K,$186
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Friday, January 22, 2021",8:55 PM EST,8.5K,$193
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Thursday, January 14, 2021",5:16 PM EST,9K,$185
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Friday, January 1, 2021",5:16 PM EST,6.5K,$189
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Monday, December 28, 2020",7:26 AM EST,8K,$160
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Wednesday, December 16, 2020",6:33 PM EST,10K,$229
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Saturday, December 12, 2020",3:54 AM EST,10K,$229
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Wednesday, December 9, 2020",10:54 PM EST,9K,$186
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Saturday, December 5, 2020",6:59 PM EST,10K,$228
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Monday, November 30, 2020",12:09 AM EST,7K,$345
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Saturday, November 28, 2020",9:25 PM EST,8.5K,$165
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Monday, November 23, 2020",5:03 PM EST,5K,$210
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Sunday, November 22, 2020",2:00 AM EST,9K,$152
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Sunday, November 22, 2020",2:00 AM EST,9K,$151
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Monday, November 9, 2020",5:42 AM EST,6K,$100
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Monday, November 9, 2020",5:41 AM EST,8K,$152
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Saturday, October 31, 2020",6:05 AM EST,10K,$234
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Tuesday, October 20, 2020",1:34 PM EST,4K,$353
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Tuesday, October 20, 2020",3:39 AM EST,5.5K,$249
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Friday, October 16, 2020",6:02 PM EST,9K,$247
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Wednesday, October 14, 2020",6:55 PM EST,5.5K,$194
adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,"Tuesday, October 13, 2020",7:08 AM EST,8K,$256
