name,ticker,date,time,size,price
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Wednesday, June 9, 2021",4:17 AM EST,1.5Y,$256
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Sunday, June 6, 2021",8:15 AM EST,3.5Y,$279
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Sunday, May 30, 2021",12:01 AM EST,12.5K,$250
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Thursday, May 13, 2021",3:16 AM EST,2.5Y,$255
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Sunday, May 9, 2021",2:17 PM EST,2.5Y,$263
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Sunday, May 9, 2021",2:15 PM EST,1Y,$293
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Wednesday, April 28, 2021",6:26 PM EST,3.5Y,$284
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Wednesday, April 28, 2021",3:25 AM EST,12.5K,$220
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Thursday, April 22, 2021",6:54 PM EST,10.5K,$80
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Wednesday, April 21, 2021",4:47 PM EST,3.5Y,$181
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Tuesday, April 20, 2021",12:08 PM EST,3Y,$105
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Wednesday, April 7, 2021",11:37 AM EST,13K,$375
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Monday, April 5, 2021",9:43 PM EST,1Y,$200
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Monday, March 29, 2021",7:18 PM EST,3Y,$150
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Saturday, March 20, 2021",10:29 AM EST,12.5K,$208
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Thursday, March 18, 2021",7:11 PM EST,1.5Y,$318
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Thursday, March 18, 2021",2:50 PM EST,1Y,$250
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Thursday, March 18, 2021",10:15 AM EST,2.5Y,$251
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Friday, March 12, 2021",10:45 AM EST,1.5Y,$237
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Thursday, February 18, 2021",8:47 PM EST,12.5K,$210
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Wednesday, February 10, 2021",8:17 PM EST,1Y,$294
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Friday, February 5, 2021",7:09 PM EST,1Y,$244
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Saturday, January 16, 2021",9:58 PM EST,3.5Y,$310
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Tuesday, December 15, 2020",11:24 AM EST,12K,$400
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Sunday, December 13, 2020",3:03 AM EST,3Y,$247
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Friday, December 11, 2020",3:33 PM EST,3Y,$226
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Thursday, December 10, 2020",8:53 PM EST,2Y,$312
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Wednesday, December 9, 2020",3:21 AM EST,12K,$190
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Tuesday, December 8, 2020",12:22 PM EST,10.5K,$269
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Saturday, December 5, 2020",12:56 PM EST,12.5K,$200
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Saturday, December 5, 2020",9:00 AM EST,12.5K,$189
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Tuesday, December 1, 2020",8:59 PM EST,11.5K,$248
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Monday, November 30, 2020",8:48 AM EST,3Y,$229
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Saturday, November 28, 2020",9:30 PM EST,12.5K,$180
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Saturday, November 28, 2020",9:15 PM EST,1Y,$160
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Monday, November 16, 2020",5:39 PM EST,3Y,$250
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Thursday, November 12, 2020",4:34 PM EST,1.5Y,$190
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Wednesday, November 11, 2020",11:43 PM EST,2.5Y,$278
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Monday, November 9, 2020",4:17 PM EST,3Y,$253
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Saturday, November 7, 2020",9:34 PM EST,11.5K,$240
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Friday, November 6, 2020",7:46 AM EST,2.5Y,$261
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Wednesday, November 4, 2020",1:55 PM EST,3.5Y,$334
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Monday, November 2, 2020",9:34 AM EST,1Y,$179
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Monday, October 19, 2020",1:50 PM EST,2.5Y,$270
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Sunday, October 11, 2020",11:39 PM EST,3.5Y,$266
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Friday, October 9, 2020",4:19 AM EST,11.5K,$150
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Tuesday, October 6, 2020",8:01 PM EST,13.5K,$354
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Tuesday, October 6, 2020",11:47 AM EST,1Y,$224
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Thursday, October 1, 2020",11:08 PM EST,13.5K,$336
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Monday, September 28, 2020",6:42 PM EST,13K,$327
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Monday, September 28, 2020",6:37 PM EST,2.5Y,$271
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Monday, September 28, 2020",10:18 AM EST,3.5Y,$266
adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,"Wednesday, September 23, 2020",4:08 PM EST,12K,$240
