name,ticker,date,time,size,price
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Tuesday, July 6, 2021",8:44 PM EST,9.5K,$151
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Tuesday, July 6, 2021",2:50 PM EST,6.5K,$176
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Monday, July 5, 2021",11:09 AM EST,10K,$186
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Wednesday, June 30, 2021",9:01 AM EST,4K,$203
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Monday, June 21, 2021",3:10 AM EST,4K,$151
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Sunday, June 20, 2021",10:09 AM EST,8K,$125
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Friday, June 11, 2021",5:30 PM EST,6K,$175
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Thursday, June 10, 2021",6:55 PM EST,4K,$160
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Monday, June 7, 2021",8:56 PM EST,7K,$225
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Tuesday, June 1, 2021",6:57 PM EST,6K,$205
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Tuesday, May 25, 2021",3:20 AM EST,10K,$197
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Sunday, May 23, 2021",2:42 PM EST,10K,$162
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Saturday, May 22, 2021",9:57 PM EST,9K,$199
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Saturday, May 22, 2021",9:13 PM EST,10K,$175
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Monday, May 17, 2021",7:29 PM EST,9.5K,$285
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Friday, May 14, 2021",8:37 PM EST,9K,$196
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Tuesday, May 11, 2021",5:17 PM EST,9K,$197
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Monday, May 3, 2021",8:41 PM EST,9K,$196
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Saturday, May 1, 2021",8:52 AM EST,6.5K,$255
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Thursday, April 29, 2021",8:51 PM EST,10K,$197
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Wednesday, April 28, 2021",1:45 PM EST,7K,$159
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Wednesday, April 28, 2021",11:22 AM EST,6K,$231
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Monday, April 26, 2021",12:04 PM EST,6K,$223
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Sunday, April 25, 2021",2:12 AM EST,7K,$220
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Wednesday, April 21, 2021",7:55 PM EST,9K,$140
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Wednesday, April 21, 2021",7:49 PM EST,9K,$152
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Wednesday, April 21, 2021",5:51 PM EST,9.5K,$150
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Tuesday, April 20, 2021",2:21 PM EST,10K,$161
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Tuesday, April 20, 2021",11:03 AM EST,9.5K,$222
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Monday, April 12, 2021",10:14 AM EST,9.5K,$219
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Wednesday, April 7, 2021",5:03 PM EST,6.5K,$214
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Saturday, April 3, 2021",5:27 PM EST,6K,$232
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Friday, April 2, 2021",6:13 PM EST,9K,$200
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Thursday, April 1, 2021",2:19 PM EST,10K,$190
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Tuesday, March 30, 2021",1:36 PM EST,6K,$231
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Saturday, March 27, 2021",5:12 PM EST,8.5K,$261
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Friday, March 26, 2021",10:17 AM EST,10K,$200
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Wednesday, March 24, 2021",9:04 PM EST,7K,$250
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Wednesday, March 24, 2021",6:25 PM EST,10K,$160
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Wednesday, March 24, 2021",5:40 PM EST,6K,$150
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Tuesday, March 23, 2021",10:46 AM EST,7.5K,$248
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Tuesday, March 23, 2021",10:44 AM EST,7.5K,$240
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Monday, March 22, 2021",8:29 AM EST,6.5K,$205
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Thursday, March 18, 2021",9:14 AM EST,10K,$190
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Thursday, March 18, 2021",7:23 AM EST,8K,$195
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Thursday, March 18, 2021",1:32 AM EST,5.5K,$220
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Wednesday, March 17, 2021",5:16 PM EST,8K,$192
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Wednesday, March 17, 2021",4:20 PM EST,9K,$195
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Monday, March 15, 2021",6:23 PM EST,5.5K,$219
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Monday, March 15, 2021",12:27 PM EST,7K,$225
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Sunday, March 14, 2021",10:15 PM EST,9K,$193
adidas Yeezy Boost 700 MNVN Black (Infant),YZB700M-OKI,"Friday, March 12, 2021",8:03 PM EST,10K,$188
