name,ticker,date,time,size,price
adidas Yeezy Boost 700 MNVN Phosphor (Infant),YZB700M-PI,"Friday, June 11, 2021",12:03 PM EST,4K,$275
adidas Yeezy Boost 700 MNVN Phosphor (Infant),YZB700M-PI,"Friday, June 11, 2021",12:01 PM EST,4K,$227
adidas Yeezy Boost 700 MNVN Phosphor (Infant),YZB700M-PI,"Tuesday, June 8, 2021",10:49 PM EST,9K,$175
adidas Yeezy Boost 700 MNVN Phosphor (Infant),YZB700M-PI,"Tuesday, June 8, 2021",9:43 AM EST,6K,$219
adidas Yeezy Boost 700 MNVN Phosphor (Infant),YZB700M-PI,"Sunday, June 6, 2021",1:51 PM EST,7K,$200
adidas Yeezy Boost 700 MNVN Phosphor (Infant),YZB700M-PI,"Saturday, June 5, 2021",12:58 PM EST,10K,$189
adidas Yeezy Boost 700 MNVN Phosphor (Infant),YZB700M-PI,"Thursday, June 3, 2021",4:24 AM EST,5.5K,$145
adidas Yeezy Boost 700 MNVN Phosphor (Infant),YZB700M-PI,"Sunday, May 30, 2021",11:20 PM EST,5.5K,$216
adidas Yeezy Boost 700 MNVN Phosphor (Infant),YZB700M-PI,"Thursday, May 27, 2021",8:49 PM EST,5K,$240
adidas Yeezy Boost 700 MNVN Phosphor (Infant),YZB700M-PI,"Wednesday, May 26, 2021",4:05 PM EST,6.5K,$219
adidas Yeezy Boost 700 MNVN Phosphor (Infant),YZB700M-PI,"Friday, May 21, 2021",5:30 PM EST,10K,$184
adidas Yeezy Boost 700 MNVN Phosphor (Infant),YZB700M-PI,"Friday, May 14, 2021",12:51 AM EST,6.5K,$213
adidas Yeezy Boost 700 MNVN Phosphor (Infant),YZB700M-PI,"Thursday, May 6, 2021",12:08 AM EST,6.5K,$201
adidas Yeezy Boost 700 MNVN Phosphor (Infant),YZB700M-PI,"Thursday, May 6, 2021",3:10 PM EST,6K,$70
adidas Yeezy Boost 700 MNVN Phosphor (Infant),YZB700M-PI,"Wednesday, May 5, 2021",10:05 PM EST,7.5K,$195
adidas Yeezy Boost 700 MNVN Phosphor (Infant),YZB700M-PI,"Tuesday, May 4, 2021",12:50 AM EST,9.5K,$190
adidas Yeezy Boost 700 MNVN Phosphor (Infant),YZB700M-PI,"Tuesday, May 4, 2021",12:31 PM EST,9K,$208
adidas Yeezy Boost 700 MNVN Phosphor (Infant),YZB700M-PI,"Thursday, April 29, 2021",2:56 PM EST,7K,$141
adidas Yeezy Boost 700 MNVN Phosphor (Infant),YZB700M-PI,"Thursday, April 29, 2021",8:50 AM EST,4K,$179
