name,ticker,date,time,size,price
adidas Yeezy Boost 700 MNVN Phosphor (Kids),YZB700M-PK,"Friday, July 2, 2021",3:13 PM EST,13K,$253
adidas Yeezy Boost 700 MNVN Phosphor (Kids),YZB700M-PK,"Friday, June 25, 2021",4:59 PM EST,1.5Y,$225
adidas Yeezy Boost 700 MNVN Phosphor (Kids),YZB700M-PK,"Friday, June 11, 2021",1:58 PM EST,11K,$221
adidas Yeezy Boost 700 MNVN Phosphor (Kids),YZB700M-PK,"Friday, June 11, 2021",7:09 AM EST,12K,$208
adidas Yeezy Boost 700 MNVN Phosphor (Kids),YZB700M-PK,"Tuesday, June 8, 2021",11:01 AM EST,11K,$91
adidas Yeezy Boost 700 MNVN Phosphor (Kids),YZB700M-PK,"Thursday, May 27, 2021",5:51 PM EST,3.5Y,$181
adidas Yeezy Boost 700 MNVN Phosphor (Kids),YZB700M-PK,"Monday, May 24, 2021",11:19 PM EST,1Y,$150
adidas Yeezy Boost 700 MNVN Phosphor (Kids),YZB700M-PK,"Tuesday, May 18, 2021",3:17 PM EST,13K,$209
adidas Yeezy Boost 700 MNVN Phosphor (Kids),YZB700M-PK,"Friday, May 14, 2021",12:09 PM EST,10.5K,$200
adidas Yeezy Boost 700 MNVN Phosphor (Kids),YZB700M-PK,"Tuesday, May 11, 2021",12:20 AM EST,11K,$223
adidas Yeezy Boost 700 MNVN Phosphor (Kids),YZB700M-PK,"Friday, April 30, 2021",5:40 AM EST,11K,$294
adidas Yeezy Boost 700 MNVN Phosphor (Kids),YZB700M-PK,"Wednesday, April 28, 2021",8:51 PM EST,11K,$222
adidas Yeezy Boost 700 MNVN Phosphor (Kids),YZB700M-PK,"Wednesday, April 28, 2021",6:00 PM EST,11K,$85
adidas Yeezy Boost 700 MNVN Phosphor (Kids),YZB700M-PK,"Tuesday, April 27, 2021",3:01 PM EST,1.5Y,$72
adidas Yeezy Boost 700 MNVN Phosphor (Kids),YZB700M-PK,"Monday, April 26, 2021",8:42 PM EST,13K,$209
adidas Yeezy Boost 700 MNVN Phosphor (Kids),YZB700M-PK,"Saturday, April 24, 2021",2:08 PM EST,3.5Y,$241
adidas Yeezy Boost 700 MNVN Phosphor (Kids),YZB700M-PK,"Wednesday, April 21, 2021",1:39 PM EST,1.5Y,$199
adidas Yeezy Boost 700 MNVN Phosphor (Kids),YZB700M-PK,"Sunday, April 18, 2021",6:25 PM EST,12K,$188
adidas Yeezy Boost 700 MNVN Phosphor (Kids),YZB700M-PK,"Friday, April 9, 2021",11:07 AM EST,3Y,$288
adidas Yeezy Boost 700 MNVN Phosphor (Kids),YZB700M-PK,"Wednesday, April 7, 2021",11:38 AM EST,13K,$199
adidas Yeezy Boost 700 MNVN Phosphor (Kids),YZB700M-PK,"Tuesday, April 6, 2021",10:39 AM EST,3.5Y,$233
