name,ticker,date,time,size,price
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Tuesday, July 6, 2021",3:54 PM EST,10,$444
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Tuesday, July 6, 2021",3:50 PM EST,11.5,$600
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Tuesday, July 6, 2021",3:17 PM EST,11,$330
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Tuesday, July 6, 2021",3:17 PM EST,11,$250
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Tuesday, July 6, 2021",2:13 PM EST,9,$353
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Sunday, July 4, 2021",8:57 PM EST,7,$469
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Sunday, July 4, 2021",3:55 PM EST,9,$406
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Sunday, July 4, 2021",8:39 AM EST,8.5,$527
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Saturday, July 3, 2021",2:13 PM EST,6.5,$786
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Friday, July 2, 2021",12:50 AM EST,11,$499
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Friday, July 2, 2021",5:42 PM EST,7,$486
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Friday, July 2, 2021",1:06 PM EST,7.5,$613
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Friday, July 2, 2021",8:01 AM EST,4,$480
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Thursday, July 1, 2021",6:19 PM EST,8.5,$519
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Thursday, July 1, 2021",2:06 AM EST,10,$415
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Wednesday, June 30, 2021",12:33 AM EST,11,$500
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Wednesday, June 30, 2021",5:42 PM EST,10.5,$540
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Tuesday, June 29, 2021",10:10 PM EST,7,$487
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Tuesday, June 29, 2021",9:54 PM EST,9.5,$457
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Tuesday, June 29, 2021",12:14 PM EST,8,$520
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Monday, June 28, 2021",11:20 AM EST,14,$602
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Sunday, June 27, 2021",6:35 AM EST,10.5,$564
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Saturday, June 26, 2021",10:34 PM EST,9,$439
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Saturday, June 26, 2021",1:00 PM EST,9,$436
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Saturday, June 26, 2021",4:57 AM EST,9.5,$638
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Thursday, June 24, 2021",4:47 PM EST,9.5,$585
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Thursday, June 24, 2021",1:39 PM EST,9.5,$583
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Thursday, June 24, 2021",9:27 AM EST,6,$600
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Wednesday, June 23, 2021",8:43 AM EST,8,$421
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Tuesday, June 22, 2021",9:25 PM EST,4.5,$595
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Tuesday, June 22, 2021",3:38 PM EST,9,$404
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Tuesday, June 22, 2021",8:34 AM EST,6.5,$694
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Monday, June 21, 2021",3:36 PM EST,12.5,$459
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Sunday, June 20, 2021",9:24 PM EST,8.5,$470
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Saturday, June 19, 2021",1:11 PM EST,11,$500
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Thursday, June 17, 2021",1:04 AM EST,9,$425
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Wednesday, June 16, 2021",1:42 PM EST,11,$546
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Wednesday, June 16, 2021",12:08 PM EST,8.5,$633
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Tuesday, June 15, 2021",10:27 AM EST,9,$435
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Monday, June 14, 2021",4:54 PM EST,8.5,$634
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Monday, June 14, 2021",3:14 PM EST,12,$494
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Monday, June 14, 2021",1:47 PM EST,12,$500
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Saturday, June 12, 2021",10:29 PM EST,11,$476
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Saturday, June 12, 2021",12:21 PM EST,12.5,$450
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Saturday, June 12, 2021",12:20 PM EST,9.5,$465
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Friday, June 11, 2021",9:49 AM EST,6.5,$726
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Thursday, June 10, 2021",9:54 PM EST,13,$615
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Thursday, June 10, 2021",5:55 PM EST,11,$507
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Thursday, June 10, 2021",9:20 AM EST,10.5,$450
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Thursday, June 10, 2021",3:35 AM EST,11,$500
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Tuesday, June 8, 2021",7:29 PM EST,13,$422
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Tuesday, June 8, 2021",9:59 AM EST,7.5,$530
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Tuesday, June 8, 2021",3:47 AM EST,5,$639
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Monday, June 7, 2021",6:30 PM EST,4,$460
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Monday, June 7, 2021",2:28 PM EST,9,$456
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Saturday, June 5, 2021",7:24 AM EST,9.5,$449
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Friday, June 4, 2021",12:15 AM EST,10,$530
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Friday, June 4, 2021",10:05 PM EST,10.5,$565
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Friday, June 4, 2021",4:48 PM EST,10,$500
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Friday, June 4, 2021",1:36 PM EST,11,$473
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Friday, June 4, 2021",6:04 AM EST,7.5,$441
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Thursday, June 3, 2021",3:47 PM EST,9,$555
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Thursday, June 3, 2021",8:20 AM EST,6.5,$698
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Wednesday, June 2, 2021",4:29 PM EST,11,$410
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Wednesday, June 2, 2021",2:48 PM EST,12,$460
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Wednesday, June 2, 2021",11:39 AM EST,14.5,$596
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Wednesday, June 2, 2021",9:17 AM EST,6.5,$677
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Tuesday, June 1, 2021",11:27 AM EST,7.5,$670
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Tuesday, June 1, 2021",3:10 AM EST,8,$565
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Monday, May 31, 2021",10:04 PM EST,8.5,$405
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Monday, May 31, 2021",1:24 PM EST,6.5,$521
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Sunday, May 30, 2021",11:16 PM EST,6.5,$675
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Sunday, May 30, 2021",2:12 PM EST,13,$619
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Saturday, May 29, 2021",5:48 PM EST,9.5,$448
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Friday, May 28, 2021",12:38 AM EST,10,$450
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Tuesday, May 25, 2021",11:02 PM EST,11.5,$470
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Sunday, May 23, 2021",6:06 PM EST,6.5,$567
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Friday, May 21, 2021",3:36 PM EST,10.5,$611
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Friday, May 21, 2021",10:46 AM EST,11.5,$550
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Thursday, May 20, 2021",7:44 AM EST,11,$441
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Wednesday, May 19, 2021",12:08 PM EST,10,$631
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Tuesday, May 18, 2021",2:47 PM EST,8.5,$495
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Monday, May 17, 2021",8:52 PM EST,12,$585
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Sunday, May 16, 2021",7:55 PM EST,8.5,$483
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Sunday, May 16, 2021",7:16 PM EST,11.5,$550
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Sunday, May 16, 2021",2:46 PM EST,11,$360
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Sunday, May 16, 2021",8:15 AM EST,4,$474
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Saturday, May 15, 2021",2:55 PM EST,10.5,$500
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Saturday, May 15, 2021",12:12 PM EST,10,$520
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Saturday, May 15, 2021",11:43 AM EST,5,$525
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Saturday, May 15, 2021",8:53 AM EST,10.5,$602
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Friday, May 14, 2021",10:54 PM EST,11,$440
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Friday, May 14, 2021",10:52 PM EST,10,$519
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Friday, May 14, 2021",9:00 AM EST,9,$430
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Friday, May 14, 2021",7:58 AM EST,7.5,$466
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Friday, May 14, 2021",6:16 AM EST,6,$561
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Thursday, May 13, 2021",9:49 AM EST,10.5,$499
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Wednesday, May 12, 2021",5:00 PM EST,12,$555
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Wednesday, May 12, 2021",4:23 PM EST,8.5,$482
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Wednesday, May 12, 2021",3:21 PM EST,9,$559
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Wednesday, May 12, 2021",2:35 PM EST,9,$509
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Wednesday, May 12, 2021",11:36 AM EST,8.5,$479
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Tuesday, May 11, 2021",12:56 AM EST,13,$650
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Tuesday, May 11, 2021",9:12 PM EST,6,$645
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Tuesday, May 11, 2021",11:58 AM EST,10,$450
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Monday, May 10, 2021",8:12 PM EST,9,$432
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Monday, May 10, 2021",6:01 PM EST,11,$404
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Sunday, May 9, 2021",10:36 PM EST,6,$639
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Sunday, May 9, 2021",8:28 PM EST,11,$405
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Sunday, May 9, 2021",7:15 PM EST,9.5,$449
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Sunday, May 9, 2021",9:50 AM EST,9,$426
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Friday, May 7, 2021",8:10 PM EST,10,$450
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Thursday, May 6, 2021",11:47 AM EST,9,$411
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Thursday, May 6, 2021",10:01 AM EST,10.5,$480
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Thursday, May 6, 2021",7:15 AM EST,9.5,$459
adidas Yeezy Boost 700 V2 Hospital Blue,YZB700V2-HB,"Wednesday, May 5, 2021",7:41 PM EST,9,$354
