name,ticker,date,time,size,price
adidas Yeezy Boost 700 V2 Inertia,YZB700V2-INRTA,"Monday, July 5, 2021",6:12 PM EST,11.5,$415
adidas Yeezy Boost 700 V2 Inertia,YZB700V2-INRTA,"Monday, July 5, 2021",5:13 AM EST,11,$650
adidas Yeezy Boost 700 V2 Inertia,YZB700V2-INRTA,"Saturday, July 3, 2021",10:05 AM EST,10.5,$400
adidas Yeezy Boost 700 V2 Inertia,YZB700V2-INRTA,"Wednesday, June 30, 2021",7:26 PM EST,12.5,$448
adidas Yeezy Boost 700 V2 Inertia,YZB700V2-INRTA,"Tuesday, June 29, 2021",7:30 AM EST,13,$361
adidas Yeezy Boost 700 V2 Inertia,YZB700V2-INRTA,"Sunday, June 27, 2021",7:38 PM EST,11,$480
adidas Yeezy Boost 700 V2 Inertia,YZB700V2-INRTA,"Friday, June 25, 2021",8:45 AM EST,8.5,$412
adidas Yeezy Boost 700 V2 Inertia,YZB700V2-INRTA,"Thursday, June 24, 2021",4:46 PM EST,6.5,$789
adidas Yeezy Boost 700 V2 Inertia,YZB700V2-INRTA,"Wednesday, June 23, 2021",3:52 PM EST,11.5,$572
adidas Yeezy Boost 700 V2 Inertia,YZB700V2-INRTA,"Wednesday, June 23, 2021",1:29 PM EST,11.5,$475
adidas Yeezy Boost 700 V2 Inertia,YZB700V2-INRTA,"Monday, June 21, 2021",6:46 PM EST,11,$339
adidas Yeezy Boost 700 V2 Inertia,YZB700V2-INRTA,"Sunday, June 20, 2021",11:07 AM EST,9.5,$510
adidas Yeezy Boost 700 V2 Inertia,YZB700V2-INRTA,"Sunday, June 20, 2021",10:12 AM EST,11.5,$475
adidas Yeezy Boost 700 V2 Inertia,YZB700V2-INRTA,"Friday, June 18, 2021",3:26 PM EST,11,$455
adidas Yeezy Boost 700 V2 Inertia,YZB700V2-INRTA,"Monday, June 14, 2021",4:07 PM EST,7.5,$350
adidas Yeezy Boost 700 V2 Inertia,YZB700V2-INRTA,"Monday, June 14, 2021",4:06 PM EST,7.5,$348
