name,ticker,date,time,size,price
adidas Yeezy Boost 700 V2 Tephra,YZB700V2-TPH,"Tuesday, July 6, 2021",7:59 PM EST,7.5,$439
adidas Yeezy Boost 700 V2 Tephra,YZB700V2-TPH,"Tuesday, July 6, 2021",2:07 AM EST,8,$400
adidas Yeezy Boost 700 V2 Tephra,YZB700V2-TPH,"Monday, July 5, 2021",8:37 PM EST,11,$373
adidas Yeezy Boost 700 V2 Tephra,YZB700V2-TPH,"Monday, July 5, 2021",5:51 PM EST,10.5,$384
adidas Yeezy Boost 700 V2 Tephra,YZB700V2-TPH,"Monday, July 5, 2021",2:59 PM EST,9.5,$425
adidas Yeezy Boost 700 V2 Tephra,YZB700V2-TPH,"Monday, July 5, 2021",2:35 PM EST,8.5,$424
adidas Yeezy Boost 700 V2 Tephra,YZB700V2-TPH,"Monday, July 5, 2021",2:09 PM EST,11,$413
adidas Yeezy Boost 700 V2 Tephra,YZB700V2-TPH,"Monday, July 5, 2021",9:54 AM EST,8.5,$388
adidas Yeezy Boost 700 V2 Tephra,YZB700V2-TPH,"Sunday, July 4, 2021",2:01 PM EST,9,$379
adidas Yeezy Boost 700 V2 Tephra,YZB700V2-TPH,"Sunday, July 4, 2021",1:31 PM EST,7.5,$440
adidas Yeezy Boost 700 V2 Tephra,YZB700V2-TPH,"Sunday, July 4, 2021",8:21 AM EST,12,$470
adidas Yeezy Boost 700 V2 Tephra,YZB700V2-TPH,"Sunday, July 4, 2021",2:36 AM EST,7.5,$459
adidas Yeezy Boost 700 V2 Tephra,YZB700V2-TPH,"Saturday, July 3, 2021",2:09 PM EST,9,$402
adidas Yeezy Boost 700 V2 Tephra,YZB700V2-TPH,"Friday, July 2, 2021",11:22 AM EST,7.5,$454
adidas Yeezy Boost 700 V2 Tephra,YZB700V2-TPH,"Friday, July 2, 2021",10:22 AM EST,8,$481
adidas Yeezy Boost 700 V2 Tephra,YZB700V2-TPH,"Thursday, July 1, 2021",9:36 PM EST,8.5,$392
adidas Yeezy Boost 700 V2 Tephra,YZB700V2-TPH,"Thursday, July 1, 2021",3:50 PM EST,10,$431
adidas Yeezy Boost 700 V2 Tephra,YZB700V2-TPH,"Thursday, July 1, 2021",3:29 PM EST,13,$360
adidas Yeezy Boost 700 V2 Tephra,YZB700V2-TPH,"Thursday, July 1, 2021",5:47 AM EST,9.5,$406
adidas Yeezy Boost 700 V2 Tephra,YZB700V2-TPH,"Wednesday, June 30, 2021",12:13 AM EST,10,$405
adidas Yeezy Boost 700 V2 Tephra,YZB700V2-TPH,"Wednesday, June 30, 2021",12:03 AM EST,8,$430
adidas Yeezy Boost 700 V2 Tephra,YZB700V2-TPH,"Wednesday, June 30, 2021",9:50 PM EST,9.5,$388
adidas Yeezy Boost 700 V2 Tephra,YZB700V2-TPH,"Wednesday, June 30, 2021",1:41 PM EST,9,$408
adidas Yeezy Boost 700 V2 Tephra,YZB700V2-TPH,"Wednesday, June 30, 2021",12:19 PM EST,9.5,$394
adidas Yeezy Boost 700 V2 Tephra,YZB700V2-TPH,"Wednesday, June 30, 2021",11:54 AM EST,8.5,$393
adidas Yeezy Boost 700 V2 Tephra,YZB700V2-TPH,"Wednesday, June 30, 2021",2:51 AM EST,9,$394
adidas Yeezy Boost 700 V2 Tephra,YZB700V2-TPH,"Tuesday, June 29, 2021",10:42 PM EST,11,$445
adidas Yeezy Boost 700 V2 Tephra,YZB700V2-TPH,"Tuesday, June 29, 2021",6:51 PM EST,9,$394
adidas Yeezy Boost 700 V2 Tephra,YZB700V2-TPH,"Tuesday, June 29, 2021",6:23 PM EST,8.5,$424
adidas Yeezy Boost 700 V2 Tephra,YZB700V2-TPH,"Tuesday, June 29, 2021",2:16 PM EST,10,$400
adidas Yeezy Boost 700 V2 Tephra,YZB700V2-TPH,"Tuesday, June 29, 2021",8:48 AM EST,9,$425
adidas Yeezy Boost 700 V2 Tephra,YZB700V2-TPH,"Monday, June 28, 2021",6:49 PM EST,8.5,$371
adidas Yeezy Boost 700 V2 Tephra,YZB700V2-TPH,"Monday, June 28, 2021",1:57 PM EST,8.5,$401
adidas Yeezy Boost 700 V2 Tephra,YZB700V2-TPH,"Monday, June 28, 2021",12:18 PM EST,8.5,$455
adidas Yeezy Boost 700 V2 Tephra,YZB700V2-TPH,"Sunday, June 27, 2021",9:18 AM EST,10,$402
adidas Yeezy Boost 700 V2 Tephra,YZB700V2-TPH,"Sunday, June 27, 2021",9:12 AM EST,9,$406
adidas Yeezy Boost 700 V2 Tephra,YZB700V2-TPH,"Saturday, June 26, 2021",4:19 PM EST,11.5,$536
adidas Yeezy Boost 700 V2 Tephra,YZB700V2-TPH,"Saturday, June 26, 2021",3:35 PM EST,9.5,$429
