name,ticker,date,time,size,price
adidas Yeezy 700 V3 Alvah (Infant),YZB700V3-ALVI,"Friday, July 2, 2021",1:46 AM EST,8K,$180
adidas Yeezy 700 V3 Alvah (Infant),YZB700V3-ALVI,"Wednesday, June 30, 2021",7:55 PM EST,7K,$182
adidas Yeezy 700 V3 Alvah (Infant),YZB700V3-ALVI,"Wednesday, June 30, 2021",1:55 PM EST,10K,$340
adidas Yeezy 700 V3 Alvah (Infant),YZB700V3-ALVI,"Wednesday, June 23, 2021",1:00 PM EST,6K,$215
adidas Yeezy 700 V3 Alvah (Infant),YZB700V3-ALVI,"Wednesday, June 23, 2021",1:00 PM EST,6K,$200
adidas Yeezy 700 V3 Alvah (Infant),YZB700V3-ALVI,"Wednesday, June 23, 2021",1:00 PM EST,9.5K,$230
adidas Yeezy 700 V3 Alvah (Infant),YZB700V3-ALVI,"Wednesday, June 23, 2021",10:59 AM EST,5K,$285
adidas Yeezy 700 V3 Alvah (Infant),YZB700V3-ALVI,"Monday, June 21, 2021",4:09 PM EST,8K,$379
adidas Yeezy 700 V3 Alvah (Infant),YZB700V3-ALVI,"Saturday, June 19, 2021",3:04 AM EST,7K,$299
adidas Yeezy 700 V3 Alvah (Infant),YZB700V3-ALVI,"Friday, June 18, 2021",7:02 PM EST,10K,$190
adidas Yeezy 700 V3 Alvah (Infant),YZB700V3-ALVI,"Friday, June 18, 2021",8:04 AM EST,6.5K,$264
adidas Yeezy 700 V3 Alvah (Infant),YZB700V3-ALVI,"Saturday, May 29, 2021",7:12 AM EST,8K,$280
adidas Yeezy 700 V3 Alvah (Infant),YZB700V3-ALVI,"Tuesday, May 25, 2021",9:37 AM EST,5K,$264
adidas Yeezy 700 V3 Alvah (Infant),YZB700V3-ALVI,"Friday, May 21, 2021",12:15 PM EST,8K,$279
adidas Yeezy 700 V3 Alvah (Infant),YZB700V3-ALVI,"Wednesday, May 19, 2021",9:58 AM EST,7K,$420
adidas Yeezy 700 V3 Alvah (Infant),YZB700V3-ALVI,"Monday, May 17, 2021",5:54 PM EST,5.5K,$268
adidas Yeezy 700 V3 Alvah (Infant),YZB700V3-ALVI,"Saturday, May 15, 2021",9:29 AM EST,9K,$340
adidas Yeezy 700 V3 Alvah (Infant),YZB700V3-ALVI,"Monday, May 10, 2021",6:06 PM EST,5K,$264
adidas Yeezy 700 V3 Alvah (Infant),YZB700V3-ALVI,"Sunday, May 9, 2021",8:16 AM EST,8K,$294
