name,ticker,date,time,size,price
adidas Yeezy 700 V3 Alvah (Kids),YZB700V3-ALVK,"Tuesday, June 22, 2021",10:08 AM EST,3,$347
adidas Yeezy 700 V3 Alvah (Kids),YZB700V3-ALVK,"Monday, June 21, 2021",2:14 AM EST,2.5,$400
adidas Yeezy 700 V3 Alvah (Kids),YZB700V3-ALVK,"Sunday, June 20, 2021",8:37 PM EST,11K,$250
adidas Yeezy 700 V3 Alvah (Kids),YZB700V3-ALVK,"Sunday, June 20, 2021",3:31 PM EST,1.5,$344
adidas Yeezy 700 V3 Alvah (Kids),YZB700V3-ALVK,"Wednesday, June 16, 2021",3:49 PM EST,12K,$333
adidas Yeezy 700 V3 Alvah (Kids),YZB700V3-ALVK,"Wednesday, June 16, 2021",3:01 PM EST,2,$380
adidas Yeezy 700 V3 Alvah (Kids),YZB700V3-ALVK,"Tuesday, June 15, 2021",8:08 PM EST,13.5K,$314
adidas Yeezy 700 V3 Alvah (Kids),YZB700V3-ALVK,"Tuesday, June 15, 2021",8:05 PM EST,3,$439
adidas Yeezy 700 V3 Alvah (Kids),YZB700V3-ALVK,"Thursday, June 10, 2021",5:37 PM EST,13.5K,$315
adidas Yeezy 700 V3 Alvah (Kids),YZB700V3-ALVK,"Monday, May 31, 2021",9:30 PM EST,3,$300
adidas Yeezy 700 V3 Alvah (Kids),YZB700V3-ALVK,"Sunday, May 23, 2021",4:11 PM EST,12K,$395
adidas Yeezy 700 V3 Alvah (Kids),YZB700V3-ALVK,"Wednesday, May 19, 2021",7:40 PM EST,13.5K,$349
adidas Yeezy 700 V3 Alvah (Kids),YZB700V3-ALVK,"Friday, May 14, 2021",5:08 PM EST,3.5,$449
adidas Yeezy 700 V3 Alvah (Kids),YZB700V3-ALVK,"Wednesday, May 12, 2021",9:25 PM EST,3,$435
adidas Yeezy 700 V3 Alvah (Kids),YZB700V3-ALVK,"Saturday, May 1, 2021",3:01 PM EST,12K,$345
adidas Yeezy 700 V3 Alvah (Kids),YZB700V3-ALVK,"Wednesday, April 28, 2021",2:07 PM EST,13K,$438
adidas Yeezy 700 V3 Alvah (Kids),YZB700V3-ALVK,"Saturday, April 24, 2021",7:09 PM EST,11K,$400
adidas Yeezy 700 V3 Alvah (Kids),YZB700V3-ALVK,"Friday, April 23, 2021",12:53 AM EST,13K,$350
adidas Yeezy 700 V3 Alvah (Kids),YZB700V3-ALVK,"Friday, April 23, 2021",8:11 AM EST,3,$442
adidas Yeezy 700 V3 Alvah (Kids),YZB700V3-ALVK,"Wednesday, April 21, 2021",7:50 PM EST,10.5K,$151
adidas Yeezy 700 V3 Alvah (Kids),YZB700V3-ALVK,"Wednesday, April 21, 2021",6:56 PM EST,11K,$154
adidas Yeezy 700 V3 Alvah (Kids),YZB700V3-ALVK,"Wednesday, April 21, 2021",4:58 PM EST,11.5K,$200
adidas Yeezy 700 V3 Alvah (Kids),YZB700V3-ALVK,"Tuesday, April 20, 2021",12:49 PM EST,13.5K,$193
