name,ticker,date,time,size,price
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Tuesday, July 6, 2021",11:43 AM EST,8,$708
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Monday, July 5, 2021",4:50 PM EST,6.5,$900
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Monday, July 5, 2021",4:00 AM EST,5.5,$715
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Monday, July 5, 2021",3:14 AM EST,5.5,$612
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Sunday, July 4, 2021",3:33 PM EST,7,$895
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Sunday, July 4, 2021",9:06 AM EST,9,$701
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Friday, July 2, 2021",8:25 PM EST,9,$795
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Thursday, July 1, 2021",9:05 AM EST,10.5,$730
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Wednesday, June 30, 2021",5:57 PM EST,8,$712
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Wednesday, June 30, 2021",7:24 AM EST,8,$712
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Tuesday, June 29, 2021",9:57 PM EST,10,$793
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Tuesday, June 29, 2021",3:55 PM EST,10,$799
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Monday, June 28, 2021",8:00 AM EST,7.5,$640
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Sunday, June 27, 2021",12:05 AM EST,11.5,$915
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Sunday, June 27, 2021",5:08 PM EST,13,$850
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Saturday, June 26, 2021",9:44 PM EST,9.5,$728
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Saturday, June 26, 2021",10:22 AM EST,10,$720
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Saturday, June 26, 2021",10:18 AM EST,4.5,$779
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Saturday, June 26, 2021",9:18 AM EST,8,$829
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Friday, June 25, 2021",4:48 PM EST,9,$779
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Friday, June 25, 2021",2:27 PM EST,9.5,$786
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Thursday, June 24, 2021",3:13 PM EST,9,$775
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Thursday, June 24, 2021",12:45 PM EST,6,$815
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Wednesday, June 23, 2021",12:08 AM EST,11.5,$914
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Wednesday, June 23, 2021",9:26 PM EST,10,$730
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Wednesday, June 23, 2021",2:39 AM EST,10,$785
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Tuesday, June 22, 2021",6:01 PM EST,11,$850
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Monday, June 21, 2021",9:56 PM EST,11,$800
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Monday, June 21, 2021",4:26 PM EST,11,$781
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Monday, June 21, 2021",11:16 AM EST,14,$771
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Sunday, June 20, 2021",4:47 PM EST,10.5,$798
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Saturday, June 19, 2021",2:12 PM EST,10,$781
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Friday, June 18, 2021",3:02 PM EST,4.5,$800
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Friday, June 18, 2021",9:58 AM EST,10.5,$775
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Thursday, June 17, 2021",6:10 PM EST,10,$776
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Thursday, June 17, 2021",9:38 AM EST,10,$731
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Wednesday, June 16, 2021",5:58 PM EST,8.5,$831
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Wednesday, June 16, 2021",3:24 PM EST,9.5,$740
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Wednesday, June 16, 2021",1:05 AM EST,10.5,$700
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Tuesday, June 15, 2021",8:51 PM EST,8,$713
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Tuesday, June 15, 2021",8:41 PM EST,8.5,$789
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Tuesday, June 15, 2021",2:40 AM EST,9.5,$780
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Monday, June 14, 2021",7:55 AM EST,9.5,$719
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Sunday, June 13, 2021",10:09 AM EST,8.5,$850
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Saturday, June 12, 2021",5:24 PM EST,12,$905
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Saturday, June 12, 2021",3:06 PM EST,10,$777
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Friday, June 11, 2021",3:49 PM EST,7,$988
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Friday, June 11, 2021",3:18 PM EST,7,$985
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Friday, June 11, 2021",9:36 AM EST,11,$841
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Friday, June 11, 2021",8:44 AM EST,8.5,$702
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Thursday, June 10, 2021",8:58 PM EST,11,$835
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Thursday, June 10, 2021",8:53 PM EST,9,$750
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Thursday, June 10, 2021",3:15 PM EST,8.5,$769
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Thursday, June 10, 2021",7:11 AM EST,9.5,$716
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Wednesday, June 9, 2021",11:48 AM EST,10.5,$825
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Wednesday, June 9, 2021",2:09 AM EST,8,$755
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Tuesday, June 8, 2021",8:45 AM EST,10,$770
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Monday, June 7, 2021",8:34 PM EST,10.5,$807
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Monday, June 7, 2021",5:48 PM EST,8.5,$790
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Monday, June 7, 2021",12:37 PM EST,10.5,$800
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Monday, June 7, 2021",12:21 PM EST,9.5,$779
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Monday, June 7, 2021",6:55 AM EST,7,$853
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Sunday, June 6, 2021",12:38 AM EST,10,$776
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Saturday, June 5, 2021",1:12 AM EST,10.5,$798
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Friday, June 4, 2021",5:43 PM EST,11,$800
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Friday, June 4, 2021",5:43 PM EST,5,$720
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Friday, June 4, 2021",12:35 PM EST,10.5,$824
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Thursday, June 3, 2021",7:29 PM EST,14,$900
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Thursday, June 3, 2021",4:00 PM EST,9,$652
adidas Yeezy 700 V3 Azael,YZB700V3-AZL,"Thursday, June 3, 2021",4:59 AM EST,8.5,$770
