name,ticker,date,time,size,price
adidas Yeezy 700 V3 Arzareth,YZB700V3-AZRT,"Tuesday, July 6, 2021",3:14 PM EST,11,$370
adidas Yeezy 700 V3 Arzareth,YZB700V3-AZRT,"Tuesday, July 6, 2021",2:10 PM EST,10,$335
adidas Yeezy 700 V3 Arzareth,YZB700V3-AZRT,"Tuesday, July 6, 2021",12:43 PM EST,7.5,$350
adidas Yeezy 700 V3 Arzareth,YZB700V3-AZRT,"Tuesday, July 6, 2021",12:25 PM EST,6,$333
adidas Yeezy 700 V3 Arzareth,YZB700V3-AZRT,"Tuesday, July 6, 2021",9:07 AM EST,4.5,$367
adidas Yeezy 700 V3 Arzareth,YZB700V3-AZRT,"Tuesday, July 6, 2021",2:15 AM EST,5,$321
adidas Yeezy 700 V3 Arzareth,YZB700V3-AZRT,"Monday, July 5, 2021",12:09 AM EST,6,$365
adidas Yeezy 700 V3 Arzareth,YZB700V3-AZRT,"Monday, July 5, 2021",9:43 PM EST,9.5,$350
adidas Yeezy 700 V3 Arzareth,YZB700V3-AZRT,"Monday, July 5, 2021",9:25 PM EST,10.5,$350
adidas Yeezy 700 V3 Arzareth,YZB700V3-AZRT,"Monday, July 5, 2021",8:50 PM EST,10.5,$340
adidas Yeezy 700 V3 Arzareth,YZB700V3-AZRT,"Monday, July 5, 2021",8:30 PM EST,8,$355
adidas Yeezy 700 V3 Arzareth,YZB700V3-AZRT,"Monday, July 5, 2021",8:20 PM EST,11.5,$405
adidas Yeezy 700 V3 Arzareth,YZB700V3-AZRT,"Monday, July 5, 2021",5:36 PM EST,8,$366
adidas Yeezy 700 V3 Arzareth,YZB700V3-AZRT,"Monday, July 5, 2021",1:13 PM EST,10,$376
adidas Yeezy 700 V3 Arzareth,YZB700V3-AZRT,"Monday, July 5, 2021",12:20 PM EST,8,$365
adidas Yeezy 700 V3 Arzareth,YZB700V3-AZRT,"Monday, July 5, 2021",11:44 AM EST,4.5,$302
adidas Yeezy 700 V3 Arzareth,YZB700V3-AZRT,"Monday, July 5, 2021",9:48 AM EST,6.5,$398
adidas Yeezy 700 V3 Arzareth,YZB700V3-AZRT,"Monday, July 5, 2021",6:39 AM EST,8,$363
adidas Yeezy 700 V3 Arzareth,YZB700V3-AZRT,"Monday, July 5, 2021",4:19 AM EST,9.5,$385
adidas Yeezy 700 V3 Arzareth,YZB700V3-AZRT,"Monday, July 5, 2021",4:10 AM EST,9.5,$410
adidas Yeezy 700 V3 Arzareth,YZB700V3-AZRT,"Monday, July 5, 2021",3:16 AM EST,4.5,$357
adidas Yeezy 700 V3 Arzareth,YZB700V3-AZRT,"Monday, July 5, 2021",3:13 AM EST,9,$350
adidas Yeezy 700 V3 Arzareth,YZB700V3-AZRT,"Sunday, July 4, 2021",12:38 AM EST,13,$425
adidas Yeezy 700 V3 Arzareth,YZB700V3-AZRT,"Sunday, July 4, 2021",10:57 PM EST,7.5,$378
adidas Yeezy 700 V3 Arzareth,YZB700V3-AZRT,"Sunday, July 4, 2021",7:35 PM EST,5,$321
adidas Yeezy 700 V3 Arzareth,YZB700V3-AZRT,"Sunday, July 4, 2021",4:53 PM EST,11,$418
adidas Yeezy 700 V3 Arzareth,YZB700V3-AZRT,"Sunday, July 4, 2021",4:47 PM EST,7,$412
adidas Yeezy 700 V3 Arzareth,YZB700V3-AZRT,"Sunday, July 4, 2021",4:44 PM EST,9.5,$389
