name,ticker,date,time,size,price
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Thursday, July 1, 2021",4:48 PM EST,9.5K,$359
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Wednesday, June 30, 2021",8:17 PM EST,9K,$350
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Monday, June 28, 2021",2:05 AM EST,9.5K,$287
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Sunday, June 27, 2021",10:42 AM EST,5K,$200
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Wednesday, June 23, 2021",5:49 AM EST,8K,$300
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Monday, June 21, 2021",6:40 PM EST,6.5K,$327
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Sunday, June 20, 2021",3:07 AM EST,8.5K,$294
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Saturday, June 19, 2021",8:10 PM EST,4K,$275
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Wednesday, June 16, 2021",5:44 AM EST,4K,$198
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Sunday, June 13, 2021",11:27 PM EST,6.5K,$327
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Thursday, June 10, 2021",11:18 AM EST,5K,$211
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Tuesday, June 8, 2021",8:07 AM EST,7K,$344
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Friday, June 4, 2021",2:32 PM EST,9K,$398
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Wednesday, June 2, 2021",5:31 AM EST,10K,$369
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Monday, May 31, 2021",6:41 PM EST,9K,$399
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Saturday, May 29, 2021",4:38 AM EST,8.5K,$376
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Friday, May 28, 2021",10:48 PM EST,9K,$383
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Wednesday, May 26, 2021",7:08 PM EST,8K,$200
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Wednesday, May 26, 2021",4:18 PM EST,9K,$336
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Tuesday, May 25, 2021",3:03 PM EST,7K,$176
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Tuesday, May 18, 2021",1:27 PM EST,10K,$183
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Tuesday, May 11, 2021",9:19 PM EST,7.5K,$400
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Tuesday, May 11, 2021",6:30 PM EST,5K,$350
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Monday, May 10, 2021",4:25 AM EST,10K,$227
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Tuesday, May 4, 2021",12:54 AM EST,9K,$350
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Tuesday, May 4, 2021",8:36 PM EST,6.5K,$370
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Sunday, May 2, 2021",9:02 PM EST,7.5K,$350
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Friday, April 30, 2021",6:06 PM EST,9.5K,$357
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Thursday, April 29, 2021",1:50 PM EST,7.5K,$164
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Wednesday, April 28, 2021",11:38 PM EST,8.5K,$293
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Wednesday, April 28, 2021",7:10 AM EST,7K,$336
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Wednesday, April 28, 2021",4:32 AM EST,7.5K,$345
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Tuesday, April 27, 2021",9:08 PM EST,10K,$308
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Tuesday, April 27, 2021",4:04 PM EST,5K,$345
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Tuesday, April 27, 2021",3:01 PM EST,6K,$175
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Monday, April 26, 2021",7:44 PM EST,10K,$308
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Saturday, April 24, 2021",12:10 AM EST,8K,$330
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Thursday, April 22, 2021",11:03 AM EST,8K,$314
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Wednesday, April 21, 2021",6:54 PM EST,4K,$176
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Wednesday, April 21, 2021",5:33 PM EST,5K,$151
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Wednesday, April 21, 2021",9:33 AM EST,4K,$300
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Tuesday, April 20, 2021",10:27 PM EST,10K,$201
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Tuesday, April 20, 2021",2:22 PM EST,8.5K,$161
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Tuesday, April 20, 2021",8:18 AM EST,10K,$307
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Monday, April 19, 2021",6:03 PM EST,8K,$313
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Friday, April 16, 2021",8:17 PM EST,5.5K,$350
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Friday, April 16, 2021",8:16 PM EST,5.5K,$340
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Tuesday, April 13, 2021",5:34 PM EST,5.5K,$292
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Sunday, April 11, 2021",1:44 PM EST,9.5K,$162
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Friday, April 9, 2021",9:15 PM EST,5.5K,$270
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Thursday, April 8, 2021",6:00 PM EST,10K,$306
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Thursday, April 8, 2021",5:58 PM EST,5K,$360
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Thursday, April 8, 2021",5:48 PM EST,6.5K,$379
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Tuesday, April 6, 2021",10:34 PM EST,9K,$398
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Monday, April 5, 2021",9:45 PM EST,5K,$150
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Saturday, April 3, 2021",2:39 AM EST,6K,$220
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Friday, April 2, 2021",2:13 PM EST,10K,$304
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Thursday, April 1, 2021",4:05 PM EST,9K,$349
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Wednesday, March 31, 2021",10:35 PM EST,9.5K,$393
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Monday, March 29, 2021",10:44 AM EST,9.5K,$333
adidas Yeezy 700 V3 Arzareth (Infants),YZB700V3-AZRTI,"Sunday, March 28, 2021",1:52 PM EST,9K,$200
