name,ticker,date,time,size,price
adidas Yeezy 700 V3 Arzareth (Kids),YZB700V3-AZRTK,"Monday, July 5, 2021",6:52 PM EST,11K,$372
adidas Yeezy 700 V3 Arzareth (Kids),YZB700V3-AZRTK,"Saturday, July 3, 2021",4:48 PM EST,12K,$320
adidas Yeezy 700 V3 Arzareth (Kids),YZB700V3-AZRTK,"Friday, July 2, 2021",12:14 AM EST,3Y,$375
adidas Yeezy 700 V3 Arzareth (Kids),YZB700V3-AZRTK,"Saturday, June 19, 2021",8:36 PM EST,1Y,$290
adidas Yeezy 700 V3 Arzareth (Kids),YZB700V3-AZRTK,"Tuesday, June 8, 2021",1:51 PM EST,2Y,$400
adidas Yeezy 700 V3 Arzareth (Kids),YZB700V3-AZRTK,"Wednesday, June 2, 2021",5:31 AM EST,1Y,$442
adidas Yeezy 700 V3 Arzareth (Kids),YZB700V3-AZRTK,"Monday, May 31, 2021",8:03 PM EST,2Y,$350
adidas Yeezy 700 V3 Arzareth (Kids),YZB700V3-AZRTK,"Sunday, May 30, 2021",1:26 AM EST,3Y,$395
adidas Yeezy 700 V3 Arzareth (Kids),YZB700V3-AZRTK,"Friday, May 28, 2021",3:12 PM EST,1Y,$255
adidas Yeezy 700 V3 Arzareth (Kids),YZB700V3-AZRTK,"Monday, May 24, 2021",10:52 AM EST,13K,$320
adidas Yeezy 700 V3 Arzareth (Kids),YZB700V3-AZRTK,"Saturday, May 22, 2021",8:34 AM EST,12K,$280
adidas Yeezy 700 V3 Arzareth (Kids),YZB700V3-AZRTK,"Sunday, May 16, 2021",6:23 PM EST,13K,$319
adidas Yeezy 700 V3 Arzareth (Kids),YZB700V3-AZRTK,"Tuesday, May 11, 2021",9:28 PM EST,2Y,$344
adidas Yeezy 700 V3 Arzareth (Kids),YZB700V3-AZRTK,"Saturday, May 8, 2021",2:36 PM EST,3Y,$395
adidas Yeezy 700 V3 Arzareth (Kids),YZB700V3-AZRTK,"Saturday, May 1, 2021",11:23 AM EST,2Y,$298
adidas Yeezy 700 V3 Arzareth (Kids),YZB700V3-AZRTK,"Friday, April 30, 2021",10:19 AM EST,1Y,$250
adidas Yeezy 700 V3 Arzareth (Kids),YZB700V3-AZRTK,"Thursday, April 29, 2021",2:02 PM EST,1Y,$130
adidas Yeezy 700 V3 Arzareth (Kids),YZB700V3-AZRTK,"Saturday, April 24, 2021",11:13 AM EST,13K,$307
adidas Yeezy 700 V3 Arzareth (Kids),YZB700V3-AZRTK,"Thursday, April 22, 2021",6:56 PM EST,3.5Y,$300
adidas Yeezy 700 V3 Arzareth (Kids),YZB700V3-AZRTK,"Wednesday, April 21, 2021",5:46 PM EST,2.5Y,$155
adidas Yeezy 700 V3 Arzareth (Kids),YZB700V3-AZRTK,"Monday, April 19, 2021",4:37 PM EST,3.5Y,$299
adidas Yeezy 700 V3 Arzareth (Kids),YZB700V3-AZRTK,"Sunday, April 18, 2021",3:06 PM EST,1.5Y,$349
adidas Yeezy 700 V3 Arzareth (Kids),YZB700V3-AZRTK,"Sunday, April 18, 2021",9:49 AM EST,11.5K,$550
adidas Yeezy 700 V3 Arzareth (Kids),YZB700V3-AZRTK,"Sunday, April 11, 2021",1:49 PM EST,1Y,$200
adidas Yeezy 700 V3 Arzareth (Kids),YZB700V3-AZRTK,"Sunday, April 4, 2021",11:36 PM EST,2.5Y,$385
adidas Yeezy 700 V3 Arzareth (Kids),YZB700V3-AZRTK,"Sunday, April 4, 2021",3:00 AM EST,10.5K,$460
