name,ticker,date,time,size,price
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",5:25 PM EST,7,$249
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",5:24 PM EST,8.5,$235
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",4:48 PM EST,9.5,$231
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",4:42 PM EST,11,$224
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",4:32 PM EST,10.5,$224
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",3:47 PM EST,9.5,$230
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",3:17 PM EST,10,$226
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",3:14 PM EST,8,$220
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",3:07 PM EST,13,$240
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",3:02 PM EST,12,$245
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",2:49 PM EST,10.5,$238
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",2:44 PM EST,11.5,$285
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",2:41 PM EST,10,$228
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",2:40 PM EST,10,$228
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",2:38 PM EST,9.5,$228
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",2:36 PM EST,9,$220
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",2:36 PM EST,7.5,$236
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",2:21 PM EST,7,$247
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",2:17 PM EST,11,$260
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",2:11 PM EST,10.5,$226
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",2:00 PM EST,9,$225
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",1:52 PM EST,10.5,$227
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",1:48 PM EST,12,$245
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",1:33 PM EST,8,$221
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",1:32 PM EST,10,$234
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",1:09 PM EST,7.5,$239
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",12:59 PM EST,9.5,$229
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",12:50 PM EST,7,$246
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",12:19 PM EST,13,$237
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",12:16 PM EST,7,$239
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",11:47 AM EST,9,$232
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",11:43 AM EST,9,$227
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",11:35 AM EST,9,$228
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",11:26 AM EST,13,$245
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",11:18 AM EST,7,$240
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",11:12 AM EST,7,$245
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",11:04 AM EST,14,$255
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",10:37 AM EST,8,$230
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",10:33 AM EST,7,$245
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",10:26 AM EST,6,$236
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",10:25 AM EST,14,$251
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",9:51 AM EST,10,$230
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",9:31 AM EST,5.5,$236
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",9:15 AM EST,6.5,$356
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",8:53 AM EST,10.5,$225
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",8:34 AM EST,8.5,$313
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",8:21 AM EST,11,$224
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",8:11 AM EST,9,$232
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",8:10 AM EST,9.5,$230
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",8:10 AM EST,12,$246
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",8:10 AM EST,13,$245
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",8:09 AM EST,11,$228
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",8:09 AM EST,10,$229
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",8:08 AM EST,8,$230
adidas Yeezy 700 V3 Safflower,YZB700V3-SRPH,"Tuesday, July 6, 2021",7:38 AM EST,7,$245
