name,ticker,date,time,size,price
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Tuesday, July 6, 2021",1:43 AM EST,10K,$298
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Wednesday, June 23, 2021",2:49 PM EST,4K,$310
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Monday, June 21, 2021",6:47 PM EST,6.5K,$294
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Sunday, June 13, 2021",3:34 AM EST,6K,$346
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Saturday, May 22, 2021",5:35 AM EST,6K,$200
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Tuesday, May 18, 2021",4:27 PM EST,8.5K,$300
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Saturday, May 15, 2021",12:18 PM EST,8K,$300
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Wednesday, May 12, 2021",7:34 PM EST,6K,$225
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Sunday, May 9, 2021",11:20 AM EST,7K,$227
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Friday, April 30, 2021",8:39 PM EST,5K,$248
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Friday, April 30, 2021",12:18 PM EST,10K,$153
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Friday, April 30, 2021",11:49 AM EST,6K,$212
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Friday, April 30, 2021",10:06 AM EST,10K,$309
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Sunday, April 25, 2021",9:24 PM EST,6K,$283
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Saturday, April 24, 2021",1:02 PM EST,9.5K,$255
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Thursday, April 22, 2021",12:05 AM EST,10K,$298
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Thursday, April 22, 2021",1:25 AM EST,9.5K,$252
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Wednesday, April 21, 2021",3:36 PM EST,10K,$200
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Wednesday, April 21, 2021",9:46 AM EST,9K,$404
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Thursday, April 15, 2021",11:38 AM EST,5.5K,$336
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Saturday, April 3, 2021",2:36 AM EST,10K,$254
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Friday, April 2, 2021",3:41 PM EST,5K,$281
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Wednesday, March 31, 2021",3:46 PM EST,8.5K,$333
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Wednesday, March 31, 2021",11:45 AM EST,9.5K,$254
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Wednesday, March 31, 2021",8:11 AM EST,10K,$241
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Tuesday, March 30, 2021",1:31 PM EST,4K,$401
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Tuesday, March 30, 2021",9:24 AM EST,6.5K,$301
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Tuesday, March 30, 2021",6:18 AM EST,8.5K,$354
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Wednesday, March 24, 2021",1:00 AM EST,9K,$263
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Saturday, March 20, 2021",4:46 PM EST,9.5K,$250
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Friday, March 19, 2021",10:22 AM EST,9.5K,$130
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Thursday, March 18, 2021",4:45 PM EST,5K,$201
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Friday, March 12, 2021",2:46 PM EST,10K,$150
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Thursday, March 11, 2021",4:31 PM EST,9.5K,$250
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Monday, March 8, 2021",11:24 PM EST,6.5K,$312
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Saturday, March 6, 2021",8:32 PM EST,8.5K,$315
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Friday, March 5, 2021",12:28 AM EST,9.5K,$251
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Wednesday, March 3, 2021",5:19 PM EST,5.5K,$296
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Wednesday, March 3, 2021",4:00 AM EST,9.5K,$243
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Tuesday, March 2, 2021",2:34 PM EST,8.5K,$309
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Saturday, February 27, 2021",2:39 AM EST,9K,$267
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Tuesday, February 23, 2021",12:37 AM EST,4K,$307
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Saturday, February 20, 2021",4:47 PM EST,8.5K,$295
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Thursday, February 18, 2021",11:09 PM EST,5.5K,$263
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Thursday, February 18, 2021",10:55 PM EST,10K,$150
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Tuesday, February 16, 2021",2:40 AM EST,10K,$250
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Monday, February 15, 2021",11:52 PM EST,4K,$241
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Saturday, February 6, 2021",5:20 PM EST,10K,$245
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Saturday, February 6, 2021",6:07 AM EST,9K,$253
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Wednesday, February 3, 2021",5:26 PM EST,6.5K,$297
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Monday, February 1, 2021",1:41 PM EST,4K,$230
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Monday, February 1, 2021",1:40 PM EST,4K,$206
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Friday, January 29, 2021",9:17 PM EST,6K,$206
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Thursday, January 28, 2021",4:04 PM EST,7.5K,$300
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Wednesday, January 27, 2021",11:16 PM EST,9.5K,$200
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Wednesday, January 27, 2021",8:39 AM EST,7K,$295
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Monday, January 25, 2021",5:29 PM EST,8K,$313
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Saturday, January 23, 2021",11:02 AM EST,5.5K,$205
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Saturday, January 23, 2021",11:02 AM EST,5.5K,$170
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Friday, January 22, 2021",11:54 AM EST,6K,$198
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Wednesday, January 20, 2021",6:34 PM EST,9.5K,$180
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Tuesday, January 19, 2021",7:08 PM EST,8K,$204
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Tuesday, January 19, 2021",7:54 AM EST,7K,$360
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Monday, January 18, 2021",12:03 AM EST,6.5K,$200
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Sunday, January 17, 2021",12:15 PM EST,5.5K,$225
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Saturday, January 16, 2021",11:35 AM EST,9K,$280
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Wednesday, January 13, 2021",7:30 AM EST,6.5K,$192
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Tuesday, January 12, 2021",12:07 AM EST,8.5K,$255
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Monday, January 11, 2021",10:02 PM EST,10K,$219
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Monday, January 11, 2021",8:54 PM EST,10K,$159
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Sunday, January 10, 2021",10:50 AM EST,5K,$194
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Sunday, January 10, 2021",6:31 AM EST,10K,$170
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Saturday, January 9, 2021",4:30 PM EST,8K,$200
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Friday, January 8, 2021",2:59 AM EST,9.5K,$162
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Thursday, January 7, 2021",12:21 AM EST,9K,$218
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Thursday, January 7, 2021",3:15 PM EST,8K,$161
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Thursday, January 7, 2021",10:42 AM EST,5.5K,$159
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Thursday, January 7, 2021",8:49 AM EST,9.5K,$151
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Wednesday, January 6, 2021",10:33 PM EST,9.5K,$151
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Wednesday, January 6, 2021",8:46 PM EST,8.5K,$193
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Wednesday, January 6, 2021",12:10 PM EST,8K,$196
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Wednesday, January 6, 2021",10:49 AM EST,6K,$197
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Wednesday, January 6, 2021",5:52 AM EST,6K,$192
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Tuesday, January 5, 2021",10:45 PM EST,9.5K,$149
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Tuesday, January 5, 2021",3:35 AM EST,10K,$120
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Monday, January 4, 2021",7:04 PM EST,7K,$200
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Monday, January 4, 2021",7:03 PM EST,7K,$215
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Monday, January 4, 2021",1:54 PM EST,9K,$209
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Sunday, January 3, 2021",1:16 PM EST,5.5K,$152
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Sunday, January 3, 2021",12:58 PM EST,4K,$147
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Friday, January 1, 2021",12:04 AM EST,5K,$120
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Friday, January 1, 2021",7:39 PM EST,5.5K,$151
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Wednesday, December 30, 2020",12:25 AM EST,4K,$128
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Monday, December 28, 2020",4:04 AM EST,7.5K,$142
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Thursday, December 24, 2020",8:20 AM EST,7K,$250
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Monday, December 21, 2020",6:05 PM EST,10K,$165
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Sunday, December 20, 2020",11:30 PM EST,8.5K,$136
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Thursday, December 17, 2020",8:49 AM EST,6.5K,$180
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Tuesday, December 15, 2020",3:41 PM EST,6.5K,$151
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Monday, December 14, 2020",1:55 PM EST,9.5K,$150
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Saturday, December 12, 2020",12:47 AM EST,7K,$200
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Friday, December 11, 2020",7:43 AM EST,8.5K,$162
adidas Yeezy 700 V3 Safflower (Infants),YZB700V3-SRPHI,"Thursday, December 10, 2020",9:18 AM EST,8K,$200
