name,ticker,date,time,size,price
adidas Yeezy Desert Boot Oil,YZDSBT-OIL,"Tuesday, July 6, 2021",2:09 PM EST,6.5,$208
adidas Yeezy Desert Boot Oil,YZDSBT-OIL,"Monday, July 5, 2021",3:25 PM EST,10,$322
adidas Yeezy Desert Boot Oil,YZDSBT-OIL,"Wednesday, June 30, 2021",4:03 AM EST,7,$228
adidas Yeezy Desert Boot Oil,YZDSBT-OIL,"Tuesday, June 29, 2021",2:04 PM EST,9.5,$284
adidas Yeezy Desert Boot Oil,YZDSBT-OIL,"Tuesday, June 29, 2021",12:56 PM EST,9.5,$307
adidas Yeezy Desert Boot Oil,YZDSBT-OIL,"Monday, June 28, 2021",10:22 PM EST,9.5,$285
adidas Yeezy Desert Boot Oil,YZDSBT-OIL,"Sunday, June 27, 2021",9:23 PM EST,14,$645
adidas Yeezy Desert Boot Oil,YZDSBT-OIL,"Saturday, June 26, 2021",5:49 PM EST,8,$292
adidas Yeezy Desert Boot Oil,YZDSBT-OIL,"Tuesday, June 22, 2021",7:03 PM EST,10,$321
adidas Yeezy Desert Boot Oil,YZDSBT-OIL,"Sunday, June 20, 2021",7:38 PM EST,8,$285
adidas Yeezy Desert Boot Oil,YZDSBT-OIL,"Sunday, June 20, 2021",7:15 PM EST,7.5,$288
adidas Yeezy Desert Boot Oil,YZDSBT-OIL,"Sunday, June 20, 2021",6:58 PM EST,9.5,$314
adidas Yeezy Desert Boot Oil,YZDSBT-OIL,"Friday, June 18, 2021",10:59 PM EST,9.5,$314
adidas Yeezy Desert Boot Oil,YZDSBT-OIL,"Friday, June 18, 2021",6:45 AM EST,7.5,$288
adidas Yeezy Desert Boot Oil,YZDSBT-OIL,"Thursday, June 17, 2021",12:09 PM EST,10,$295
adidas Yeezy Desert Boot Oil,YZDSBT-OIL,"Tuesday, June 15, 2021",12:36 AM EST,12,$408
adidas Yeezy Desert Boot Oil,YZDSBT-OIL,"Tuesday, June 15, 2021",12:40 PM EST,12,$360
adidas Yeezy Desert Boot Oil,YZDSBT-OIL,"Monday, June 14, 2021",9:05 AM EST,9,$249
adidas Yeezy Desert Boot Oil,YZDSBT-OIL,"Sunday, June 13, 2021",8:23 PM EST,7,$371
adidas Yeezy Desert Boot Oil,YZDSBT-OIL,"Sunday, June 13, 2021",6:57 PM EST,9,$231
adidas Yeezy Desert Boot Oil,YZDSBT-OIL,"Sunday, June 13, 2021",6:40 AM EST,14,$450
adidas Yeezy Desert Boot Oil,YZDSBT-OIL,"Saturday, June 12, 2021",12:43 AM EST,11,$524
adidas Yeezy Desert Boot Oil,YZDSBT-OIL,"Friday, June 11, 2021",6:41 AM EST,9.5,$235
adidas Yeezy Desert Boot Oil,YZDSBT-OIL,"Wednesday, June 9, 2021",10:09 PM EST,8,$275
adidas Yeezy Desert Boot Oil,YZDSBT-OIL,"Wednesday, June 9, 2021",10:30 AM EST,10,$300
adidas Yeezy Desert Boot Oil,YZDSBT-OIL,"Wednesday, June 9, 2021",6:19 AM EST,11.5,$320
adidas Yeezy Desert Boot Oil,YZDSBT-OIL,"Monday, June 7, 2021",12:15 AM EST,6.5,$250
adidas Yeezy Desert Boot Oil,YZDSBT-OIL,"Monday, June 7, 2021",11:28 PM EST,8,$255
adidas Yeezy Desert Boot Oil,YZDSBT-OIL,"Monday, June 7, 2021",6:47 PM EST,7.5,$283
adidas Yeezy Desert Boot Oil,YZDSBT-OIL,"Sunday, June 6, 2021",8:35 PM EST,10.5,$418
adidas Yeezy Desert Boot Oil,YZDSBT-OIL,"Sunday, June 6, 2021",12:28 PM EST,8.5,$290
adidas Yeezy Desert Boot Oil,YZDSBT-OIL,"Sunday, June 6, 2021",4:48 AM EST,5,$168
adidas Yeezy Desert Boot Oil,YZDSBT-OIL,"Friday, June 4, 2021",7:14 PM EST,9,$344
adidas Yeezy Desert Boot Oil,YZDSBT-OIL,"Friday, June 4, 2021",6:07 PM EST,8.5,$290
adidas Yeezy Desert Boot Oil,YZDSBT-OIL,"Monday, May 31, 2021",2:33 PM EST,10.5,$383
