name,ticker,date,time,size,price
adidas Yeezy Desert Boot Oil (Infants),YZDSBT-OILI,"Tuesday, June 1, 2021",8:07 AM EST,5.5K,$160
adidas Yeezy Desert Boot Oil (Infants),YZDSBT-OILI,"Monday, May 31, 2021",11:44 AM EST,9.5K,$188
adidas Yeezy Desert Boot Oil (Infants),YZDSBT-OILI,"Thursday, May 13, 2021",3:03 PM EST,8K,$120
adidas Yeezy Desert Boot Oil (Infants),YZDSBT-OILI,"Wednesday, April 28, 2021",12:04 PM EST,10K,$160
adidas Yeezy Desert Boot Oil (Infants),YZDSBT-OILI,"Wednesday, April 28, 2021",11:54 AM EST,5K,$160
adidas Yeezy Desert Boot Oil (Infants),YZDSBT-OILI,"Sunday, April 25, 2021",9:03 PM EST,7K,$160
adidas Yeezy Desert Boot Oil (Infants),YZDSBT-OILI,"Sunday, April 25, 2021",12:36 PM EST,9.5K,$160
adidas Yeezy Desert Boot Oil (Infants),YZDSBT-OILI,"Sunday, April 25, 2021",12:35 PM EST,9K,$160
adidas Yeezy Desert Boot Oil (Infants),YZDSBT-OILI,"Friday, April 23, 2021",1:06 AM EST,8K,$170
adidas Yeezy Desert Boot Oil (Infants),YZDSBT-OILI,"Wednesday, April 21, 2021",7:42 AM EST,4K,$160
adidas Yeezy Desert Boot Oil (Infants),YZDSBT-OILI,"Tuesday, April 20, 2021",9:35 PM EST,8.5K,$190
adidas Yeezy Desert Boot Oil (Infants),YZDSBT-OILI,"Sunday, April 11, 2021",9:40 AM EST,5K,$160
adidas Yeezy Desert Boot Oil (Infants),YZDSBT-OILI,"Tuesday, April 6, 2021",5:05 PM EST,9.5K,$160
adidas Yeezy Desert Boot Oil (Infants),YZDSBT-OILI,"Tuesday, April 6, 2021",7:12 AM EST,6K,$160
adidas Yeezy Desert Boot Oil (Infants),YZDSBT-OILI,"Thursday, April 1, 2021",11:03 AM EST,8.5K,$255
adidas Yeezy Desert Boot Oil (Infants),YZDSBT-OILI,"Wednesday, March 31, 2021",5:16 PM EST,8K,$113
adidas Yeezy Desert Boot Oil (Infants),YZDSBT-OILI,"Tuesday, March 30, 2021",4:15 PM EST,8K,$159
adidas Yeezy Desert Boot Oil (Infants),YZDSBT-OILI,"Monday, March 29, 2021",11:08 PM EST,8K,$182
adidas Yeezy Desert Boot Oil (Infants),YZDSBT-OILI,"Monday, March 29, 2021",7:16 PM EST,4K,$92
