name,ticker,date,time,size,price
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Friday, July 2, 2021",10:51 AM EST,1.5,$166
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Saturday, June 26, 2021",5:43 PM EST,3.5,$324
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Monday, April 26, 2021",1:54 AM EST,13.5K,$176
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Thursday, February 18, 2021",8:35 PM EST,2.5,$194
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Wednesday, February 17, 2021",6:44 PM EST,3,$205
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Sunday, February 7, 2021",1:12 PM EST,2.5,$193
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Friday, February 5, 2021",10:34 AM EST,3,$192
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Thursday, February 4, 2021",9:22 AM EST,3,$192
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Tuesday, February 2, 2021",5:34 PM EST,2.5,$194
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Friday, January 29, 2021",12:58 AM EST,3.5,$210
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Tuesday, January 26, 2021",12:56 AM EST,3.5,$207
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Tuesday, January 19, 2021",8:04 PM EST,1,$280
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Sunday, January 17, 2021",10:38 PM EST,3,$196
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Thursday, January 14, 2021",11:35 AM EST,1,$250
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Wednesday, January 13, 2021",3:38 AM EST,3,$155
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Sunday, January 10, 2021",4:48 PM EST,13K,$250
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Saturday, January 9, 2021",6:59 PM EST,3,$111
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Tuesday, January 5, 2021",12:54 AM EST,2,$130
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Monday, December 28, 2020",9:15 AM EST,2.5,$340
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Tuesday, December 22, 2020",8:33 AM EST,13K,$349
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Tuesday, January 26, 2021",12:56 AM EST,3.5,$207
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Tuesday, January 19, 2021",8:04 PM EST,1,$280
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Sunday, January 17, 2021",10:38 PM EST,3,$196
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Thursday, January 14, 2021",11:35 AM EST,1,$250
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Wednesday, January 13, 2021",3:38 AM EST,3,$155
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Sunday, January 10, 2021",4:48 PM EST,13K,$250
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Saturday, January 9, 2021",6:59 PM EST,3,$111
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Tuesday, January 5, 2021",12:54 AM EST,2,$130
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Monday, December 28, 2020",9:15 AM EST,2.5,$340
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Tuesday, December 22, 2020",8:33 AM EST,13K,$349
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Tuesday, January 26, 2021",12:56 AM EST,3.5,$207
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Tuesday, January 19, 2021",8:04 PM EST,1,$280
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Sunday, January 17, 2021",10:38 PM EST,3,$196
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Thursday, January 14, 2021",11:35 AM EST,1,$250
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Wednesday, January 13, 2021",3:38 AM EST,3,$155
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Sunday, January 10, 2021",4:48 PM EST,13K,$250
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Saturday, January 9, 2021",6:59 PM EST,3,$111
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Tuesday, January 5, 2021",12:54 AM EST,2,$130
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Monday, December 28, 2020",9:15 AM EST,2.5,$340
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Tuesday, December 22, 2020",8:33 AM EST,13K,$349
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Tuesday, December 22, 2020",8:29 AM EST,2.5,$289
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Tuesday, December 15, 2020",9:36 AM EST,2.5,$190
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Tuesday, December 15, 2020",9:36 AM EST,1,$160
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Tuesday, December 15, 2020",9:35 AM EST,11.5K,$200
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Sunday, December 13, 2020",3:18 PM EST,10.5K,$300
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Friday, December 11, 2020",1:28 PM EST,12K,$299
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Saturday, December 5, 2020",10:48 PM EST,3,$290
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Thursday, December 3, 2020",12:12 AM EST,12K,$290
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Thursday, December 3, 2020",7:26 AM EST,1,$150
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Thursday, December 3, 2020",7:26 AM EST,10.5K,$131
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Tuesday, December 22, 2020",8:29 AM EST,2.5,$289
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Tuesday, December 15, 2020",9:36 AM EST,2.5,$190
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Tuesday, December 15, 2020",9:36 AM EST,1,$160
adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,"Tuesday, December 15, 2020",9:35 AM EST,11.5K,$200
