name,ticker,date,time,size,price
adidas Yeezy Desert Boot Rock,YZDSBT-RK,"Tuesday, July 6, 2021",7:26 PM EST,11,$529
adidas Yeezy Desert Boot Rock,YZDSBT-RK,"Tuesday, July 6, 2021",1:58 PM EST,7,$283
adidas Yeezy Desert Boot Rock,YZDSBT-RK,"Sunday, July 4, 2021",3:11 AM EST,11,$353
adidas Yeezy Desert Boot Rock,YZDSBT-RK,"Wednesday, June 30, 2021",10:23 PM EST,5,$209
adidas Yeezy Desert Boot Rock,YZDSBT-RK,"Tuesday, June 29, 2021",2:03 AM EST,6.5,$252
adidas Yeezy Desert Boot Rock,YZDSBT-RK,"Monday, June 28, 2021",7:33 PM EST,8,$293
adidas Yeezy Desert Boot Rock,YZDSBT-RK,"Monday, June 28, 2021",4:54 AM EST,10,$354
adidas Yeezy Desert Boot Rock,YZDSBT-RK,"Sunday, June 27, 2021",1:40 PM EST,12,$500
adidas Yeezy Desert Boot Rock,YZDSBT-RK,"Saturday, June 26, 2021",3:50 PM EST,5,$226
adidas Yeezy Desert Boot Rock,YZDSBT-RK,"Friday, June 25, 2021",7:58 PM EST,12,$498
adidas Yeezy Desert Boot Rock,YZDSBT-RK,"Thursday, June 24, 2021",11:01 PM EST,9,$303
adidas Yeezy Desert Boot Rock,YZDSBT-RK,"Monday, June 21, 2021",1:33 AM EST,8.5,$256
adidas Yeezy Desert Boot Rock,YZDSBT-RK,"Saturday, June 19, 2021",12:29 PM EST,6.5,$255
adidas Yeezy Desert Boot Rock,YZDSBT-RK,"Saturday, June 19, 2021",5:36 AM EST,8,$275
adidas Yeezy Desert Boot Rock,YZDSBT-RK,"Thursday, June 17, 2021",2:49 PM EST,8.5,$283
adidas Yeezy Desert Boot Rock,YZDSBT-RK,"Thursday, June 17, 2021",10:29 AM EST,11,$650
adidas Yeezy Desert Boot Rock,YZDSBT-RK,"Sunday, June 13, 2021",8:35 PM EST,5,$225
adidas Yeezy Desert Boot Rock,YZDSBT-RK,"Wednesday, June 9, 2021",12:02 AM EST,6,$330
adidas Yeezy Desert Boot Rock,YZDSBT-RK,"Wednesday, June 9, 2021",5:00 PM EST,7,$330
adidas Yeezy Desert Boot Rock,YZDSBT-RK,"Wednesday, June 9, 2021",3:47 PM EST,9.5,$477
adidas Yeezy Desert Boot Rock,YZDSBT-RK,"Tuesday, June 8, 2021",2:12 PM EST,12.5,$428
adidas Yeezy Desert Boot Rock,YZDSBT-RK,"Wednesday, June 2, 2021",11:43 AM EST,5.5,$269
adidas Yeezy Desert Boot Rock,YZDSBT-RK,"Tuesday, June 1, 2021",6:32 PM EST,12,$422
adidas Yeezy Desert Boot Rock,YZDSBT-RK,"Tuesday, June 1, 2021",6:16 PM EST,11,$625
adidas Yeezy Desert Boot Rock,YZDSBT-RK,"Monday, May 31, 2021",11:29 PM EST,5.5,$265
adidas Yeezy Desert Boot Rock,YZDSBT-RK,"Monday, May 31, 2021",9:01 PM EST,10.5,$432
adidas Yeezy Desert Boot Rock,YZDSBT-RK,"Sunday, May 30, 2021",3:05 PM EST,10,$340
adidas Yeezy Desert Boot Rock,YZDSBT-RK,"Saturday, May 29, 2021",3:18 PM EST,8.5,$227
adidas Yeezy Desert Boot Rock,YZDSBT-RK,"Saturday, May 29, 2021",10:15 AM EST,5,$227
adidas Yeezy Desert Boot Rock,YZDSBT-RK,"Friday, May 28, 2021",4:45 PM EST,9,$261
adidas Yeezy Desert Boot Rock,YZDSBT-RK,"Wednesday, May 26, 2021",11:51 PM EST,7,$331
adidas Yeezy Desert Boot Rock,YZDSBT-RK,"Tuesday, May 25, 2021",2:10 PM EST,8.5,$365
adidas Yeezy Desert Boot Rock,YZDSBT-RK,"Tuesday, May 25, 2021",6:06 AM EST,8,$273
adidas Yeezy Desert Boot Rock,YZDSBT-RK,"Monday, May 24, 2021",7:49 PM EST,11,$540
