name,ticker,date,time,size,price
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Monday, July 5, 2021",10:59 PM EST,9K,$175
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Wednesday, May 26, 2021",11:07 PM EST,7K,$229
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Thursday, April 29, 2021",11:42 PM EST,5K,$160
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Tuesday, April 27, 2021",7:37 PM EST,7.5K,$179
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Monday, April 26, 2021",1:18 AM EST,8K,$160
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Monday, April 26, 2021",1:15 AM EST,10K,$160
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Sunday, April 25, 2021",1:06 PM EST,7.5K,$160
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Sunday, April 25, 2021",1:05 PM EST,6.5K,$160
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Monday, April 19, 2021",3:31 AM EST,8.5K,$160
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Saturday, April 3, 2021",12:15 PM EST,7K,$219
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Saturday, April 3, 2021",2:41 AM EST,9K,$179
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Saturday, April 3, 2021",2:34 AM EST,9K,$179
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Saturday, April 3, 2021",2:10 AM EST,9K,$179
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Wednesday, March 31, 2021",10:14 AM EST,10K,$195
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Monday, March 29, 2021",7:20 PM EST,5K,$110
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Monday, March 22, 2021",11:31 PM EST,5K,$250
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Monday, March 22, 2021",3:53 AM EST,9K,$100
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Monday, March 15, 2021",10:37 PM EST,8K,$109
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Wednesday, March 10, 2021",12:17 PM EST,8K,$284
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Friday, March 5, 2021",8:54 PM EST,9K,$122
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Saturday, February 6, 2021",1:52 PM EST,10K,$199
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Thursday, February 4, 2021",11:58 AM EST,9K,$160
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Tuesday, February 2, 2021",11:10 AM EST,8K,$355
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Wednesday, January 27, 2021",3:05 PM EST,8K,$285
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Thursday, January 21, 2021",10:58 PM EST,9K,$160
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Wednesday, January 20, 2021",12:34 AM EST,6.5K,$140
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Tuesday, January 19, 2021",7:38 PM EST,10K,$170
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Friday, January 15, 2021",7:34 AM EST,9K,$150
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Tuesday, January 12, 2021",6:56 PM EST,6K,$229
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Tuesday, January 12, 2021",1:46 PM EST,7K,$115
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Monday, January 11, 2021",10:00 PM EST,8K,$159
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Monday, January 11, 2021",9:58 PM EST,8K,$110
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Monday, January 11, 2021",9:04 PM EST,8K,$110
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Monday, January 11, 2021",4:08 PM EST,5K,$120
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Sunday, January 10, 2021",9:38 PM EST,10K,$110
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Saturday, January 9, 2021",4:07 PM EST,7K,$115
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Friday, January 8, 2021",8:10 PM EST,10K,$110
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Friday, January 8, 2021",5:22 PM EST,5K,$128
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Friday, January 8, 2021",9:57 AM EST,9K,$100
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Tuesday, January 5, 2021",11:36 AM EST,9K,$160
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Monday, January 4, 2021",2:37 PM EST,8K,$190
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Monday, January 4, 2021",2:37 PM EST,7K,$150
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Friday, December 25, 2020",2:45 AM EST,10K,$250
adidas Yeezy Desert Boot Rock (Infant),YZDSBT-RKI,"Saturday, December 19, 2020",7:54 PM EST,9K,$234
