name,ticker,date,time,size,price
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Wednesday, May 5, 2021",11:04 PM EST,3.5,$323
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Tuesday, April 20, 2021",2:20 PM EST,11K,$90
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Thursday, February 25, 2021",12:23 PM EST,2,$210
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Sunday, February 7, 2021",11:54 PM EST,2.5,$200
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Tuesday, January 19, 2021",12:04 AM EST,12K,$289
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Tuesday, January 5, 2021",5:58 PM EST,12.5K,$355
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Monday, January 4, 2021",7:19 PM EST,3,$125
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Saturday, December 19, 2020",9:46 AM EST,2,$390
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Thursday, December 17, 2020",11:45 AM EST,3.5,$131
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Saturday, December 12, 2020",1:55 PM EST,3,$339
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Friday, December 11, 2020",11:13 PM EST,3,$333
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Thursday, December 10, 2020",1:25 AM EST,13.5K,$385
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Saturday, December 5, 2020",5:35 PM EST,3,$336
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Friday, December 4, 2020",10:03 AM EST,3,$336
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Tuesday, December 1, 2020",12:27 AM EST,2.5,$300
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Saturday, November 28, 2020",6:14 PM EST,3,$300
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Saturday, November 28, 2020",6:13 PM EST,3,$299
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Tuesday, November 17, 2020",12:40 AM EST,1,$250
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Friday, November 6, 2020",8:35 PM EST,13K,$388
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Thursday, November 5, 2020",7:42 AM EST,2.5,$277
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Tuesday, November 3, 2020",6:37 PM EST,2.5,$275
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Saturday, October 31, 2020",8:04 PM EST,12K,$250
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Tuesday, October 20, 2020",8:17 PM EST,11K,$220
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Wednesday, October 14, 2020",3:52 PM EST,2.5,$283
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Saturday, October 10, 2020",9:08 PM EST,2,$349
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Tuesday, October 6, 2020",3:16 PM EST,11K,$220
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Monday, September 28, 2020",10:00 AM EST,11.5K,$250
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Sunday, September 20, 2020",6:17 PM EST,10.5K,$250
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Sunday, August 23, 2020",10:05 AM EST,3,$286
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Monday, August 17, 2020",8:12 PM EST,1,$215
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Sunday, August 16, 2020",11:00 PM EST,11K,$130
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Wednesday, July 1, 2020",8:34 PM EST,1.5,$150
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Friday, June 19, 2020",10:49 PM EST,1,$190
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Friday, June 19, 2020",7:00 AM EST,13.5K,$150
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Monday, June 15, 2020",9:26 AM EST,12K,$157
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Thursday, March 5, 2020",3:43 PM EST,13K,$194
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Wednesday, February 26, 2020",8:29 PM EST,2,$198
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Wednesday, February 26, 2020",7:50 AM EST,2,$190
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Monday, February 24, 2020",4:02 PM EST,12K,$194
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Saturday, February 22, 2020",5:06 PM EST,2.5,$220
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Wednesday, February 5, 2020",11:08 PM EST,2,$185
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Tuesday, January 28, 2020",8:26 PM EST,13K,$185
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Monday, January 27, 2020",4:38 PM EST,12K,$156
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Friday, January 24, 2020",11:12 AM EST,12K,$155
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Thursday, January 23, 2020",7:51 PM EST,1,$184
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Monday, January 20, 2020",11:15 AM EST,12K,$156
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Monday, January 13, 2020",10:04 PM EST,3.5,$200
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Saturday, January 11, 2020",4:33 PM EST,2,$180
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Friday, January 10, 2020",1:55 AM EST,1,$147
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Tuesday, December 31, 2019",7:35 PM EST,2,$135
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Tuesday, December 31, 2019",6:19 AM EST,1,$120
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Tuesday, December 31, 2019",2:23 AM EST,3,$168
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Friday, December 27, 2019",2:16 PM EST,1,$160
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Friday, December 27, 2019",12:58 PM EST,1,$151
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Friday, December 27, 2019",7:10 AM EST,3,$155
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Wednesday, December 25, 2019",10:29 PM EST,2.5,$159
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Wednesday, December 25, 2019",10:05 AM EST,3,$129
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Tuesday, December 24, 2019",8:10 PM EST,11.5K,$157
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Tuesday, December 24, 2019",6:05 AM EST,3,$91
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Monday, December 23, 2019",12:30 PM EST,2,$196
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Sunday, December 22, 2019",12:07 PM EST,3,$155
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Saturday, December 21, 2019",2:16 PM EST,13K,$159
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Saturday, December 21, 2019",1:49 PM EST,3,$99
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Saturday, December 21, 2019",9:15 AM EST,2.5,$158
adidas Yeezy Desert Boot Rock (Kids),YZDSBT-RKK,"Friday, December 20, 2019",11:58 PM EST,13K,$158
