name,ticker,date,time,size,price
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Tuesday, July 6, 2021",4:58 PM EST,9,$205
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Tuesday, July 6, 2021",2:39 PM EST,7,$236
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Tuesday, July 6, 2021",10:29 AM EST,9.5,$304
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Tuesday, July 6, 2021",8:24 AM EST,8.5,$280
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Monday, July 5, 2021",8:56 PM EST,9.5,$239
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Monday, July 5, 2021",8:41 PM EST,5.5,$125
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Saturday, July 3, 2021",7:33 PM EST,8,$200
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Thursday, July 1, 2021",10:55 AM EST,10,$295
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Wednesday, June 30, 2021",11:00 PM EST,10.5,$447
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Wednesday, June 30, 2021",10:13 PM EST,12.5,$360
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Wednesday, June 30, 2021",8:47 AM EST,13,$526
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Tuesday, June 29, 2021",12:58 PM EST,10,$319
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Sunday, June 27, 2021",10:30 PM EST,10,$300
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Sunday, June 27, 2021",3:10 PM EST,8,$286
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Friday, June 25, 2021",5:17 PM EST,10.5,$430
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Friday, June 25, 2021",12:31 PM EST,9.5,$313
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Thursday, June 24, 2021",5:57 PM EST,6.5,$398
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Thursday, June 24, 2021",1:52 PM EST,10,$310
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Tuesday, June 22, 2021",1:52 AM EST,10,$302
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Sunday, June 20, 2021",2:21 PM EST,9,$260
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Thursday, June 17, 2021",9:15 PM EST,11.5,$380
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Thursday, June 17, 2021",3:21 PM EST,9.5,$300
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Wednesday, June 16, 2021",12:29 AM EST,8.5,$308
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Tuesday, June 15, 2021",5:54 PM EST,8.5,$308
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Friday, June 11, 2021",6:29 PM EST,8,$272
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Thursday, June 10, 2021",2:18 PM EST,5.5,$243
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Thursday, June 10, 2021",7:43 AM EST,10.5,$301
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Wednesday, June 9, 2021",3:12 AM EST,6,$225
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Tuesday, June 8, 2021",12:50 PM EST,8,$273
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Tuesday, June 8, 2021",12:06 PM EST,8,$265
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Monday, June 7, 2021",11:27 PM EST,8.5,$297
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Monday, June 7, 2021",1:54 AM EST,9.5,$300
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Saturday, June 5, 2021",8:45 AM EST,8.5,$308
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Friday, June 4, 2021",3:45 PM EST,6,$224
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Thursday, June 3, 2021",8:45 AM EST,8,$272
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Wednesday, June 2, 2021",7:21 PM EST,8,$217
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Wednesday, June 2, 2021",4:18 PM EST,8,$240
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Wednesday, June 2, 2021",1:20 PM EST,8.5,$308
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Sunday, May 30, 2021",11:20 PM EST,4.5,$221
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Sunday, May 30, 2021",4:55 PM EST,4.5,$221
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Friday, May 28, 2021",1:45 PM EST,6,$224
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Thursday, May 27, 2021",7:45 PM EST,9,$210
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Thursday, May 27, 2021",3:22 PM EST,6,$224
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Wednesday, May 26, 2021",7:44 PM EST,6,$224
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Wednesday, May 26, 2021",12:16 PM EST,10.5,$325
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Tuesday, May 25, 2021",11:12 PM EST,6,$224
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Tuesday, May 25, 2021",8:59 PM EST,10,$350
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Monday, May 24, 2021",1:23 AM EST,11,$512
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Saturday, May 22, 2021",8:28 AM EST,6,$225
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Friday, May 21, 2021",11:45 PM EST,9.5,$356
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Friday, May 21, 2021",9:42 PM EST,9,$299
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Thursday, May 20, 2021",1:06 PM EST,10,$350
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Tuesday, May 18, 2021",5:06 PM EST,13.5,$389
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Monday, May 17, 2021",2:38 AM EST,8,$273
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Saturday, May 15, 2021",10:24 PM EST,6.5,$285
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Saturday, May 15, 2021",2:59 AM EST,8,$274
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Friday, May 14, 2021",8:31 PM EST,10.5,$261
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Thursday, May 13, 2021",9:27 PM EST,8,$228
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Wednesday, May 12, 2021",9:57 AM EST,6,$210
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Wednesday, May 12, 2021",7:42 AM EST,9.5,$360
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Wednesday, May 12, 2021",1:01 AM EST,7.5,$283
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Tuesday, May 11, 2021",2:55 PM EST,12,$306
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Tuesday, May 11, 2021",11:10 AM EST,8.5,$226
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Monday, May 10, 2021",12:33 PM EST,9.5,$350
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Sunday, May 9, 2021",9:22 AM EST,9,$306
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Saturday, May 8, 2021",3:12 AM EST,8,$280
adidas Yeezy Desert Boot Salt,YZDSBT-SLT,"Friday, May 7, 2021",7:10 PM EST,7.5,$260
