name,ticker,date,time,size,price
adidas Yeezy Desert Boot Salt (Infant),YZDSBT-SLTI,"Monday, June 28, 2021",11:41 AM EST,5K,$199
adidas Yeezy Desert Boot Salt (Infant),YZDSBT-SLTI,"Monday, May 17, 2021",1:46 PM EST,6K,$101
adidas Yeezy Desert Boot Salt (Infant),YZDSBT-SLTI,"Wednesday, May 12, 2021",3:57 PM EST,8.5K,$125
adidas Yeezy Desert Boot Salt (Infant),YZDSBT-SLTI,"Sunday, May 2, 2021",3:45 PM EST,5K,$110
adidas Yeezy Desert Boot Salt (Infant),YZDSBT-SLTI,"Wednesday, April 21, 2021",4:23 PM EST,7K,$86
adidas Yeezy Desert Boot Salt (Infant),YZDSBT-SLTI,"Monday, April 19, 2021",7:12 PM EST,9K,$84
adidas Yeezy Desert Boot Salt (Infant),YZDSBT-SLTI,"Friday, March 5, 2021",8:24 PM EST,7K,$230
adidas Yeezy Desert Boot Salt (Infant),YZDSBT-SLTI,"Friday, March 5, 2021",8:24 PM EST,6K,$188
adidas Yeezy Desert Boot Salt (Infant),YZDSBT-SLTI,"Tuesday, February 16, 2021",2:31 PM EST,6K,$124
adidas Yeezy Desert Boot Salt (Infant),YZDSBT-SLTI,"Wednesday, January 20, 2021",8:31 AM EST,8.5K,$109
adidas Yeezy Desert Boot Salt (Infant),YZDSBT-SLTI,"Friday, December 11, 2020",11:42 PM EST,9.5K,$230
adidas Yeezy Desert Boot Salt (Infant),YZDSBT-SLTI,"Friday, November 27, 2020",3:03 PM EST,5.5K,$140
adidas Yeezy Desert Boot Salt (Infant),YZDSBT-SLTI,"Friday, November 27, 2020",10:39 AM EST,5.5K,$140
adidas Yeezy Desert Boot Salt (Infant),YZDSBT-SLTI,"Friday, November 20, 2020",12:20 PM EST,4K,$220
adidas Yeezy Desert Boot Salt (Infant),YZDSBT-SLTI,"Sunday, November 15, 2020",6:07 PM EST,6K,$230
adidas Yeezy Desert Boot Salt (Infant),YZDSBT-SLTI,"Thursday, November 12, 2020",3:16 AM EST,8.5K,$160
adidas Yeezy Desert Boot Salt (Infant),YZDSBT-SLTI,"Saturday, November 7, 2020",12:25 PM EST,9.5K,$126
adidas Yeezy Desert Boot Salt (Infant),YZDSBT-SLTI,"Friday, November 6, 2020",7:29 PM EST,6K,$150
adidas Yeezy Desert Boot Salt (Infant),YZDSBT-SLTI,"Thursday, October 22, 2020",1:28 PM EST,10K,$50
adidas Yeezy Desert Boot Salt (Infant),YZDSBT-SLTI,"Thursday, October 8, 2020",1:30 PM EST,4K,$200
