name,ticker,date,time,size,price
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Thursday, April 29, 2021",2:52 AM EST,12K,$190
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Friday, February 26, 2021",1:15 AM EST,2.5,$226
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Saturday, February 13, 2021",1:37 PM EST,1.5,$216
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Sunday, February 7, 2021",2:16 AM EST,2.5,$221
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Tuesday, December 15, 2020",12:45 PM EST,2.5,$141
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Friday, December 11, 2020",11:08 PM EST,11K,$235
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Wednesday, December 2, 2020",10:19 PM EST,1,$215
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Tuesday, November 17, 2020",6:01 PM EST,3,$250
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Thursday, November 12, 2020",9:23 PM EST,3,$190
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Tuesday, November 10, 2020",1:49 AM EST,3,$189
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Sunday, November 8, 2020",4:48 AM EST,2,$100
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Saturday, November 7, 2020",12:33 PM EST,3,$195
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Tuesday, October 6, 2020",2:07 PM EST,2.5,$234
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Monday, October 5, 2020",10:22 AM EST,2,$250
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Thursday, October 1, 2020",12:40 PM EST,2.5,$201
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Sunday, September 27, 2020",12:55 PM EST,1.5,$219
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Saturday, September 19, 2020",9:45 AM EST,2,$201
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Saturday, September 19, 2020",4:05 AM EST,13K,$240
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Thursday, September 17, 2020",1:15 PM EST,11.5K,$250
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Wednesday, September 16, 2020",10:02 PM EST,12K,$235
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Sunday, November 8, 2020",4:48 AM EST,2,$100
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Saturday, November 7, 2020",12:33 PM EST,3,$195
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Tuesday, October 6, 2020",2:07 PM EST,2.5,$234
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Monday, October 5, 2020",10:22 AM EST,2,$250
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Thursday, October 1, 2020",12:40 PM EST,2.5,$201
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Sunday, September 27, 2020",12:55 PM EST,1.5,$219
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Saturday, September 19, 2020",9:45 AM EST,2,$201
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Saturday, September 19, 2020",4:05 AM EST,13K,$240
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Thursday, September 17, 2020",1:15 PM EST,11.5K,$250
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Wednesday, September 16, 2020",10:02 PM EST,12K,$235
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Sunday, November 8, 2020",4:48 AM EST,2,$100
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Saturday, November 7, 2020",12:33 PM EST,3,$195
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Tuesday, October 6, 2020",2:07 PM EST,2.5,$234
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Monday, October 5, 2020",10:22 AM EST,2,$250
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Thursday, October 1, 2020",12:40 PM EST,2.5,$201
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Sunday, September 27, 2020",12:55 PM EST,1.5,$219
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Saturday, September 19, 2020",9:45 AM EST,2,$201
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Saturday, September 19, 2020",4:05 AM EST,13K,$240
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Thursday, September 17, 2020",1:15 PM EST,11.5K,$250
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Wednesday, September 16, 2020",10:02 PM EST,12K,$235
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Tuesday, September 15, 2020",8:29 AM EST,3,$179
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Wednesday, September 9, 2020",8:18 PM EST,2,$250
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Monday, August 31, 2020",3:02 PM EST,13K,$175
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Friday, August 14, 2020",12:05 PM EST,13K,$80
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Friday, August 14, 2020",12:05 PM EST,2.5,$81
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Friday, August 14, 2020",12:04 PM EST,1.5,$81
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Saturday, July 18, 2020",10:21 PM EST,2.5,$174
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Thursday, July 9, 2020",7:27 PM EST,13K,$250
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Wednesday, June 17, 2020",2:19 PM EST,2.5,$160
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Tuesday, April 21, 2020",1:37 PM EST,2.5,$184
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Saturday, April 18, 2020",1:26 PM EST,3,$200
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Saturday, April 4, 2020",10:37 PM EST,2,$154
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Sunday, March 1, 2020",4:12 PM EST,11K,$193
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Monday, February 24, 2020",3:56 PM EST,11K,$190
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Monday, February 10, 2020",8:00 PM EST,2.5,$194
adidas Yeezy Desert Boot Salt (Kids),YZDSBT-SLTK,"Tuesday, February 4, 2020",3:18 PM EST,10.5K,$163
