name,ticker,date,time,size,price
adidas YZY QNTM BSKTBL (Performance Basketball Model),YZQ-BB,"Tuesday, July 6, 2021",6:39 PM EST,7,$150
adidas YZY QNTM BSKTBL (Performance Basketball Model),YZQ-BB,"Tuesday, July 6, 2021",1:25 PM EST,11,$234
adidas YZY QNTM BSKTBL (Performance Basketball Model),YZQ-BB,"Tuesday, July 6, 2021",3:34 AM EST,11.5,$206
adidas YZY QNTM BSKTBL (Performance Basketball Model),YZQ-BB,"Monday, July 5, 2021",9:09 PM EST,10,$224
adidas YZY QNTM BSKTBL (Performance Basketball Model),YZQ-BB,"Monday, July 5, 2021",8:37 PM EST,12,$278
adidas YZY QNTM BSKTBL (Performance Basketball Model),YZQ-BB,"Monday, July 5, 2021",2:16 PM EST,9.5,$185
adidas YZY QNTM BSKTBL (Performance Basketball Model),YZQ-BB,"Monday, July 5, 2021",2:13 PM EST,12.5,$191
adidas YZY QNTM BSKTBL (Performance Basketball Model),YZQ-BB,"Monday, July 5, 2021",8:47 AM EST,10.5,$291
adidas YZY QNTM BSKTBL (Performance Basketball Model),YZQ-BB,"Sunday, July 4, 2021",12:39 PM EST,9,$228
adidas YZY QNTM BSKTBL (Performance Basketball Model),YZQ-BB,"Sunday, July 4, 2021",6:12 AM EST,8,$216
adidas YZY QNTM BSKTBL (Performance Basketball Model),YZQ-BB,"Saturday, July 3, 2021",8:10 PM EST,13,$190
adidas YZY QNTM BSKTBL (Performance Basketball Model),YZQ-BB,"Saturday, July 3, 2021",1:37 PM EST,5,$115
adidas YZY QNTM BSKTBL (Performance Basketball Model),YZQ-BB,"Friday, July 2, 2021",9:22 PM EST,8.5,$235
adidas YZY QNTM BSKTBL (Performance Basketball Model),YZQ-BB,"Friday, July 2, 2021",7:33 PM EST,9.5,$217
adidas YZY QNTM BSKTBL (Performance Basketball Model),YZQ-BB,"Friday, July 2, 2021",5:12 AM EST,11.5,$226
adidas YZY QNTM BSKTBL (Performance Basketball Model),YZQ-BB,"Friday, July 2, 2021",2:22 AM EST,12,$228
adidas YZY QNTM BSKTBL (Performance Basketball Model),YZQ-BB,"Thursday, July 1, 2021",11:54 PM EST,10.5,$180
