name,ticker,date,time,size,price
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Friday, June 25, 2021",10:13 AM EST,8K,$100
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Wednesday, June 16, 2021",5:11 PM EST,9K,$122
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Wednesday, June 16, 2021",4:30 PM EST,10K,$101
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Thursday, June 10, 2021",11:38 AM EST,9K,$95
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Monday, May 31, 2021",9:58 PM EST,8K,$81
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Thursday, May 27, 2021",1:21 PM EST,8K,$145
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Tuesday, May 18, 2021",1:28 PM EST,9K,$65
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Tuesday, May 18, 2021",12:44 PM EST,8K,$149
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Monday, May 17, 2021",2:30 PM EST,9K,$78
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Monday, May 17, 2021",10:21 AM EST,9K,$137
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Thursday, May 13, 2021",8:49 AM EST,8K,$100
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Wednesday, May 5, 2021",4:52 PM EST,8K,$150
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Wednesday, April 21, 2021",7:13 PM EST,9K,$100
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Thursday, April 15, 2021",5:34 PM EST,6K,$200
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Wednesday, April 14, 2021",3:09 PM EST,7K,$181
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Wednesday, April 14, 2021",9:43 AM EST,9K,$151
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Monday, April 12, 2021",11:08 AM EST,7K,$159
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Thursday, April 8, 2021",8:17 PM EST,6K,$189
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Monday, April 5, 2021",10:40 PM EST,8K,$118
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Monday, April 5, 2021",1:40 AM EST,7K,$159
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Saturday, April 3, 2021",6:23 PM EST,8K,$105
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Tuesday, March 30, 2021",6:00 PM EST,5K,$89
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Monday, March 29, 2021",1:23 PM EST,7K,$85
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Sunday, March 28, 2021",1:53 PM EST,7K,$86
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Tuesday, March 16, 2021",9:40 PM EST,7K,$140
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Tuesday, March 9, 2021",6:01 PM EST,10K,$160
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Monday, March 8, 2021",7:44 AM EST,9K,$138
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Monday, March 1, 2021",5:26 PM EST,7K,$120
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Sunday, February 28, 2021",11:17 PM EST,9K,$137
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Saturday, February 20, 2021",10:48 AM EST,10K,$150
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Tuesday, February 16, 2021",10:46 PM EST,10K,$145
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Friday, February 12, 2021",3:30 PM EST,6K,$100
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Friday, February 12, 2021",10:51 AM EST,7K,$120
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Tuesday, February 9, 2021",7:23 AM EST,7K,$100
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Sunday, February 7, 2021",7:24 PM EST,10K,$125
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Friday, February 5, 2021",11:59 AM EST,7K,$130
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Monday, February 1, 2021",10:54 AM EST,9K,$105
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Sunday, January 24, 2021",3:00 PM EST,7K,$139
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Sunday, January 24, 2021",2:59 AM EST,8K,$120
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Friday, January 22, 2021",11:55 AM EST,8K,$115
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Monday, January 18, 2021",3:29 PM EST,10K,$100
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Friday, January 15, 2021",4:00 PM EST,9K,$100
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Thursday, January 14, 2021",8:28 PM EST,8K,$122
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Wednesday, January 13, 2021",7:41 AM EST,7K,$139
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Monday, January 11, 2021",8:29 AM EST,9K,$116
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Tuesday, December 29, 2020",4:10 PM EST,9K,$110
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Monday, December 28, 2020",4:57 PM EST,9K,$109
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Sunday, December 27, 2020",8:13 AM EST,10K,$160
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Friday, December 25, 2020",9:26 PM EST,5K,$100
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Wednesday, December 23, 2020",11:01 PM EST,6K,$122
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Tuesday, December 22, 2020",6:11 PM EST,9K,$110
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Wednesday, December 9, 2020",10:08 PM EST,7K,$150
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Sunday, December 6, 2020",1:34 PM EST,7K,$125
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Wednesday, December 2, 2020",11:09 AM EST,9K,$120
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Monday, November 30, 2020",9:24 PM EST,9K,$125
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Saturday, November 28, 2020",4:45 PM EST,8K,$100
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Wednesday, November 25, 2020",12:06 PM EST,8K,$115
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Tuesday, November 24, 2020",3:55 PM EST,9K,$125
adidas Yeezy QNTM Barium (Infants),YZQNTM-BRMI,"Sunday, November 22, 2020",8:34 PM EST,7K,$150
